SiteCode,No,NoType,GroupNo,Space,Building Phase,Area,Unit type,Unit entropy,Description,Sieved,Date,ID,Start Date,End Date,Period_Date,Attribution
SKH02,21,Cut,752,752,MA.2,161,Drain,in situ,19th/20th c. Drain,FALSE,30/05/2002,CH,1910,1930,1900-1930,Midden Zone A
SKH02,22,Deposit,752,752,LH,161,Demolition,disorganized,19th/20th c. Infilling/levelling,FALSE,30/05/2002,CH/UÆ,,1958,1930-1960,Levelling Horizon
SKH02,23,Deposit,650,2,S2.1,161,Drain,in situ,20th c. Drain,FALSE,30/05/2002,GL,1902,1930,1900-1930,Haybarn
SKH02,24,Cut,650,2,S2.1,161,Drain,in situ,20th c. Drain,FALSE,30/05/2002,GL,1902,1930,1900-1930,Haybarn
SKH02,25,Deposit,3026,3026,MA.2,161,Midden,in situ,20th c. Ash midden,FALSE,30/05/2002,RT,1910,1930,1900-1930,Midden Zone A
SKH02,26,Deposit,81,81,S21.4,161,Wall,disturbed,cleaning over wall 56,FALSE,30/05/2002,GL,1770,1790,1750-1810,School Room
SKH02,27,Deposit,81,81,S33.1,161,Floor,disturbed,cleaning,FALSE,30/05/2002,AH,1880,1952,1870-1960,Stables
SKH02,28,Deposit,3027,3027,S5.6,161,Wall,disturbed,cleaning over wall 33,FALSE,31/05/2002,BL,1830,1890,1810-1900,Workshop/Flour Mill
SKH02,29,Deposit,80,80,S20.6,161,Floor,in situ,patch of floor at e end,FALSE,31/05/2002,AH,,1790,1780-1810,School Dormitory
SKH02,30,Group,756,30,S13.3,161,Room,disturbed,ruin of central corridor,FALSE,31/05/2002,CH,1800,1830,1780-1840,Main Corridor
SKH02,31,Deposit,752,752,LH,161,Demolition,disorganized,19th/20th c. Infilling/levelling,FALSE,31/05/2002,CH/UÆ,,1958,1930-1960,Levelling Horizon
SKH02,32,Deposit,1081,1081,MA.1,161,Slopewash,in situ,19th/20th c. slopewash/levelling,FALSE,31/05/2002,RT,1870,1910,1870-1930,Midden Zone A
SKH02,33,Deposit,3027,3027,S5.6,161,Wall,in situ,wall,FALSE,31/05/2002,BL,1830,1890,1810-1900,Workshop/Flour Mill
SKH02,34,Deposit,346,346,S33.1,161,Wall,disorganized,Collapsed wall/roof,FALSE,31/05/2002,MS,1880,1952,1870-1960,Stables
SKH02,35,Deposit,752,752,LH,161,Demolition,disturbed,cleaning above 36,FALSE,31/05/2002,EH,,1958,1930-1960,Levelling Horizon
SKH02,36,Deposit,752,752,LH,161,Demolition,disturbed,19th/20th c. Infilling/levelling; same as 237,FALSE,31/05/2002,EH,,1958,1930-1960,Levelling Horizon
SKH02,37,Deposit,80,80,S20.6,161,Roof,disorganized,roof collapse,FALSE,31/05/2002,AH,,1790,1780-1810,School Dormitory
SKH02,38,Deposit,48,48,S32.1,161,Midden,in situ,19th c. smithing waste dump,TRUE,31/05/2002,CH,1850,1890,1840-1900,Forge
SKH02,39,Group,163,39,S8.2,161,Building,in situ,Miller´s room,FALSE,03/06/2002,GL/EH,1750,1800,1750-1810,Nursery/Private Chambers
SKH02,40,Cut,745,745,S1.1,161,Building,in situ,foundation cut for building east of 1902 haybarn,FALSE,03/06/2002,GL,1930,1952,1930-1960,Outhouse
SKH02,41,Deposit,912,329,S5.6,161,Roof,disorganized,cleaning above 43,FALSE,03/06/2002,BL,1830,1890,1810-1900,Workshop/Flour Mill
SKH02,42,Deposit,48,48,S32.1,161,Midden,in situ,19th c. Ash dump,FALSE,03/06/2002,CH,1850,1890,1840-1900,Forge
SKH02,43,Deposit,329,329,S5.6,161,Roof,disorganized,roof collapse,FALSE,03/06/2002,BL,1830,1890,1810-1900,Workshop/Flour Mill
SKH02,44,Deposit,346,346,S33.1,161,Midden,in situ,19th c. Ash dump behind and outside building 100,FALSE,03/06/2002,MS/SÞ,1880,1952,1870-1960,Stables
SKH02,45,Deposit,48,48,S32.1,161,Midden,in situ,19th c. Smithing waste dump,FALSE,03/06/2002,UÆ/CH,1850,1890,1840-1900,Forge
SKH02,46,Deposit,81,81,S21.4,161,Wall,disorganized,19th c. disturbed wall,FALSE,03/06/2002,GL,1770,1790,1750-1810,School Room
SKH02,47,Deposit,346,346,S33.1,161,Wall,disorganized,turf wall collapse,FALSE,03/06/2002,MS/SÞ,1880,1952,1870-1960,Stables
SKH02,48,Group,756,48,S32.1,161,Building,disturbed,originally VOID; re-used for 19c. ?forge,FALSE,,,1850,1890,1840-1900,Forge
SKH02,49,Deposit,39,39,S8.4,161,Wall,disorganized,roof/wall collapse,FALSE,04/06/2002,EH,,1850,1840-1870,Nursery/Private Chambers
SKH02,50,Deposit,346,346,S33.1,161,Wall,disorganized,turf debris,FALSE,04/06/2002,MS/SÞ,1880,1952,1870-1960,Stables
SKH02,51,Deposit,30,30,S13.4,161,Wall,disorganized,compacted layer - surface? Wall/roof collapse,FALSE,04/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,52,Deposit,100,100,S29.3,161,Wall,disorganized,roof/wall collapse,FALSE,04/06/2002,UÆ,,1900,1900,Outhouse
SKH02,53,Cut,81,81,S21.4,161,Wall,disorganized,robber trench/disturbed wall,FALSE,04/06/2002,GL,1770,1790,1750-1810,School Room
SKH02,54,Deposit,80,80,S20.5,161,Wall,disorganized,base of roof/wall collapse,FALSE,04/06/2002,AH,1770,1790,1750-1810,School Dormitory
SKH02,55,Group,163,55,V,161,Building,in situ,Library; now void,FALSE,04/06/2002,BL,,,,
SKH02,56,Deposit,80,80,S33.1,161,Wall,in situ,wall,FALSE,04/06/2002,GL,1880,1952,1870-1960,Stables
SKH02,57,Deposit,300,300,S4.5,161,Floor,in situ,19th c. Ash dumps,TRUE,04/06/2002,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH02,58,Deposit,346,346,S33.1,161,Wall,disorganized,turf debris from over wall 107,FALSE,04/06/2002,MS/SÞ,1880,1952,1870-1960,Stables
SKH02,59,Deposit,80,80,S20.5,161,Floor,in situ,floor,FALSE,04/06/2002,AH,1770,1790,1750-1810,School Dormitory
SKH02,60,Deposit,300,300,S4.5,161,Floor,in situ,19th c. Ash dump in pit/depression,TRUE,04/06/2002,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH02,61,Cut,300,300,S4.5,161,Post setting,in situ,cut/depression -posthole or postpad?,FALSE,04/06/2002,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH02,62,Deposit,300,300,S4.5,161,Floor,in situ,19th c. Ash dump,TRUE,04/06/2002,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH02,63,Deposit,81,81,S33.1,161,Floor,disturbed,cleaning,FALSE,04/06/2002,RT,1880,1952,1870-1960,Stables
SKH02,64,Deposit,81,81,S33.1,161,Wall,in situ,gable wall,FALSE,04/06/2002,GL,1880,1952,1870-1960,Stables
SKH02,65,Deposit,300,300,S4.5,161,Floor,in situ,19th c. Dung floor,TRUE,04/06/2002,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH02,66,Deposit,39,39,S8.4,161,Wall,disorganized,roof/wall collapse,FALSE,04/06/2002,EH,,1850,1840-1870,Nursery/Private Chambers
SKH02,67,Deposit,346,346,S33.1,161,Wall,disorganized,turf roof/wall collapse,FALSE,05/06/2002,MS/SÞ,1880,1952,1870-1960,Stables
SKH02,68,Deposit,908,329,S5.5,161,Floor,in situ,19th c. ash dump,FALSE,05/06/2002,BL,1800,1830,1780-1840,Pantry/Study & Library
SKH02,69,Deposit,80,80,S20.5,161,Wall,disorganized,roof/wall collapse,FALSE,05/06/2002,AH,1770,1790,1750-1810,School Dormitory
SKH02,70,Deposit,346,346,S33.1,161,Wall,in situ,churchyard wall? Over room 127 - slumped wall?,FALSE,05/06/2002,MS/SÞ,1880,1952,1870-1960,Stables
SKH02,71,Deposit,30,30,S13.4,161,Wall,disorganized,cleaning over 72,FALSE,05/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,72,Deposit,30,30,S13.4,161,Wall,disorganized,possible surface? (same as 51?),FALSE,05/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,73,Deposit,300,300,S4.6,161,Wall,disorganized,turf debris over wall 107,FALSE,05/06/2002,MS,,1890,1870-1900,Pantry/Kitchen
SKH02,74,Deposit,81,81,S33.1,161,Floor,in situ,slopewash - levelling?,FALSE,05/06/2002,GL,1880,1952,1870-1960,Stables
SKH02,75,Deposit,81,81,S33.1,161,Floor,in situ,roof/wall collapse - levelling?,FALSE,05/06/2002,RT,1880,1952,1870-1960,Stables
SKH02,76,Deposit,30,30,S13.4,161,Wall,disorganized,mixture of collapse & peat ash,FALSE,05/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,77,Deposit,39,39,S8.3,161,Roof,disorganized,roof collapse,FALSE,05/06/2002,EH,1800,1850,1780-1870,Nursery/Private Chambers
SKH02,78,Deposit,100,100,S29.3,161,Wall,disorganized,roof/wall collapse,FALSE,06/06/2002,UÆ,,1900,1900,Outhouse
SKH02,79,Deposit,30,30,S13.4,161,Midden,in situ,19th c. Ash dump,FALSE,06/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,80,Group,163,80,S20.4,161,Building,in situ,School room,FALSE,06/06/2002,GL/AH,1750,1770,1750-1780,School Dormitory
SKH02,81,Group,163,81,S21.3,161,Building,in situ,Dormitory,FALSE,06/06/2002,GL,1750,1770,1750-1780,School Room
SKH02,82,Deposit,81,81,S33.1,161,Floor,in situ,roof collapse,FALSE,06/06/2002,GL,1880,1952,1870-1960,Stables
SKH02,83,Deposit,912,329,S5.5,161,Floor,in situ,dung floor,FALSE,06/06/2002,BL,1800,1830,1780-1840,Pantry/Study & Library
SKH02,84,Deposit,816,816,S5.4,161,Wall,disorganized,roof/wall collapse,FALSE,06/06/2002,BL,1780,1800,1780-1810,Pantry/Study & Library
SKH02,85,Deposit,81,81,S21.5,161,Floor,in situ,roof/wall collapse,FALSE,06/06/2002,AH,,1790,1780-1810,School Room
SKH02,86,Deposit,300,300,S4.6,161,Wall,disorganized,20th c. wall collapse - poss. Assoc. With 70,FALSE,06/06/2002,MS/SÞ,,1890,1870-1900,Pantry/Kitchen
SKH02,87,Deposit,300,300,S4.5,161,Floor,in situ,paved floor/surface,FALSE,06/06/2002,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH02,88,Deposit,81,81,S21.5,161,Floor,in situ,roof/wall collapse,FALSE,06/06/2002,RT,,1790,1780-1810,School Room
SKH02,89,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,06/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,90,Deposit,1133,39,S8.2,161,Floor,in situ,sub-floor layer with probable padstones,FALSE,07/06/2002,EH,1750,1800,1750-1810,Nursery/Private Chambers
SKH02,91,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,10/06/2002,CH/BL,1830,1850,1810-1870,Silo/Midden
SKH02,92,Deposit,2344,2344,S8.2,161,Floor,in situ,unexc. levelling layer under room 39 =2416,FALSE,10/06/2002,EH,1750,1800,1750-1810,Nursery/Private Chambers
SKH02,93,Deposit,825,301,S4.4,161,Floor,in situ,organic sub-floor layer of hay and birch twigs - or roof?,FALSE,10/06/2002,OV,1800,1840,1780-1840,Pantry/Kitchen
SKH02,94,Deposit,81,81,S21.5,161,Floor,in situ,roof/wall collapse,FALSE,10/06/2002,GL,,1790,1780-1810,School Room
SKH02,95,Deposit,80,80,S20.4,161,Floor,in situ,organic (sub-)floor layer,FALSE,10/06/2002,AH,1750,1770,1750-1780,School Dormitory
SKH02,96,Deposit,300,300,S4.6,161,External area,disturbed,organic-rich cobble surface? External/north of 300,FALSE,10/06/2002,MS,,1890,1870-1900,Pantry/Kitchen
SKH02,97,Deposit,81,81,S33.1,161,Wall,in situ,wall fragment,FALSE,10/06/2002,GL,1880,1952,1870-1960,Stables
SKH02,98,Deposit,100,100,S29.2,161,Floor,in situ,flagstone floor/surface,FALSE,10/06/2002,UÆ,1840,1900,1840-1900,Outhouse
SKH02,99,Deposit,80,80,S20.4,161,Wall,in situ,wall (re-)build northern side of dormitory,FALSE,10/06/2002,GL,1750,1770,1750-1780,School Dormitory
SKH02,100,Group,163,100,S29.2,161,Building,in situ,19th c. Stores,FALSE,10/06/2002,GL,1840,1900,1840-1900,Outhouse
SKH02,101,Deposit,797,989,S4.3,161,Floor,in situ,flagstone floor,FALSE,10/06/2002,OV,1780,1800,1780-1810,Lodge/Dining Room & Chambers
SKH02,102,Deposit,80,80,S20.4,161,Floor,in situ,organic (sub-)floor layer of birch twigs & bark,FALSE,11/06/2002,AH,1750,1770,1750-1780,School Dormitory
SKH02,103,Deposit,831,443,S5.4,161,Floor,in situ,unexc. levelling layer under room 55 = 1222,FALSE,11/06/2002,BL,1780,1800,1780-1810,Pantry/Study & Library
SKH02,104,Deposit,300,300,S4.6,161,Wall,disorganized,roof/wall collapse,FALSE,11/06/2002,SÞ,,1890,1870-1900,Pantry/Kitchen
SKH02,105,Deposit,300,300,S4.6,161,Wall,disorganized,roof/wall collapse - prob. From room 15,FALSE,11/06/2002,MS,,1890,1870-1900,Pantry/Kitchen
SKH02,106,Group,163,106,S13.1,161,Building,in situ,east-west corridor,FALSE,11/06/2002,CH/GL,1690,1750,1690-1750,Main Corridor
SKH02,107,Group,163,107,V,161,Wall,in situ,walls of 18th c. Farm (west of haybarn),FALSE,11/06/2002,GL,,,,
SKH02,108,Deposit,3029,3029,S29.1,161,Floor,in situ,sub-floor layer,FALSE,11/06/2002,UÆ,1780,1800,1780-1810,Infirmary
SKH02,109,Deposit,300,300,S4.5,161,Wall,in situ,re-build of north wall of room 15,FALSE,12/06/2002,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH02,110,Deposit,30,30,S13.4,161,Wall,in situ,blocking wall at northern end of corridor 30,FALSE,12/06/2002,SÞ,1830,1850,1810-1870,Silo/Midden
SKH02,111,Deposit,100,100,S29.2,161,Wall,in situ,"blocking wall at northern end of room 100, closing off access to corridor 106",FALSE,12/06/2002,UÆ,1840,1900,1840-1900,Outhouse
SKH02,112,Deposit,300,300,S4.6,161,Wall,disorganized,roof/wall collapse,FALSE,12/06/2002,SÞ,,1890,1870-1900,Pantry/Kitchen
SKH02,113,Group,80,80,S20.4,161,Drain,in situ,drain through dormitory,FALSE,12/06/2002,AH,1750,1770,1750-1780,School Dormitory
SKH02,114,Deposit,113,80,S20.4,161,Drain,in situ,capstones of drain,FALSE,12/06/2002,AH,1750,1770,1750-1780,School Dormitory
SKH02,115,Deposit,113,80,S20.4,161,Drain,in situ,stone lining of drain,FALSE,12/06/2002,AH,1750,1770,1750-1780,School Dormitory
SKH02,116,Deposit,113,80,S20.4,161,Drain,in situ,organic fill of drain,FALSE,12/06/2002,AH,1750,1770,1750-1780,School Dormitory
SKH02,117,Cut,113,80,S20.4,161,Drain,in situ,cut for drain,FALSE,12/06/2002,AH,1750,1770,1750-1780,School Dormitory
SKH02,118,Deposit,300,300,S4.6,161,Midden,disorganized,unexc. organic midden layer/surface? - prob same as ???,FALSE,12/06/2002,MS,,1890,1870-1900,Pantry/Kitchen
SKH02,119,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,12/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,120,Deposit,30,30,S13.4,161,Wall,in situ,turf revetting associated with wall 110,FALSE,12/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,121,Deposit,989,989,S4.1,161,Wall,disorganized,roof/wall collapse,FALSE,12/06/2002,MS,1720,1760,1720-1780,Lodge/Dining Room & Chambers
SKH02,122,Deposit,80,80,S20.4,161,Wall,in situ,wall?,FALSE,13/06/2002,GL,1750,1770,1750-1780,School Dormitory
SKH02,123,Deposit,3029,3029,S29.1,161,Floor,in situ,unexc. Levelling layer under room 100,FALSE,13/06/2002,UÆ,1780,1800,1780-1810,Infirmary
SKH02,124,Deposit,153,878,S21.1,161,Fireplace,in situ,turf & stone infill of fireplace,FALSE,13/06/2002,AH,1650,1690,1630-1690,School Room
SKH02,125,Deposit,153,878,S21.4,161,Fireplace,disturbed,disturbed ashy fireplace deposits. = [475],TRUE,13/06/2002,AH,1770,1790,1750-1810,School Room
SKH02,126,Deposit,751,751,S13.2,161,External area,in situ,external flagstone surface,FALSE,13/06/2002,SÞ,1750,1800,1750-1810,Main Corridor
SKH02,127,Group,163,127,S30.3,161,Building,in situ,additional room not on 1784 plan,FALSE,13/06/2002,MS,1740,1750,1720-1750,School Master's House
SKH02,128,Deposit,127,127,S30.4,161,Wall,disorganized,roof/wall collapse,FALSE,13/06/2002,MS,,1750,1750-1780,School Master's House
SKH02,129,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,13/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,130,Group,163,130,V,161,Wall,in situ,walls of 18th c. Farm (east of haybarn),FALSE,13/06/2002,GL,,,,
SKH02,131,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,13/06/2002,BL,1830,1850,1810-1870,Silo/Midden
SKH02,132,Deposit,154,81,S21.4,161,Fireplace,in situ,turf & stone underfloor heating duct and box,FALSE,14/06/2002,RT,1770,1790,1750-1810,School Room
SKH02,133,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,14/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,134,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,14/06/2002,BL/CH,1830,1850,1810-1870,Silo/Midden
SKH02,135,Deposit,1269,1269,S14.2,161,Wall,disorganized,stone rubble pile; disturbed wall at e. end of 106 passage,FALSE,14/06/2002,SÞ,,1800,1780-1810,Corridor to Church
SKH02,136,Deposit,153,878,S21.4,161,Fireplace,disturbed,stone collapse and ashy fireplace deposits. = [482],FALSE,14/06/2002,AH,1770,1790,1750-1810,School Room
SKH02,137,Deposit,100,100,S29.3,161,Wall,disorganized,turf debris from over walls between corridor 30 and room 100,FALSE,14/06/2002,UÆ,,1900,1900,Outhouse
SKH02,138,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,14/06/2002,BL,1830,1850,1810-1870,Silo/Midden
SKH02,139,Deposit,127,127,S30.3,161,Floor,in situ,dung floor,FALSE,17/06/2002,MS,1740,1750,1720-1750,School Master's House
SKH02,140,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,17/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,141,Deposit,30,30,S13.4,161,Midden,in situ,episodic ash dumps,FALSE,17/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,142,Deposit,154,81,S21.4,161,Fireplace,disturbed,fill of heating duct,FALSE,17/06/2002,RT,1770,1790,1750-1810,School Room
SKH02,143,Deposit,153,878,S21.3,161,Fireplace,in situ,"primary, in situ hearth deposit",FALSE,17/06/2002,AH,1750,1770,1750-1780,School Room
SKH02,144,Deposit,30,30,S13.4,161,Wall,disturbed,roof/wall collapse,FALSE,17/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,145,Deposit,797,989,S4.2,161,Floor,in situ,unexc. Flagstone floor with organic layer,FALSE,17/06/2002,OV,1760,1780,1750-1780,Lodge/Dining Room & Chambers
SKH02,146,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,17/06/2002,CH,1830,1850,1810-1870,Silo/Midden
SKH02,147,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,18/06/2002,GL,1830,1850,1810-1870,Silo/Midden
SKH02,148,Deposit,30,30,S13.3,161,Floor,in situ,dung floor,FALSE,18/06/2002,CH,1800,1830,1780-1840,Main Corridor
SKH02,149,Deposit,81,81,S21.3,161,Floor,in situ,sub-floor levelling layer,FALSE,18/06/2002,RT,1750,1770,1750-1780,School Room
SKH02,150,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,18/06/2002,BL,1830,1850,1810-1870,Silo/Midden
SKH02,151,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,18/06/2002,BL,1830,1850,1810-1870,Silo/Midden
SKH02,152,Cut,7,7,T1.2,161,Excavation,in situ,Trench on west side of Kyndluhóll,FALSE,18/06/2002,OV,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,153,Group,878,878,S21.1,161,Fireplace,in situ,blocked-in fireplace on east side of room 81,FALSE,18/06/2002,AH,1650,1690,1630-1690,School Room
SKH02,154,Group,81,81,S21.4,161,Fireplace,in situ,Underfloor heating system in room 81,FALSE,18/06/2002,GL,1770,1790,1750-1810,School Room
SKH02,155,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,18/06/2002,CH/UÆ/BL,1830,1850,1810-1870,Silo/Midden
SKH02,156,Deposit,30,30,S13.4,161,Wall,disorganized,roof/wall collapse,FALSE,19/06/2002,EH,1830,1850,1810-1870,Silo/Midden
SKH02,157,Group,163,157,MR.1,161,Road,in situ,main road west of main settlement - assigned in 2015 post-ex,FALSE,12/02/2015,GML,1700,1900,,Main Road
SKH02,158,Deposit,30,751,S13.3,161,Roof,disorganized,roof collapse,FALSE,19/06/2002,UÆ/CH,1800,1830,1780-1840,Main Corridor
SKH02,159,Deposit,81,81,S21.3,161,Floor,in situ,unexc. organic (sub-)floor layer. Same as 817,FALSE,19/06/2002,AH,1750,1770,1750-1780,School Room
SKH02,160,Cut,504,504,T1.1,161,Excavation,in situ,Kristján Eldjárn trench from passage,FALSE,11/07/2002,GL,,1958,1930-1960,Kristján Eldjárn Excavation
SKH02,161,Cut,744,744,T1.3,161,Excavation,in situ,2002 Excavation area,FALSE,30/08/2002,GL,2002,2007,1990-2020,FSÍ Excavation
SKH02,162,Deposit,744,744,T1.3,161,Excavation,disorganized,spoil from 161,FALSE,30/08/2002,GL,2002,2007,1990-2020,FSÍ Excavation
SKH02,163,Group,163,163,X,161/743,Building,in situ,Main farmstead complex from 18th c.,FALSE,30/08/2002,GL,,,,
SKH03,164,Deposit,3026,3026,MA.2,743,Midden,in situ,20th c. Midden/rubbish deposit,FALSE,30/06/2003,MA,1910,1930,1900-1930,Midden Zone A
SKH03,165,Deposit,752,752,LH,743,Demolition,disturbed,Fill of mixed origin,FALSE,28/05/2003,EH,,1958,1930-1960,Levelling Horizon
SKH03,166,Deposit,1100,1100,S9.2,743,Wall,disorganized,Turf collapse with stones,FALSE,29/05/2003,MS/SGB,1800,1880,1780-1900,Living Quarters
SKH03,167,Deposit,908,329,S5.5,743,Floor,disturbed,"Disturbed flagstone floor, possibly late 19th century",FALSE,29/05/2003,BL,1800,1830,1780-1840,Pantry/Study & Library
SKH03,168,Deposit,752,752,LH,743,Demolition,disturbed,Layer of mixed oringin,FALSE,29/05/2003,EH,,1958,1930-1960,Levelling Horizon
SKH03,169,Deposit,300,300,S4.6,743,Midden,in situ,19th century midden deposit,FALSE,02/06/2003,OV,,1890,1870-1900,Pantry/Kitchen
SKH03,170,Deposit,421,421,S11.4,743,Roof,disorganized,Disturbed turf and flagstones,FALSE,02/06/2003,ÁE,,1740,1720-1750,Priests Living Quarters
SKH03,171,Deposit,300,300,S4.5,743,Floor,in situ,Wood ash deposit; = 057,FALSE,03/06/2003,OV,1840,1890,1840-1900,Pantry/Kitchen
SKH03,172,Deposit,1101,1101,S10.4,743,Wall,disorganized,Disturbed turf and stones,FALSE,03/06/2003,AC,1800,1880,1780-1900,Kitchen
SKH03,173,Deposit,300,300,S4.6,743,Wall,disorganized,Turf Collapse,FALSE,03/06/2003,OV,,1890,1870-1900,Pantry/Kitchen
SKH03,174,Deposit,185,7,T1.2,743,Midden,in situ,Peat and wood ash dumped into pit 185,FALSE,03/06/2003,EH,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH03,175,Deposit,1100,1100,S9.1,743,Floor,disturbed,Turf and flagstone collapse/levelling,FALSE,03/06/2003,MS,1740,1800,1750-1810,Living Quarters
SKH03,176,Deposit,908,329,S5.5,743,Floor,in situ,19th century floor,FALSE,04/06/2003,BL,1800,1830,1780-1840,Pantry/Study & Library
