id_ref,phase,start,end,path,description,en,is,image
38,S6.1,1720,1760,"m 6.4681784,4.22798 -2.776584,8.140439 8.5190646,2.965897 -1.735365,4.953678 4.196428,1.135875 1.766917,-4.701261 8.613721,2.808136 2.902792,-8.550617 z","Sharing a c. 2.5m wide stone facing and earth/turf infill wall [1706]/[2547] with Structure III to the north, is a building marked on the 1784 plan as the Bishop’s chambers. It is very poorly preserved, especially towards the western end. A southern wall of stone-facing and earth/turf infill was built in two segments, each c. 4.5m long and c. 2.6m thick ([1259], [2534], [2386], [2387], [1943]) with a wide gap of c. 2.3m in between marking a small chamber.  Most of this western section of the south wall had also been truncated, probably in relation to later re-building. The eastern end of the structure probably had a timber screen and doorway for access into the corridor (Structure VII) while the western end probably had a timber gable, which was marked by a clear stone sill base [2564]. The whole structure measured c. 11m long and 4.4m wide, internally.   A sub-floor turf levelling layer [2566] lay within the interior of the whole building, but remained unexcavated. Some post pads contemporary with the structure remained in situ, mostly along the northern side. Over the unexcavated levelling layer was a patchy floor which was best preserved at the eastern end, while a probable timber partition dividing the room in two is marked by a stone sill base [1917]. The eastern room [949] was c.6m long with a stone flag surface [1623] in situ in the northeast corner, sealed by mixed turf and ash floor ([1617]/[2054]). This area may have been partitioned off into a small chamber. A TPQ from this floor gave a date of 1720/1730. A charcoal-rich floor [1359] was recorded extending over both rooms, but was thicker at the west end; it also included the stone sill partition within it. Several fragments of timber and many smaller wood chips/splinters lay over the floor in the eastern room which may indicate floor boards had been used (but subsequently removed), explaining the patchiness of the floor layers. The western room [972] at c. 5.5m long had thicker floor patches surviving in the centre and southern side ([1359]/ [2281]).  A partition may have divided this room into two smaller spaces. Against the southern wall was a distinctly more compact and burnt area [2301] which probably marks the location of a stove. The 1722 inventory mentions a ceramic stove recently removed, which is probably what this area relates to.   A series of floors also lay in the opening of the southern wall; these probably mark a small chamber [2214] which would have had a wooden gable on its southern side. The room was only c.2.1m wide and 2.5m deep. The floors consisted of a stone cobbled surface [2347]/[2511] covered by charcoal dumps [2494/2335] and mixed turf [2324] and ash [2310], the ash of which probably came from an iron stove which the 1744 inventory mentions. The stove probably lay in the northwest corner of this small room; all this area was very badly disturbed, the floor layers being smeared/mixed with the wall due to later disturbance. It is also likely there was a chimney in this location. The dating from these floors was very broad, but within the 18th century. A bowed kerb [2040] and paved area [1966] lay outside/to the south of the building over which lay a dump of peatash (see Courtyard).  Somewhat breaking the pattern, the description of this structure always comes at the end of the inventories, rather than en route so to speak. The 1722 inventory describes this building as eight bays (stafgólf) long with ten glass windows, panelled walls all around and timber floors; there are also two panelled chambers, possibly at the western end, each with a lockable door. At the other end of the building are double doors. There is a spiral staircase up to a loft room which has four glass windows, a lockable door and three built-in beds. A ceramic stove with copper knob handles is mentioned as having been taken away – presumably to be replaced by an iron stove which appears in the next inventory. The 1744 inventory describes much the same building except in more detail. The building seems to be divided into two main rooms, with the inner (western) room sub-divided into two smaller chambers. The division between the inner and outer rooms is marked at the fifth bay by a panelled wall with a double-locked door in a carved door frame. The inner room has eight glass windows. The inner room has benches and a long table at the gable end and a bookcase with six shelves at the other by the door which is not locked. One of the chambers is described as a store room (kjallari) and is lockable. In the front (eastern) room, there were four glass windows and benches beneath the windows on one side; there was also a door on hinges, with a lock and a copper ring handle with silver inlay. The loft upstairs was split into two rooms with three beds and a small glass window in the front part and three glass windows in the inner room. Projecting from the south side of the building is another chamber, which is described as newly re-built and in good condition; it was constructed from double timber walls, had three glass windows with shutters and inside had two book cases and an iron stove (vindofn) with a copper pipe/chimney. A large flat tile lay on the back of the oven instead of stone facing on the wall. The chamber had a panelled door with a lock and key and iron reinforcement straps. The chamber also had a loft above with two beds, one glass window and a door with a lock. The 1745/6 drawing shows the building called the Bishops Living Quarters (Biskups Baðstofa) with the projecting chambers on the south side (Biskups kamers) with a  chimney on its eastern side and front room is marked (fremre stofan). Square windows are shown both on the ground floor and loft. The location of the chimney on thid drawing would seem to be misplaced,  as based on the archaeological evidence the western side of the chamber would be more plausible. The 1747 inventory does not show much change except the eastern room now has two windows instead of four. There is also mention of a newly made timber kitchen with a chimney which goes with the projecting southern chamber; although it is not clear exactly where this is located, since there is no mention of the stove and chimney described in the 1744 inventory, it may have been in the same place as that. The 1759 inventory reads the same, but now mentions that the chamber projecting from the south side is two and half bays (stafgólf) long. This could refer to the extension seen in the next phase. On the whole, the building is described as being in bad condition with rotten timber. On the whole, the archaeological remains seem to match these descriptions; the partition seen dividing the structure into two halves is probably the division into two rooms; no subdivisions at the western were seen but this was the most disturbed. The chamber projecting on the south side is also extant, and although badly disturbed, there was clear evidence of a stove having been here.",Bishops Living Quarters,Biskups baðstofa,t
39,S7.1,1720,1760,"m 36.032487,0.18931254 -4.51195,-0.14198441 -8.140438,24.87882287 4.354187,0.59949 z","This was the central passageway for the western wing of the manor, where based on historic plans, the Bishop’s quarters among other rooms were located. Most of it is encompassed within the excavation area except a portion to the north; here, the corridor clearly continues beyond the limit of excavation where a flagstone (or drain capstone) is still visible under the grass and can be traced up to the stone-lined verge of the present day car park. The length within the excavation area was 13.5m, and internally it was c. 2.m wide though this varied depending on the location of the timber screens separating the corridor from the various structures. Where the foundations for structure IV projected out, the corridor had a distinct kink or dog-leg – though this may have been a later modification. It had four structures coming off it, two to the east and two to the west (Structures III-VI). Based on the inventory descriptions, there were probably doors or at least partitions segmenting the corridor into three sections, which was reduced to two by the 1740s.  The surface of the corridor was laid with turf and flagstones ([2491], [2481], [2478], [2490], [2137], [2438], [2436], [2427], [2426], [1498]); TPQ from these deposits gave a date of 1730/1740. Over the floor lay four substantial wooden sill beams [1676], which rested along the edge of the walls, the two at the southern end with rectangular sockets for holding timber uprights, possibly indicating the presence of stave panelling at this end of the corridor (see the wood chapter in a later volume for more details). The north east sill beam was sealed by the sub-floor construction layer [1716] for Structure IV, suggesting these beams were laid prior to this layer – or at least the western end of it, which juts out into the corridor by c.1m (see Structure IV, S4.1 for further discussion). Several early 19th century whiteware sherds were recovered when these sill beams were excavated which must be intrusive from overlying/later deposits; given that these beams remained in situ and probably in use well into later phases, such contamination is not unlikely. Over the surface of the corridor lay an accumulation of ash and woodchips with some flagstones ([1461], [1627], [1679], [2102], [2450]) and which contained a large number of finds with a TPQ of 1720.  This corridor is not described in a single place in the inventories but rather mentioned in two to three different places. The main description occurs under the label of the vestibule or entrance hall (Herbergia Anndyr) which is the main door on the south side; this is followed later (in 1722) by a description of the corridor (göng) between the Bishops Living Quarters (Structure VI) and the New Hall (Structure IV); and finally as the area between the latter and the Store room (Structure III). In the 1722 inventory the vestibule is described as one bay long with panelled walls and a hinged and lockable door; above it was a loft with a table and a glass window and three beds (which presumably extended north over the corridor).  An encased stairway lead up to the loft which has a lockable door. Going through the vestibule into the corridor between the northern and southern buildings, no special walls or floor are mentioned. Finally the section of corridor between the two northern buildings has panelled walls, and also described as one bay long. It is possible that the roof ridge lines of the corridor ran east-west where it was within the space between buildings though this is purely conjectural.   The 1744 inventory suggests a change to this layout and describes the vestibule as newly re-built. Now the vestibule includes the whole way to the northern pair of buildings and is more than five bays long – which means its roof line has shifted to the north-south axis. It is panelled in the first bay with a bench and above it, a loft extending the for five bays; the loft room contains a table, three beds and two glass windows. Enclosed stairs lead up to the loft which has a lockable door. The front door now just has a latch. The 1747 and 1759 inventories record the same, although in the latter there is only one window in the loft now. The northern section of the corridor seems unchanged, its roof-line still running east-west; it remains the same and is described as being in good condition in the 1744, 1747 and 1759 inventories. The drawing from 1745/6 shows this new configuration with a north-south alignment for the southern end of the corridor and an east-west one for the northern part. It is unlikely any doors separated these different sections of the corridor as none are mentioned.",Vestibule & Corridor,göng,t
40,S8.1,1720,1750,"m 53.595169,39.755632 -0.17748,1.826078 -3.430572,-0.251143 c 0,0 0.145018,1.171311 0.18964,1.282864 0.04462,0.111554 -0.06693,2.409555 -0.06693,2.409555 0,0 0.423902,0.356971 0.446214,0.446215 0.0223,0.08924 0.312349,3.658955 0.312349,3.658955 l -6.42548,0.06693 0.691631,-5.488432 0.156176,-5.265324 0.334658,-4.774489 0.513146,-0.423905 5.109152,0.490837 0.267726,1.070914 -0.37928,4.908352 1.316331,0.245419 z","Located between the western and southern wings, Structure VIII was 7.9m long and 3.1m wide. The walls ([2047]/[1438]/[2323]) were very badly preserved, but nonetheless more or less extant around three of the four sides. The eastern wall was very narrow at 0.97m wide though the western wall which it probabaly shared with Structure XI was more substantial, at 3.1m wide. At the southern end it is unclear if there was a turf wall or only a wooden gable end; the foundation layer appears to extend beneath a row of stones suggesting this row may be the sill plate for a wooden gable. Further flat stones interpreted as post pads at this end [1439] lend more support to the presence of a gable. On the east side of the building in the middle of the wall was an entrance passage [2553] which led, via a set of stone steps, into the main axial corridor (Structure XI). The passage was 0.8m wide and 1m long and descended down by c. 0.9m. The surface of the room was covered in turf and flagstones [2753]/[2546], over which had accumulated a trampled charcoal and ash floor [2453]/[2545]. TPQ from this floor gave a date of c. 1720/1730. At the south end, the floor was almost all truncated due to later remodelling, either of the south wall in the next phase or the construction of a timber floor, as indicated in the 1744 inventory. An area of flagstones and brick [2448] lay against the west wall opposite the entrance, which could be remains of a stove base – a fragment of stove tile was found in the wall re-build of the next phase).   This structure is the nursery (barnhús) mentioned in the 1722 inventory and is recorded as having been built during the encumbency of Bishop Vídalín (1698-1720). It is probably a fairly new structure at the time of the 1722 inventory. An earlier mention of two nurseries occurs in the 1698 inventory which is when Vídalín arrived in the position, but this structure is unlikely to be either of those. In 1698, the upper one (barnahusid efra) seems to have been located in an area between the Bishop’s living quarters and the Boys Hall, i.e. Structures XXIII and XXV and has not been investigated or identified. The lower one (barnahusid nedra) lay off the main axial corridor, but probably north of the wheystore (Structure XV) if the order of descriptions in the inventory can be trusted to infer such; if so it was also not identified during excavation but should be located just north of the wheystore on the same side of the corridor. The current structure (i.e VIII) was probably built c. 1720 at the end of Vídalín’s encumbency and in the 1722 inventory it is listed after the wheystore, suggesting it is to the south of it. Indeed, the 1745/6 drawing clearly depicts the nursery (barnhús) here. The 1722 inventory describes a building four bays long with five beds; there was a loft above half the building with two more beds. The door into the room had hinges and a lock.   The 1744 inventory describes the same building but mentions the ground floor now has a small chamber one bay long at each end, both with panelled walls and a bed; one side of the house also had a raised timber floor.  There was also only one bed in the loft. It is described as being in good condition. Little has changed by 1747 except there are only four beds in the main room downstairs now, not five; the roof is said to have old timber and by 1759, it seems the loft only extended over one bay length. The name barnhus is somewhat unusual and it is not fully clear who may have lived here; however the presumption is that it was used as the quarters for children or foster children in the Bishops household. ",Nursery,barnhús,t
41,S11.2,1720,1730,"m 30.731735,45.466563 -2.681928,-0.536387 -0.15776,-1.98778 0.662596,-0.315521 0.378624,-2.271752 -3.975564,-0.536385 -0.504833,-2.240198 0.09466,-3.344521 2.240197,0.09465 0.09466,-0.694145 4.448844,0.410175 1.48295,1.672262 6.531282,0.157761 -0.347073,5.363855 -7.761814,-1.04122 z","The interior of the building was laid with fresh turf levelling deposits ([1378], [1389], [1398],) covering the whole room. Over these was a patchy but extensive charcoal floor [1286] which also covered the whole room. Internal divisions are difficult to discern in this phase but based on the inventory, there does seem to have been two separate chambers now; possibly both are located at the eastern end, each one bay wide. There is a suggestion of a similar arrangement in the next phase (see S11.3). Associated with these floors were a set of postpads [1268/1481] arranged around the edges of the room; there probably had been 6 pairs of posts spanning the width of the room, spaced between 1.8 and 1.2m apart; all 6 postpads survived in situ along the north wall, but only 5 on the south. At the two ends of the room, 2 further posts had probably stood; at the east end, both pads survived but at the west, only one. The floors were also very ‘clean’ of finds, unlike almost every other room on the site; the TPQ from the floors returned a date of c. 1650.   Covering part of the original flagstone floor in the passage [421] was a charcoal layer [1169] which was contemporary with the floor [1286] in room [691]. TPQ from the floor returned a date of c. 1650. A similar charcoal floor [1612] lay over the flagstones in passage [1608]. This floor returned a TPQ of c. 1700.  The 1722 inventory now calls this building the Priest‘s Living Quarters (Prestbaðstofan), and now seems to have two chambers on the ground floor, each with a lockable door, a bed, table and glass window, while the loft above extends over four of the five bays. There now appears to be also a door into the building with a lock, presumably on the passage side rather than an external door. The main corridor connecting this with the other living quarters to the south (Structure XII) is now only two bays long. The passage to the outer door is panelled as before and with one lockable door and window.",Priests Living Quarters,Prestbaðstofa,t
42,S17.5,1720,1750,"m 30.43179,59.458007 -0.513146,2.431865 -4.350585,0.736253 0.379282,2.275692 -0.446214,0.379283 -3.83744,-0.223107 -9.749775,1.96334 -1.494817,-0.267729 -5.644606,1.628683 -1.8517878,-0.312352 -1.1824668,-6.603965 0.6470102,0.111553 0.2007962,0.602388 10.8206882,-2.922701 2.320312,-0.02231 1.539439,-0.35697 2.721904,0.178485 0.736253,-0.468524 3.391226,-0.6247 1.115535,0.914739 c 0,0 0.08924,1.249399 0.133864,1.405572 0.04462,0.156176 5.064528,-0.825494 5.064528,-0.825494 z","The structure undergoes a major overhaul at this time; the western wooden gable was pulled down and a stone and earth wall [2858] erected in its place, though a doorway remained in more or less the same location. The inbuilt feature in passage [2326] was removed  resulting in more space being freed up in the passage itself, now 1.2m wide. From this phase on, the floor extended closer or right up against the north wall as it had in the first phase.   A substantial, thick turf levelling layer was deposited across most of the room and into the passage ([2777/2696], [2594]); several more discrete deposits of turf deposits lay in the northwest corner ([2681], [2620], [2604]). Over the levelling were some flagstones at the west end [2602] associated with patches of floor material ([2613], [2591], [2586], [2584]) both of which sealed a large depression/hollow [2624] in front of a new fireplace in the western room; this hollow probably represents truncation caused in the dismantling of the old fireplace.  The roof must have also been repaired at this time as the timber posts would have been re-set when the floor was re-surfaced. The drain was certainly defunct at this stage.  The flagstones in the western part were contemporary with a more extensive series of floors in the eastern half of the room ([2589], [2574], [2391], [2372]), which extended into the passage [2326] as floor [2569/2571] – although there were clear signs of a change in composition and it seems likely there was a wooden threshold and door marking the transition into this passage. Covering the floor in the passage was a peatash dump [2345]. A TPQ from this peatash returned a date of 1719. The dating from these floor layers all suggests a late 17th/early 18th century date with a TPQ of 1680 from the ceramics and c. 1700 from clay pipes. Cut through the uppermost floor was a posthole [2532], whose function is rather enigmatic but could mark the position of a post added to support a weakness in the roof.  Both the fireplaces from the previous phase were re-built. The new fireplaces in this room were in very similar locations to the earlier ones; the western fireplace [2597] was built just to the west of its precursor [2730] and was possibly much smaller; very little of this fireplace survives as it was demolished during the construction of yet another fireplace in the last phase of the room. The hollow [2624/2647] created by dismantling of the earlier fireplace was levelled with turf [2636], with a cut [2595] (1.1x0.9m, 0.15m deep) made for the new fireplace. No in situ stones survived, only remnant peatash deposits ([2570], [2575], [2628], [2627], [2590]) within this cut as well as a rake-out deposit [2633]. The northeastern fireplace [3032] was also disturbed but better preserved; it was located more or less over the earlier one [2626]. It consisted of stone blocks ([2232], [2592]), surviving on two sides with its west side robbed but demarcating a space 0.8 long and 0.4m wide. Several extensive peatash layers ([2224], [2289], [2298], [2588], [2596], [2599], [2601]) abutted the fireplace but some had been badly disturbed by later activity. Another probably represents (disturbed) rake-out [2485]. This fireplace was probably associated with a wooden chimney, based on the 1745/6 plan.  This phase probably can be tied to the inventory from 1722, which describes the building as eight bays and in good condition indicating a recent repair. Already by 1744 however, it is described as being worn and again in 1747. The only change is that two doors (both with latches) are mentioned in 1744. The drawing from 1745/6 shows the meat store – but is labelled strangely as the tapestry store (Reflaskemma) with a door at the western end and a chimney at the east end. There is no sign of any building called the Old Kitchen (Edlhúsid Gamla), which according to the inventories remained in use until the 1760s, though there is a building called the harðatorfs kofi (i.e. ‘hard turf’ shed) on this plan. The passage between this building and the adjacent store (Structure XVIII) is also marked as viewing platform (Siónpláts) and a theatre (Theatrum) on this drawing, but there is no mention of this in the inventories either and given the size of the passage, these labels probably refer to an improvised usage of the external walls and roof of the passage – that is, an open air auditorium. No windows are shown on the building.",Meat Store,kjötskemma,t
43,S23.2,1720,1720,,"The full extent of this building was not recovered due to lack of time and severe truncation and disturbance from later construction. Arbitrary limits of excavation within the larger excavation area were imposed on the eastern, western and southern sides to enable some understanding of this structure within the time constraints. Only the south wall [2207] of the building was identified, associated with a TPQ of 1590; the northern and western walls probably lay beyond the reduced limits of excavation while at the east end it was clear the structure met corridor [2646] (Structure XXVI) and then continued on to join Structure XXIV, only the easternmost end of which was excavated . As of end of excavation then, it appears this was a building at least 9m long and c. 4.4m wide, but with a projection at the east end of c. 2m where a cellar was located . The south wall shows a possible threshold c. 1.7m wide about midway along.   The structure was excavated down to a turf levelling layer [2984] over which lay a trampled ash floor ([2658], [2610], [1997]) with substantial flagstones along the edges of the room and noticeably larger flags at the west end, where the floor also seemed to stop. There is almost certainly an earlier phase of floors beneath these. The excavated floor was quite substantial, but also somewhat disturbed. A TPQ of 1700 was associated with it from a clay pipe. It seems likely the western end marks a threshold, probably into another part of the same building (the Bishops chambers/Biskups kamers). A patch of floor [2997] was exposed to the west, but not fully investigated. It was associated with a TPQ of 1670. Some timbers ([2897], [2926], [2959]) survived lying over/within the ash floor at the northern side, aligned east-west; these may indicate the room had floorboards in a later phase; in the same floor, lay a large sill beam [2890].   The dominating feature of the room however was a deep, stone-lined cellar [2863]. There were clearly two phases of construction to this cellar, but only the later phase was excavated. In the primary phase, it was c. 3.2m by 2.5m, but at some point the north and east walls were re-built inward, making the cellar somewhat smaller (2.7m by 1.8m). The stone blocks used in the new walls were markedly smaller than in the original construction. In the last phase, the cellar extended c.1.5m deep from the floor surface; the base of the cellar had a compact, cobbled surface [3022] which is probably part of the original construction and was not excavated; over this, flagstones [2872] had been later laid and these may be contemporary with the re-build. Associated with these flagstones was a thick, black wet deposit with dense concentrations of animal bone, fish bone, egg shells, textiles, and artefacts. A TPQ of 1660 was associated with this layer.  The 1674 inventory describes a large building, twelve bays long which incorporates two main rooms, the Bishops living quarters (Biskupsstofan) and a Timber Room (Timburstofan) – the latter possibly all made from timber and lacking any turf and stone walls. The Bishops quarters has four beds and a door with a lock. Probably part of the same building are two associated rooms: an old store room (kiallarahusid gamla) with four beds, a small storage compartment (litli klefinn). To the north lay the bailiff or stewards quarters (radsmanshusid) which was not excavated or identified; it became a priests room in 1698 and was next to or opposite a nursery (barnahusid efra). Both of these rooms lay between the main north and south arms of the Bishop’s manor. In 1698, the building is much the same; the timbers are described as old but strong, though some rot can be seen. The description of the rooms gives more details though and now is clearly described as running from west to east and all of them have panelled walls. The westernmost room is the Timber Room, being three bays long and with a chamber in one corner. Inside it is furnished with two small tables, chairs and corner benches and there are two doors, both with lock and key. The Bishops quarters is also three bays long and furnished with two lockable doors, three four-poster beds, a small table and bench. The next room is called a bed room (sængurhus) and is presumably what was called the old store room in 1674; it was three bays long and furnished with four beds and a lockable door. The easternmost room and one presumably fronting the corridor, is a small, two-bayed room with one box bed, another bed, small table and bench and also has a lockable door. Adding the length of these rooms only gives a structure of eleven bays, so somewhere one bay has been lost.  Given the fragmentary nature of the archaeology, matching the remains to the inventory descriptions is extra difficult but if one assumes that the excavated remains constitute the easternmost end of the large, twelve bay building then the cellar and surrounding floor layers probably form part of the last room and the entrance vestibule (andyr). Although no mention is made of a cellar, it might not have been regarded as a room worthy of mention; certainly its presence would seem to support the idea that this area was for storage. Based on estimates of bay length, one would expect this building to have continued 2-5m beyond the limit of excavation, extending for a total length of c. 15-18m.  The building and whole area was levelled to make way for a new manor house (see Structure VI). In the cellar [2863], over the surface and accumulated debris, the upper part of the south wall of the cellar had collapsed in [2862], which in turn was sealed by carefully and deliberately laid turf [2727] infilling the whole of the cellar, although in the upper part of the deposit there was floor material mixed in. This was probably done during the construction of the new buildings, specifically Structure VI . A TPQ of 1700 was associated with this infill. Immediately above the floor in the main structure were walls and floor levelling layers associated with the construction of the new west wing. Along the north edge, some other layers ([2533], [2454], [2425], [2609]) represent levelling/disturbance of the floor/walls of this structure and/or construction associated with Structure VI as the wall of Structure VI are built over them. A TPQ of 1674/1700 was associated with these.",Bishops Living Quarters,Biskupsbaðstofa,
44,S25.3,1720,1720,,"In the next phase the floor was resurfaced with more flags and ash [2521]. A TPQ of 1705 or 1722 (from a clay pipe) came from finds in this floor. The drain [2732] was probably still in use. Associated with this was the re-making of the flagged area in the southeast corner ([2788]/[2782]) 1.1m wide and 2.4m long and the addition of a matching platform in the northeast corner of the room [2789]/[2780]) 1.1m wide and 2.3m long. It is possible there was a partition here as suggested in the previous phase, separating this section off from the rest of the structure, but there is no clear evidence of a stone sill plate. Probably at the same time, the eastern wall was re-built [2848]; the original timber gable was taken down and a low turf and stone wall built over ([2843]). The new wall is rather insubstantial – only 0.7m wide, which suggests it may have just been a reconstructed foundation for a new timber gable on top of it.   The 1698 inventory mentions the building was repaired during the encumbency of Bishop Þorláksson (1674-1697); it is now only six bays long with six beds along the walls and one at the gable end. There remains a hinged door.  The abandonment of the room is marked by a series of turf dumps ([2573], [2341], [2420], [2568], [2403], [2359]) which probably respresents collapsed walls pushed into the room to level it off ready for Structure IV. A TPQ of 1700 was associated with these infill layers. The top of the drain had also been packed with turf filling ([2723/2724/2725]) which is probably the same material infilling the room. A TPQ of 1730/1740 came from this drain packing which is a little late. Accumulating or infilling the gap between the east wall of the structure and the outer wall of the axial corridor (Structure XIII) were a series of turf fills ([2844]/[2631]) – possibly deliberately dumped during the construction of Structure IV. ",Male Servants Quarters,sveinaskáli,
45,S30.2,1720,1740,"m 64.968749,2.5434194 7.67488,1.472506 -0.490834,1.026292 -2.275692,-0.4462139 -0.08924,0.6246995 0.490837,0.1784858 -1.338644,3.7035755 -5.711536,-1.695613 z","In the early 18th century, the floor was re-laid; a new turf floor with wood chips and charcoal [902] was identified with five or six post pads preserved around the sides of the room, marking the position of roof-bearing timbers. A TPQ of 1720 was associated with this floor layer.   The 1722 inventory suggests no major changes except the addition of an extra window and the ceiling now has stone flags. It is described as being in good shape.",School Master's House,skólameistari hús,t
46,C.2,1720,1830,,"The earliest exposed surface in the central area ([2563/2793]) was not excavated but covered an area of c. 12m east-west by 8m north-south, although it probably continued further west beyond the limit of excavation. This is probably early 18th century. Above the earlier, mostly unexcavated surface was a more substantial, but disturbed surface, which was excavated on a metre grid to control for finds recovery. The best surfaced area [2061] lay on the eastern side of the drain, while the western side ([1771]) was surfaced with smaller stones and more sparsely set, but it is possible that this area had simply been robbed of the larger flagstones. The dating of the finds from this surface was quite wide; on the whole, the majority fall within the 18th century with a TPQ of c. 1720/1730, but along the southern edge of the yard closest to Structure X, much later finds occurred with TPQs of 1820 and 1840 (units: [2149-2176]). It is likely this is a consequence of greater mixing/disturbance at the south end. Indeed, beneath this surface at the southwestern corner were a series of sandy dumps ([2267], [2276], [2279]) associated with a TPQ of 1820; these lay over a flagged surface ([2285], [2315], and [2622]) running in front of Structure X and associated with a TPQ of 1790. A secondary layer of flags lay over this ([2004], [1989], [1919], [1923]) with a TPQ of c. 1800; both surfaces probably represent a proper pavement in front of Structure X. To the east, further patchy yard deposits also occurred ([2612], [2572]; [1638], [1646]).  Other possible remants of an earlier paved surface in front of Structure IV include a series of flagstone deposits ([1966]: [2585], [2587], [2593], [2598], [2205], [1877]), set within a curved kerb [2040]. A large dump of peatash [1863] lay over this pavement and up against the south wall of Structure IV, just to the left of a central door, associated with a TPQ of 1700. Probably contemporary with these flagstones and kerb (and the construction of the new west wing), was some paving [1699] just at the entrance into the corridor (Structure VII), which lay over some turf levelling/debris ([2373], [2374]). The paving was associated with a TPQ of 1700 and the underlying turf debris, a date of 1691. Somewhat later is another area of paving [490] which lay south of Structure V outside and to the west of the centrally placed doorway (see S5.4). This probably dates to c. 1780.  In general the yard surface clearly represents a long-term accumulation/palimpsest of deposition which probably extends over more than a century, which is why it has been designated as crossing two phases. It is likely that a drain was constructed sometime during this phase – probably around the middle of the 18th century. The drain [1077] ran through the eastern side of the yard and was simply an extension of the drain [1287] in the central corridor (Structure VII) of the Bishops wing whence it ran south until it met the north wall of Structure X. A side shoot [2195] ran west immediately as it exited the corridor and ran along the exterior of the south wall of Structure VI as far as the bay outshot (see Structure VI). At the north wall of Structure X,it turned a right angle and ran along the north wall of that building, continuing beyond the limit of excavation. It probably continued westward and into a track which ran downslope towards the brook. Because the drain appears to have been re-built in the 19th century, very little of the original drain survives, except at the bend north of Structure X. Here traces of sidestones ([2049], [2305]), packing ([2313]), fill ([2306], [2316], [2671]) and the cut [2670] were found, all associated with 18th century finds.",Courtyard,hlað,t
47,C.2-3,1720,1850,,"The earliest exposed surface in the central area ([2563/2793]) was not excavated but covered an area of c. 12m east-west by 8m north-south, although it probably continued further west beyond the limit of excavation. This is probably early 18th century. Above the earlier, mostly unexcavated surface was a more substantial, but disturbed surface, which was excavated on a metre grid to control for finds recovery. The best surfaced area [2061] lay on the eastern side of the drain, while the western side ([1771]) was surfaced with smaller stones and more sparsely set, but it is possible that this area had simply been robbed of the larger flagstones. The dating of the finds from this surface was quite wide; on the whole, the majority fall within the 18th century with a TPQ of c. 1720/1730, but along the southern edge of the yard closest to Structure X, much later finds occurred with TPQs of 1820 and 1840 (units: [2149-2176]). It is likely this is a consequence of greater mixing/disturbance at the south end. Indeed, beneath this surface at the southwestern corner were a series of sandy dumps ([2267], [2276], [2279]) associated with a TPQ of 1820; these lay over a flagged surface ([2285], [2315], and [2622]) running in front of Structure X and associated with a TPQ of 1790. A secondary layer of flags lay over this ([2004], [1989], [1919], [1923]) with a TPQ of c. 1800; both surfaces probably represent a proper pavement in front of Structure X. To the east, further patchy yard deposits also occurred ([2612], [2572]; [1638], [1646]).  Other possible remants of an earlier paved surface in front of Structure IV include a series of flagstone deposits ([1966]: [2585], [2587], [2593], [2598], [2205], [1877]), set within a curved kerb [2040]. A large dump of peatash [1863] lay over this pavement and up against the south wall of Structure IV, just to the left of a central door, associated with a TPQ of 1700. Probably contemporary with these flagstones and kerb (and the construction of the new west wing), was some paving [1699] just at the entrance into the corridor (Structure VII), which lay over some turf levelling/debris ([2373], [2374]). The paving was associated with a TPQ of 1700 and the underlying turf debris, a date of 1691. Somewhat later is another area of paving [490] which lay south of Structure V outside and to the west of the centrally placed doorway (see S5.4). This probably dates to c. 1780.  In general the yard surface clearly represents a long-term accumulation/palimpsest of deposition which probably extends over more than a century, which is why it has been designated as crossing two phases. It is likely that a drain was constructed sometime during this phase – probably around the middle of the 18th century. The drain [1077] ran through the eastern side of the yard and was simply an extension of the drain [1287] in the central corridor (Structure VII) of the Bishops wing whence it ran south until it met the north wall of Structure X. A side shoot [2195] ran west immediately as it exited the corridor and ran along the exterior of the south wall of Structure VI as far as the bay outshot (see Structure VI). At the north wall of Structure X,it turned a right angle and ran along the north wall of that building, continuing beyond the limit of excavation. It probably continued westward and into a track which ran downslope towards the brook. Because the drain appears to have been re-built in the 19th century, very little of the original drain survives, except at the bend north of Structure X. Here traces of sidestones ([2049], [2305]), packing ([2313]), fill ([2306], [2316], [2671]) and the cut [2670] were found, all associated with 18th century finds.",Courtyard,hlað,
48,IS.2,1720,1730,,,Interstice,?,
