Field1,Inv No,FindNo,Alternate No,Fibre type,No of Fragments,Measurements in mm unless otherwise stated,Diameter of threads in mm (Warp/Weft),spin (Warp),spin (Weft),Thread count             per cm Warp,Thread count             per cm Weft,Weave,Type,Fulling,Fluffy Weft,Quality of Weave,Relationships/sample/ next steps,Color and Comments,Textile Analysis Reports,Source Document,Page No,Present GAG,<Older find or group no?>,Unit,Context No,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,SKH04-4211,4211,,Horse Hair?,2,82.55 x 70.82; 20.79 x 3.87,3.29 / 3.06,S2z,S2z,3,2,Tablet ?,ribbon/band,,,,,"Light Brown and Brown / Brown; this is a strange fragment; looks like it is done in horse hair; the fragment is dry and breaks easily; there is a weave though not sure, possibly this is tablet woven and then the weft threads would not be very visible; the",,SKH04 ks. 2.docx,91,,,,892,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH02-18365,18365,59,Human Hair,0,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,human hair,,,,,,,59,S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
1,SKH04-4190,4190,,Human Hair,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,Human hair not analyzed.,,Textiles Michele Skalholt SKH 04-KS1 (2) recovered,,,,,1141,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
1,SKH07-13638,13638,,Human Hair ?,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,,,,,,,2786,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
1,SKH03-2120,2120,,Leather,0,,,,,,,Leather,leather,,,,,Leather,,Felts and Knits Skalholt 2,,,,,425,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
1,SKH03-9117,9117,278,Leather,0,n/a,n/a,n/a,n/a,n/a,n/a,Leather,leather,n/a,n/a,n/a,,Leather,,,,,,,278,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH04-18241,18241,988,Leather,0,n/a,,n/a,n/a,n/a,n/a,Leather,leather,n/a,n/a,n/a,,n/a,,,,,,,988,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
1,SKH07-18837,18837,2708,Leather,0,n/a,n/a,n/a,n/a,n/a,n/a,Leather,leather,,,,,,,,,,,,2708,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
1,SKH07-19181,19181,2840,Leather,0,NA,,NA,NA,NA,NA,Leather,leather,NA,NA,NA,,NA,,,,,,,2840,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH04-4179 i,4179,,Leather,0,43.92mmx6.21mm,n/a,n/a,n/a,n/a,n/a,Leather no an/analysis,leather,,,,,No analysis - leather.,,Textiles Michele Skalholt SKH 04-KS1 (2) recovered,,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH07-19220,19220,2708,Leather,0,,,,,,,,,,,,,19071?,,,,,,,2708,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
1,SKH06-09689 j,9689,,"Leather , bark or fungus?",0,29.34x18.83,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,No dyno.,,"Skalholt,Sept 2014 SKH06 KS 14-2.docx",19,,,,2185,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1,SKH03-2510,2510,,Leather?,0,,,,,,,Leather?,leather,,,,,Leather?,,Felts and Knits Skalholt 2,,,,,442,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
1,SKH06-64-9836 d,9836,,Linen ?,1,30.77  x 18.36,0.46 / 0.47,z,s,n/a,n/a,Tabby,tabby,,,Extremely fine,,Brown; very dirty - the weave is obscured; could be wool; finely spun fibers.,,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation","8, 9-10",,,,2346,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
1,SKH06-64-9808 d,9808,,Linen ?,1,74.71 x 29.77,0.44 / 0.44,z,z,16,17,Twill 2/2,twill,,,extremely fine,,Tan; very loosely woven and has the feel of linen rather than wool.,,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation","16, 17",,,,2467,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH03-2825,2825,,Linen or jute ?,1,75.74x4.68,0.45 / 0.34,not stated,s,n/a,n/a,Like tablet weaving but machine made,,,,machine made,,"Blue, red warp / tan weft; like a tablet-woven band but this appears to be machine made and fibers are not wool; there is a blue that looks like it was painted on top of it; there are loops formed with the weft threads and they show through in a decorativ",,Textiles Skalholt Analysis sheet 2003 final (1),81,,,,568,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
1,SKH07-15729 b2,15729,,Linen?,1,48.65x38.12,not stated,z,s,not stated,not stated,Twill 2/2,twill,,,very fine,,No colour given.  Twill 2/2 - probably flat loom produced though not necessarily - desiccation makes thread count impossible - is this linen?,"""SKH-2007-15729b is an example of a fabric made of large single s-spun warp yarns and smaller single, z-spun wefts. These combinations provided strength for the warp yarns, needed for weaving, especially if using warp-weighted looms, plus softness and ins",Textiles Skalholt 2007 (2).docx,13,,,,2652,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
1,SKH05-6964,6964,1590,non-textile (parchment or vegetal fiber?),1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,not analyzed,,"Textiles, Laboratory Work Sheets from SKH05-KS12 #6 ADC",26,,,,1590,S18.7,1770,1790,1770-1790,1750-1810,Pantry
1,SKH07-02872,2872,,not stated,1,34.03x15.18,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,"Clump of fragment of hair, matted piece, this is very scrappy, said to have come out of the sieve; no dynoscope, only pix.",,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,25,,,,603,C.4,1850,1890,1850-1890,1840-1900,Courtyard
1,SKH06-09679 g,9679,,not stated,2,69.37x3.28 / 49.92x8.20,not stated,not stated,not stated,not stated,not stated,Plied yarns,yarn,,,,,"No colour given; not analyzed; cords, tassels; some kind of plied yarns but are caked in some kind of substance that obscures pattern; the plied yarns form cords.",,Textile Skalholt 2006 field season final (1).docx,5,,,,1903,S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
1,SKH03-2044 c,2044,,not stated (Wool?),1,153.97x111/29,not stated,not stated,not stated,not stated,not stated,Knit,knit,,,,,not analyzed,,Textiles Skalholt Analysis sheet 2003 final (1),74 to 76,,,,1,LH,1958,1958,1958,1930-1960,Levelling Horizon
1,SKH06-09616 a,9616,,not stated (Wool?),1,142.14x11.73,not stated,Z2s,S2z,not stated,not stated,Twill 2/2,twill,,,homespun; tightly woven,,No colour given; very narrow band; no thread count taken because piece is very dirty and the details were obscured by earth.,,Textile Skalholt 2006 field season final (1).docx,89,,,,2076,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
1,SKH06-09616 c,9616,,not stated (Wool?),1,58.10x17.06,not stated,Z2s,s,9,8,Twill 2/2,twill,,,,,No colour given; very small fragment as well.,,Textile Skalholt 2006 field season final (1).docx,89,,,,2076,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
1,SKH06-09616 d,9616,,not stated (Wool?),2,24.42x12.48 / 24.06x11.13,not stated,Z2s,s ?,not stated,not stated,Twill 2/2,twill,,,,,"No colour given; very small; too small for thread count; ""there is one of the knits that might be part of this piece and woven, not sure because they are fragments and too small to determine correctly so adding it here"" (it's the second of the two measure",,Textile Skalholt 2006 field season final (1).docx,90,,,,2076,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
1,SKH06-09616 b,9616,,not stated (Wool?),1,86.75x18.18,not stated,Z2s,S2z,11,8 to 9 ?,Twill 2/2 diagonal,twill,,,homespun,,"No colour given; also a narrow strip [like <SKH06-09616>; ""This piece of cloth as well as some of the other strips here have the same [object ?] number as another that was analyzed and some of these may come from the other pieces of cloth.",,Textile Skalholt 2006 field season final (1).docx,89,,,,2076,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
1,SKH06-64-9829,9829,,not textile,0,n/a,n/a,n/a,n/a,n/a,n/a,not textile,,,,,,n/a not textile,,"Textiles, Laboratory Work Sheet Skalholt March 2nd 2015 SKH06-KS12",13,,,,2499,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
1,SKH04-4159,4159,,Plant Material,0,17cm x 7.5cm,n/a,n/a,n/a,n/a,n/a,Plant Material,,,,,,Probably the plant used as a sieve found at Storaborg,,Skalholt final numbers April 2016,5,,,,1279,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH07-16346,16346,,Plant matter,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,,,,,,,2827,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH02-19062,19062,102,Polyester?,1,NA,,NA,NA,NA,NA,Loose white yarn,yarn,NA,NA,NA,,White and modern looking no dynoscope only photo,,,,,,,102,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
1,SKH02-19380,19380,116,Polyester? Silk?,1,NA,,NA,NA,NA,NA,loose white fine yarn,yarn,NA,NA,NA,,"White, modern doesn’t look like linen looks lot like polyester; Mix up of find numbers",,,,,,,116,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
1,SKH07-02815,2815,13632,Probably Human Hair,,not analyzed,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,"Probably human hair, this appears to show up often in dumps.",,not analyzed,not analyzed,,,,601,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH02-18404,18404,59,Sheep and Human Hair,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,Mix of human hair and sheep; Duplicate number also the number of  a nail with yarn stuck to it.,,,,,,,59,S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
1,SKH07-02819,2819,13635,Sheep Hair,,not analyzed,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,"No colour given; ""hair, probably sheep due to matting.""",,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,10,,,,432,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
1,SKH07-16360,16360,,Sheep's Wool,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,,,,,,,2810,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-16361,16361,,Sheep's Wool,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,,,,,,,2832,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-16348,16348,,Sheep's Wool clump,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,,,,,,,2823,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-16353,16353,,Sheep's Wool clump,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,,,,,,,2665,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
1,SKH07-15735,15735,,Silk,1,114.57x23.90,n/a,Sing I,Sing I,n/a,n/a,basic fabric weave; ribbon,ribbon/band,,,very fine,,"Gold; imported silk; very fine, with an embroidered design on the surface with larger threads superimposed over the basic weave; very high thread count; there is some stitching on this piece as well; looks like a ribbon of silk there is also a hole in the",,Textiles Skalholt 2007 final (1),39,,,,2654,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
1,SKH04-4179 b,4179,,Silk,2,127.51mmx4.61mm/147.11mmx3.93mm,?,n/a,n/a,n/a,n/a,Braid - silk,braid,,,import,,"Brown / silk braids, x 2 suggesting that the thread was also imported not just the finished product or cloth or ribbons.",,Textiles Michele Skalholt SKH 04-KS1 (2) recovered,,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH06-15649 b,15649,,Silk,1,75.84x3.08,not stated,Z2s thread,n/a,n/a,n/a,Braided Cord,braid,,,,,No colour given; about 17 yarns of Z2s plied threads braided into a cord; possible commercial item; looks like silk fibers.,,"Skalholt,Sept 2014 SKH06 KS 14.docx.docx",22,,,,2220,S18.4,1700,1740,1700-1740,1690-1750,Pantry
1,SKH06-09841 a,9841,,Silk,1,151.58x23.12,0.29,Z2s,s and I,n/a,n/a,Lace / Loose Tabby weave,,,,,,Was white/White ?; lace; in some areas there is a loose tabby and all the yarns are doubled or plied and occasionally they are split open to create open areas.,,"Skalholt,Sept 2014 SKH06 KS 14-2.docx","1, 2",,,,2474,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH04-4179 a,4179,,Silk,4,77.11mmx46.89mm/94.61mmx46.62mm/52.89mmx43.43mm/74.29mmx36.42mm,?,I,I,?,?,Ribbon //             3Tabby / 1Twill,ribbon/band,,,import,,Green / Gold / there are 4 fragments in total. Two look definitely like silks the other two are a bit more coarse in texture but under the dyno do look like silk as well. To the touch they are rougher a bit like cotton. The two coarse ones are all I spun,,Textiles Michele Skalholt SKH 04-KS1 (2) recovered,,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH06-64-9836 b,9836,,Silk,1,109.55  x 9.38,n/a,I,I,n/a,n/a,Ribbon that is like tablet weaving,ribbon/band,,,,,"Brown; silk ribbon, such a fine weave that it is difficult to discern; it is a bit like tablet weaving.",,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation","8, 9",,,,2346,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
1,SKH06-12402,12402,1992,Silk,2,61.20mmx8.18mm and thread of silk from same cloth (not measured),n/a,I,I,n/a,n/a,Silk Ribbon,ribbon/band,,,import,,Brown /Silk ribbon folded over and on the bottom side is stitched to keep it together. There is an additional thread from the same piece of cloth that is the same length no measured. This is an import.,,,,,,,1992,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-15658 b,15658,,Silk,1,32.03mmx 17.09mm,?,I,I,?,?,Silk Ribbon,ribbon/band,,,Ultra fine,,"the silk appears to be a silk ribbon, that is ultra fine and similar to other pieces found at Skalholt.",,,,,,,2239,S18.4,1700,1740,1700-1740,1690-1750,Pantry
1,SKH06-09635,9635,,Silk,1,87.97x18.09,n/a,n/a,n/a,n/a,n/a,Tabby,tabby,,,industrial,,Gold; a type of Tabby Weave.,"""Sample SKH-2006-9635 is a silk satin weave (4/1).."" These imported silk velvets and satin represent the height of fashionable apparel or interior textiles."" Icelandic Textile Analysis Report, Ordoñez, Dec. 2011  p.2. ""SKH-2006-9635 (Skálholt) • silk 4/1",Textile Skalholt 2006 field season final (1).docx,5,,,,1960,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-64-9836 a,9836,,Silk,1,91.97 x 42.77,n/a,I,I,n/a,n/a,Tabby,tabby,,,Pattern like quadrillage,,"Brown; there appears to be a faint pattern in the silk, like a quadrillage; the quadrillage appears to be created by using slightly thicker threads or double threads in a geometric pattern to give it the checkered effect.",,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation",8,,,,2346,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
1,SKH07-15666 a,15666,,Silk,1,23.93x15.44,0.17-0.36 / 0.27,I,I,64 ?,31,Tabby,tabby,,,very fine,,Gold; not all yarns are even and there are more warps than wefts; no surface treatment.,,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,20,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH04-4160,4160,,Silk,1,65.20mm x33.09,?,I,I,?,?,Tabby - ribbon?,tabby,,,import,,"Greenish / tabby, possible ribbon, import.",,Textiles Michele Skalholt SKH 04-KS1 (2) recovered,,,,,1279,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH05-6989,6989,1321,Silk,1,83.97 x 18.52,n/a,n/a,n/a,n/a,n/a,Tabby with floats,tabby,,,import,,"Light Brown, silver; this fragment is shaped like a flagpole with a flag – the pole is a length of hem, while the flag is a tab of fabric; it is all the same fabric – some of it appears to be wrapped with metal or some other silvery substance.",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",15,,,,1321,S18.8,1790,1830,1790-1830,1780-1840,Midden
1,SKH07-15783 a,15783,,Silk,1,132.82x41.08,n/a,n/a,n/a,n/a,n/a,Tabby-weave-like weave,tabby,,,industrial,,Gold; silk fragment; imported industrial.,,Textiles Skalholt 2007 final (1),30,,,,2814,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-15666 c,15666,,Silk,1,21.5x9.09,0.55 / 0.55,I ?,I ?,n/a,n/a,"Tablet weaving, possibly; ribbon or band",ribbon/band,,,,,"Gold; decorative ribbon or band, coming undone; weave impossible to discern, looks like tablet weave; no surface treatment.",,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,"20, 22",,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-15673 a,15673,,Silk,1,108.16x3.86 (2 strands tied in knot),n/a,I,n/a,n/a,n/a,"thread, silk",thread,,,,,Gold; silk thread that was tied together (two strands of it) and got tossed.,,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,28,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH06-64-9836 c,9836,,Silk,1,34.78 x 18.04m,n/a,I,I,n/a,n/a,Undetermined,,,,Industrial silk,,Tan; industrial silk of unknown weave; it incorporates floats which give it a design; floats may be a different color of thread.,,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation","8, 9",,,,2346,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
1,SKH07-15659 b,15659,2872,Silk,1,45.85x18.1,0.27 / 0.29,I,I,34-35,?,Undetermined; imported silk ribbon,,,,finely woven,,"Gold; import; silk ribbon; structure: this is in one of the systems in which floating threads give a sort of motif; here, the motif is probably in the warp threads, which are numerous and predominate; ""in the other system- weft which stops at the narrowne",,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,"15, 16",,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-19176 a,19176,2872,Silk,1,31.91 x 14.88,,I,I,54,54,,,,,,,,,,,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH05-7186 a,7186,1693,Silk (?),1,148.41 x 16.04,0.68 / 0.67,i,s/i,na,na,Ribbon,ribbon/band,n,n,industrially produced,,"Tan; industrially produced ribbon, probably silk; float in the center.",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #1 ADC",2,,,,1693,S18.6,1760,1770,1760-1770,1750-1780,Pantry
1,SKH04-4216 d,4216,,Silk ?,1,66.52 x 18.66,?,?,?,?,?,Bundle of threads,,,,,,Brown; this specimen seems to be a bundle of silken threads or something similar (the fibers are glossy) along with some woolen fibers; there might be some kind of weave but that is unclear; there are loops in the bundle.,,SKH04 ks. 2.docx,100,,,,988,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
1,SKH06-9661,9661,,Silk ?,1,,,,,,,Fluff,,,,,,Fluff- probably silk? (sample),,Felts and Knits Skalholt 2,,,,,1861,S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
1,SKH07-15730 c,15730,,Silk ?,1,41.5 cm x 8.5 mm,0.11 / 0.68,n/a,n/a,n/a,n/a,Resembles tablet weave;  ribbon,ribbon/band,,,strange weave pattern,,"Red/other warp, Tan weft; commercial ribbon, probably made of silk; probable import.","""[S]ome of the silk pile yarns in SKH-2007-15730 also have a pink color visible on the back on the sample and in a few of the raveled pile yarns."" ""SKH-2007-15730 velvet has both cut & uncut loops."" ""These imported silk velvets and satin represent the hei",Textiles Skalholt 2007 final (1),"83, 85",,,,2676,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
1,SKH06-09657 b,9657,,Silk ?,1,35.62x15.94,n/a,n/a,n/a,n/a,n/a,ribbon,ribbon/band,,,industrial,,"Gold-coloured ribbon, probably silk.",,Textile Skalholt 2006 field season final (1).docx,"1, 2",,,,1926,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-9849 hl b,9849,,Silk ?,1,40.72 x 13.73,?,I,I,?,?,Ribbon - industrialized tablet,ribbon/band,,,,,Grey Brown; difficult to determine the weave as this is some sort of band or ribbon and the weave is like an industrialized tablet weave of some kind (see pix).,,"Textiles, Laboratory Work Sheet Skalholt March 2nd 2015 SKH06-KS12","23, 24",,,,2346,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
1,SKH04-4248 a,4248,,Silk ?,3,107.47 x 18.51; 70.80 x 22.25; 69.00 x 58.50,0.34 / 0.33,i,i,47,52,Tabby,tabby,,,fine,,Brown; fine; a very finely woven tabby weave which appears to be made of silk; the fibers are glossy and fine and are in a no spin; they are thin and there are gaps in the weave and in places the fabric is getting so worn that the fabric is really thin; T,,SKH04 ks. 2.docx,9,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH07-15632,15632,,Silk ?,2,40.33x18.15 (only 1 analyzed),0.36 / 0.48,I,I,19,16,Tabby weave ribbon or band,tabby,,,,may do an XRF for the metal and see what the fibers are,"Light Brown; band or ribbon; it looks like there may have been pigment on it, like tiny gold threads?; may do an XRF for the metal and see what the fibers are; there is definitely some decorative metal, and the warps are not all lined up - there are gaps",,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,17,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH06-09657 a,9657,,Silk ?,1,34.26x35.73,n/a,n/a,n/a,n/a,n/a,Velvet,,,,"industrial, very regular",,Gold; quite late industrially produced material; probably imported.,,Textile Skalholt 2006 field season final (1).docx,1,,,,1926,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-09623,9623,,Silk ?,1,72.55x51.30,n/a,n/a,n/a,n/a,n/a,Velvet ?,,,,industrial,,Gold; same as <SKH2006-9635>? industrial; not certain whether it is silk velvet or another kind (cotton).,"""SKH-2006-9623 is a cut velvet . . . These imported silk velvets and satin represent the height of fashionable apparel or interior textiles."" Icelandic Textile Analysis Report, Ordoñez, Dec. 2011  p.2. ""SKH-2006-9623 (Skálholt)
• silk cut-pile fabric; all",Textile Skalholt 2006 field season final (1).docx,7,,,,2014,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH04-4248 b,4248,,Silk Blend,2,158.88 x 32.78; 70.16 x 23.43,0.57 / 0.74,S2z,s,12,28,Tabby,tabby,,,uneven weave,,"Brown; Fabric which appears to be in a Silk Blend, the fibers are glossy. What appears to be the warp threads are plied but the weft threads appears to be s spun. The fabric looks worn and the weave not so very even. On the bigger fragment the threads fro",,SKH04 ks. 2.docx,10,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
