ID,Site code,Context,ID No,Components present/brief description,Material,Name,Species ID,Length mm,min Width mm,max Width mm,Diameter mm,Thickness mm,Secondary cuts,other materials present,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
152,SKH06,2236,9710,narrow trimming,Leather,"Waste, secondary",bovine,60,,2,,2,,,S10.1,1700,1740,1700-1740,1690-1750,Kitchen
391,SKH06,2525,15844,"D-shaped stacked leather heel of 5 layers held in place with brass nails (4 present), Upper four layers have been cut in half down the centre. Top piece is much worn. Heel Ht 11mm (1/2in)",Leather,Shoe heel,,52,,71,,,no,,S10.1,1700,1740,1700-1740,1690-1750,Kitchen
392,SKH06,2527,15841,narrow trimming,Leather,"Waste, secondary",calfskin,79,,6,,2,,,S10.1,1700,1740,1700-1740,1690-1750,Kitchen
393,SKH06,2527,15841,narrow trimming,Leather,"Waste, secondary",calfskin,36,,8,,2,,felt,S10.1,1700,1740,1700-1740,1690-1750,Kitchen
394,SKH06,2528,15842,"strap fragment with grain/flesh stitching SL 3mm along the sides, broken at each end",Leather,Strap,"bovine, worn",29,,14,,1.5,no,,S10.1,1700,1740,1700-1740,1690-1750,Kitchen
126,SKH05,1568,6985,"small piece of compacted leather with a single cut edge, others broken, likely to be broken from a shoe bottom unit component",Leather,"Shoe bottom, fragment",no grain pattern,31,,25,,1.3,no,felt trimming,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
22,SKH04,811,4269,jump of stacked leather heel with large holes around the edge,Leather,"Shoe heel,  part",cattle hide,58,,21,,5,no,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
23,SKH04,892,4282,"trimming, mid brown",Leather,"Waste, secondary",cattle hide,127,,4,,3,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
41,SKH04,975,4284,"piece broken from welted shoe bottom, adult size, probably waist and part of the upper seat with large central hole to attach the separate heel and small area of grain/flesh seam present",Leather,Shoe bottom,bovine,84,,65,,3,no,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
82,SKH04,1034,4290,"Rectangular piece pierced by a pair of large oval holes (7x5mm) for thongs or cords. A seam of widely spaced grain/flesh stitches runs around the edge to attach it to another item, sewn with a running stitch with some thread insitu. The area between the two holes curves upward suggesting it lay across a raised seam.",Leather,Attachment point,cattle hide,67,,28,,3,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
83,SKH04,1034,4292,"tongue shaped piece with cut edges and a hole in the wider end, compacted, curved profile suggesting it to be a shank from a shoe bottom",Leather,Shoe bottom part,cattle hide,81,,22,,3,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
84,SKH04,1034,4292,"piece cut from shoe upper with 3 cut and a torn edge, at least 4 stitch holes present",Leather,Shoe upper fragment,calfskin,64,,20,,1,yes,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
85,SKH04,1034,4297,"Piece cut from shoe bottom part with line of grain/flesh seam running down one side, a circular piece has been cut from one end. Delaminated. Also delaminated fragment likely to come from it",Leather,Shoe bottom,bovine,80,,42,,1,yes,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
86,SKH04,1034,4297,crescentic piece all edges cut,Leather,"Waste, secondary",calfskin,58,,16,,1,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
87,SKH04,1034,4297,wide trimming,Leather,"Waste, secondary",cattle hide,48,,11,,3,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
88,SKH04,1034,4303,triangular fragment with all edges torn,Leather,Scrap,bovine,51,,45,,2,,felt trimmings,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
89,SKH04,1062,4296,"rectangular piece with 2 cut and 2 broken edges, heavily worn and compacted, curved profile suggesting it has been cut from a shoe bottom component. Very aggressive burial environment",Leather,Shoe bottom fragment,bovine,68,,47,,2,yes,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
90,SKH04,1066,4295,"Book or case cover all edges torn with impressed and stamped decoration on the grain side. Two decorative panels with triple creased border with stamped flowers and foliar infill in upper panel and circular motif within a chain border with foliar infilling in the lower. Surface much deteriorated, black/dark brown in places",Leather,Book cover,calfskin,71,,52,,1,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
91,SKH04,1066,4295,small triangular piece cut from a welted shoe part with four grain/flesh stitches SL 7mm from a seam present and impression of welt visible on the grain side.,Leather,Shoe bottom fragment,cattle hide,62,,18,,2,yes,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
92,SKH04,1125,4272,Triangular offcut with 2 cut edges and a hide edge,Leather,"Waste, primary","goatskin, unworn",96,,67,,1,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
120,SKH05,1475,7001,"fragment iwth grain/flesh whip stitched seam long one edge, much degraded grain surface only surviving in small areas, rest looks rather felt like. Light brown in colour. Possible shoe upper fragment",Leather,"Shoe upper, part",sheep/goatskin,66,,20,,2.5,no,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
17,SKH03,646,2980,"rectangular piece with the longer sides skived, a short length of grain/flesh seam SL3.5mm along one end, other end torn. Cut from another item probably reused a middle packing or shank.",Leather,Shoe bottom,"calfskin, worn",100,,29,,2,yes,,S13.3,1800,1830,1800-1830,1780-1840,Main Corridor
371,SKH07,2974,16069,"fragment broken from a stitched bottom component with a line of grain/flesh stitching, SL 6mm",Leather,"Shoe bottom, part",cattle hide,27,,24,,3,no,,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
372,SKH07,2979,16056,"pointed terminal of a plain strap, with a V-shaped cut at the other end across a C-shaped hole in the centre",Leather,Strap,cattle hide,51,,21,,3,yes,,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
368,SKH07,2913,16058,triangular off cut,Leather,"Waste, secondary",calfskin,23,,19,,1,,,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
369,SKH07,2925,16038,"plain strap with a cut and a torn end and a large central buckle hole (6x4mm), measured, also second fragment torn away across a second large central hole",Leather,Strap,"bovine, rather degraded",51,,14,,2,no,,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
370,SKH07,2925,16038,"delaminated fragment with a single original edge remaining, heavily worn and likely to come from a shoe component",Leather,Shoe part,delaminated,57,,27,,,no,,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
269,SKH07,2797,15892,trimming,Leather,"Waste, secondary",bovine,55,,6,,2,,,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
285,SKH07,2804,15906,"part of insole with edge/flesh seam, SL 5mm cut away and slashed, impression of bracing thread on grain side",Leather,Shoe bottom part,cattle hide,62,,41,,2.5,yes,,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
286,SKH07,2809,15901,"traingular fragment broken from a panel with a straight original edge with a worn grain/flesh seam, SL 3-4mm. Worn grain surface, soil adhering, light brown in colour",Leather,panel fragment,bovine?,111,,87,,2,no,,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
229,SKH07,2665,15898,"end cut from a buckled strap with a pointed terminal, opposite end also cut away with a V-shaped cut, 3 oval buckle holes present 2mm long, 10mm apart",Leather,Strap,cattlehide,82,,15,,2,yes,,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
230,SKH07,2665,15898,"strap broken each end, one with a rectangular slot for the buckle pin, grain/flesh stitching along each side, 2 sizes of stitch hole indicate a strap strengthener was originally present.",Leather,Strap,cattle hide,64,,26,,2,no,,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
407,SKH07,2712,15931,"Adult male shoe bottom, made straight, square toe, wide waist and seat. Sole with stitching channel and also large round peg holes around the edge and edge and centre of seat. Midsole, insole and large D-shaped stacked leather heel of as many as 10 lifts held with wooden pegs Height 28mm at front, 4mm at the back",Leather,"Shoe bottom, pegged construction",cattle hide,250,56,88,,,no,,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
408,SKH07,2717,15835,"strap terminal with a pointed end, other end broken, and a central buckle pin hole 3x4,, present",Leather,Strap,"bovine, hardly worn",41,,13,,2,no,,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
409,SKH07,2719,15828,"panel fragment with straight cut edge and remains of another at right angles to it, now folded, others torm. Fragment has a plain border 12mm wide with a darker coloured band c 10mm wide",Leather,"Panel, decorated","calfskin, worn",51,,25,,1,no,belongs with 15869/16070 below,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
410,SKH07,2719,15869,"two pieces torn from an angular panel, heavily worn. The larger (80x65)has a band of decoration along one orginal side and part of a second, with another dropping from it at right angles to form a bordered panel. The panel border is likely to have been stamped but appears now as a darkened area of leather. The second fragment (99x57) has darkened colour present in two areas",Leather,"Panel, decorated",calfskin,80,,65,,1,no,,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
411,SKH07,2719,16070,scrap fragment of same leather and likely to come from the decorated panel pieces 15828/15869 from same context,Leather,"Panel, decorated","calfskin, worn",34,,28,,1,no,,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
414,SKH07,2744,16073,"fragment with all edges torn, decorated on grain side with geometric desigh of triple creased lines each c.1mm wide and 2mm apart appearing a darker coloured slightly impressed lines",Leather,"?Panel, decorated",sheepskin,62,,30,,1,no,,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
169,SKH06,2401,9852,"rectangular piece with cut edges and a line of 3 grain/flesh stitches at the narrower end which appears to be torn along a parallel line of stitching. Cut down from a larger item, possibly a shoe upper",Leather,"Shoe upper, offcut","cattle hide, worn",65,14,24,,2.5,yes,,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
395,SKH06,2530,9592,"complete insole, now broken across the tread, made straight wear indicates worn on right foot. Blunt oval toe, natural tread, slight waist and wide seat. Edge/flesh seam, SL 6-7mm",Leather,"Shoe, bottom",cattle hide,243,49,75,,,no,,S18.1,1670,1680,1670-1680,1660-1690,Pantry
155,SKH06,2337,9850,edge of shoe bottom component with line of holes one with wooden peg present,Leather,"Shoe, bottom fragment, pegged",bovine,80,,15,,1.5,no,wooden peg,S18.3,1690,1700,1690-1700,1690-1720,Pantry
167,SKH06,2353,12390,small fragment of worn leather broken from a shoe lining,Leather,Shoe upper fragment,"bovine, worn",35,,15,,1,no,,S18.3,1690,1700,1690-1700,1690-1720,Pantry
168,SKH06,2362,12396,"piece torn from sheet leather with a straight and an obliquely cut edge meeting at a point, other edge irregularly torn away. A line of small broken holes, likely to be nail/stud shank holes are present running parallel to the straight edge. Black in colour",Leather,"Fragment, sheet","bovine, worn",115,,40,,1.19,no,,S18.3,1690,1700,1690-1700,1690-1720,Pantry
142,SKH06,2139,9703,"trapezoidal piece with a cut edge with a suggestion of a fine grain/flesh seam torn away at a right angle to it, other edges torn. Very thin and relatively inflexible, grain pattern indistinct",Leather,Fragment,possibly sheep/goat,26,,26,,0.74,no,2-plied yarn,S18.4,1700,1740,1700-1740,1690-1750,Pantry
151,SKH06,2220,15843,narrow curving trimming,Leather,"Waste, secondary",bovine,28,,4,,1,,,S18.4,1700,1740,1700-1740,1690-1750,Pantry
153,SKH06,2239,15891,"small piece with a single cut edge, wrinkled no grain pattern, probably unusable area of hide",Leather,"Waste, ?primary",no grain pattern,21,,18,,1,,,S18.4,1700,1740,1700-1740,1690-1750,Pantry
154,SKH06,2240,9699,narrow trimming,Leather,"Waste, secondary",possibly sheep/goat,46,,7,,1,,,S18.4,1700,1740,1700-1740,1690-1750,Pantry
140,SKH06,1926,9719,"narrow tapering strap with faint line of grain/flesh stitch holes down the centre, broken each end. Appears to be felt but could be very degraded leather with the flesh and grain surfaces eaten away or a suede",?Leather/felt,Strap,,162,6,11,,2.5,no,,S18.5,1740,1760,1740-1760,1720-1780,Pantry
141,SKH06,1960,12389,small triangular piece cut from a ?shoe upper with line of grain/flesh stitching SL 3mm  along one edge,Leather,"Shoe, upper offcut",possibly sheep/goat,23,,13,,1,yes,,S18.5,1740,1760,1740-1760,1720-1780,Pantry
127,SKH05,1600,6997,small piece probably broken from the edge of a shoe bottom component,Leather,"Shoe bottom unit, fragment","bovine, worn",29,,10,,2,no,,S18.7,1770,1790,1770-1790,1750-1810,Pantry
121,SKH05,1507,6993,trimming,Leather,"Waste, secondary",bovine,56,,9,,2,,,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
12,SKH03,353,2488,"end broken from strap with 3 cut sides and a broken end, grain/flesh stitching present to attach a second piece. Curved profile. Mid brown colour",Leather,Strap,sheep/goat,16,,17,,2,no,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
13,SKH03,360,2417,"small triangular piece cut and broken from a shoe bottom of riveted construction, possibly insole",Leather,"Shoe bottom, fragment",cattle hide,40,,28,,4,yes,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
14,SKH03,444,2437,small triangular piece cut from a worn shoe sole probably the top piece from a small heel for a womans shoe with grain/flesh stitching within a stitching channel,Leather,"Shoe bottom fragment, welted",cattle hide,38,,27,,2,yes,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
18,SKH03,668,3306,"small 'washer' apparently the area of shoe upper around a lace hole D 3mm, preserved by contact with a metal eyelet from a later 19th century+ shoe",Leather,"Shoe upper, eyelet",,,,,D 8,1.5,no,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
19,SKH03,675,3213,"small triangular offcut of thin leather, much soil adhering, grain pattern obscure",Leather,"Waste, secondary",possibly sheep/goat,39,,16,,0.5,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
20,SKH03,698,3204,small rectangular fragment with cut and broken edges and a single grain/flesh hole D 2mm. No grain pattern remains. Probably broken from a shoe bottom component,Leather,"Shoe bottom, fragment",,41,,10,,2,no,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
21,SKH03,729,3265,"small sub-triangular fragment with 2 cut edges and a line of broken stitch holes, probably SL3mm along the other. Light brown/buff in colour grain pattern of very small evenly spaced holes - an 'exotic skin'",Leather,Fragment,unrecognised,25,,18,,2,yes,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
9,SKH03,230,1282,"two compacted layers, one with other organic material adhering to the upper face, with two triangular cutouts (12x18mm) present and broken away across a third with a nail hole piercing the central area between the cutouts. Appears to be two heel lifts with a central nail hole from a stacked heel of adult male size, the triangular cut outs used to reduce the weight of the heel. Much soil adhering",Leather,"Shoe bottom unit, fragment",bovine (presumed),76,,95,,,no,,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
3,SKH02,29,909,"curved flat strip, broken ends, with a central line of widely spaced  slit like stitches, no thread impression on either face. The curve would fit the seat of a shoe.",Leather,Welt/bead,? Possibly deer,50,,13,,1,no,,S20.6,,1790,1790,1780-1810,School Dormitory
32,SKH04,931,4263,"small piece broken from a bottom component with a line of grain/flesh stitching, SL 4-5mm, along length of surviving edge, others torn. Light brown/buff/cream in colour",Leather,"Shoe bottom, part",bovine,42,,32,,3,no,,S21.2,1690,1750,1690-1750,1690-1750,School Room
33,SKH04,931,4278,"piece broken from shoe bottom part possibly an insole, with length of original edge but details of stitching obscured by soil, some wood adhering to both faces. Small triangular fragment with no distinguishing features probably broken from it",Leather,Shoe bottom fragments,,66,,48,,2,no,,S21.2,1690,1750,1690-1750,1690-1750,School Room
34,SKH04,931,4278,"small fragment of trimming or possibly narrow lace, curled",Leather,"Waste, secondary",bovine,22,,4,,2,,,S21.2,1690,1750,1690-1750,1690-1750,School Room
62,SKH04,1011,4179,"delaminated strap, now much foleded, cut at each end with a creased line along each edge and decorated with 4 stamped floral motifs. Mid brown in colour",Leather,"Strap, decorated","sheep/goat, worn, delaminating",75,,14,,1,yes,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
63,SKH04,1011,4179,"trimming, much soil adhering",Leather,"Waste, secondary","bovine, probably",117,6,9,,2,,bone with felt and soil adhering,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
64,SKH04,1011,4286,"terminal of strap with pointed end cut from the strap also with a pointed cut, 2 buckle holes present",Leather,"Strap, terminal",cattle hide,71,,25,,3,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
65,SKH04,1011,4286,"latchet with rounded terminal and oval lacer hole, cut away from the shoe quarters, 2 other oblique cuts present",Leather,"Shoe upper, latchet",cattle hide,59,,28,,3,yes,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
66,SKH04,1011,4286,triangular piece,Leather,"Waste, secondary",possibly sheep/goat,42,,34,,1.5,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
67,SKH04,1011,4286,narrow trimming,Leather,"Waste, secondary",,118,,4,,2,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
68,SKH04,1011,4286,narrow trimming,Leather,"Waste, secondary",,73,,4,,1,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
69,SKH04,1011,4286,narrow trimming,Leather,"Waste, secondary",,47,,4,,1.5,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
70,SKH04,1011,4286,narrow trimming,Leather,"Waste, secondary",,25,,2,,1.5,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
71,SKH04,1011,4286,longer triangular piece,Leather,"Waste, secondary",sheep/goat,76,,20,,1.5,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
72,SKH07,1011,4286,longer triangular piece,Leather,"Waste, secondary",sheep/goat,42,,16,,2,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
73,SKH07,1011,4286,larger triangular piece,Leather,"Waste, secondary",calfskin,74,,56,,2,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
74,SKH04,1011,4286,rectangular piece,Leather,"Waste, secondary",sheep/goat,62,,19,,2,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
75,SKH04,1011,4286,wider trimming,Leather,"Waste, secondary",bovine,45,,12,,1,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
76,SKH04,1011,4286,wider trimming,Leather,"Waste, secondary",bovine,51,,11,,1,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
77,SKH04,1011,4286,wider trimming,Leather,"Waste, secondary",bovine,37,,8,,2,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
78,SKH04,1011,4286,wider trimming,Leather,"Waste, secondary",bovine,45,,7,,2,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
79,SKH04,1011,4288,piece of thong with sinuous profile and impressions along its length indicating it may have used as a sewing medium,Leather,Thong,bovine,64,,4,,2,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
80,SKH04,1011,4308,"large rectangular piece all edges torn, concave profile, compacted likely to be middle packing from a shoe bottom",Leather,Shoe bottom fragment,bovine,140,,52,,1,no,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
246,SKH07,2686,15826,very small fragment broken from a pegged heel lift,Leather,"Shoe heel, fragment","worn, no grain pattern visible",31,,11,,2,no,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
357,SKH07,2872,15823,2 pieces probably joining originaly cut from the edge of an object of thin leather with a double crease line down the edge present on one piece (measured) and widely spaced small nail holes. Probably the border cut from a card leaf,Leather,"?carding comb leaf, border",calfskin,74,,28,,1,yes,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
358,SKH07,2872,15834,trimming,Leather,"Waste, secondary",sheep/goatskin,44,,9,,1,,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
359,SKH07,2872,15886,narrow tapering trimming,Leather,"Waste, secondary",sheep/goatskin,57,,3,,1.15,,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
360,SKH07,2872,15887,trimming with iron staining obscuring grain,Leather,"Waste, secondary",,28,,10,,2,,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
361,SKH07,2872,15887,very narrow trimming with heavy iron staining,Leather,"Waste, secondary",,28,,2,,3,,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
362,SKH07,2872,15930,"major part of rectangular leaf from a carding comb with a plain border 15mm wide around the edge with the occasional small nail hole present and central area c170x80mm filled with rows of small holes for the wire hooks (now missing), rows 5mm apart, holes spaced 2-3mm apart . The grain surface has much iron staining",Leather,Carding comb leaf,"sheep/goatskin, probably sheepskin",208,,96,,1,no,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
363,SKH07,2872,15930,"rectangular offcut with a single cropped corner, one end torn, delaminated",Leather,"Waste, secondary","bovine, worn, delaminated",83,,43,,3,,textile,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
366,SKH07,2903,15840,narrow trimming,Leather,"Waste, secondary",calfskin,31,,4,,1,,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
367,SKH07,2904,15907,"piece broken from heel lift of stacked leather heeel with oval peg holes, adult size",Leather,"Shoe heel, part",cattle hide,49,,23,,4,no,felt,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
401,SKH07,2688,16076,"2 pieces broken from shoe bottom component with find grain/flesh seam ,SL 2mm from waist area of midsole or sole. Largest measured",Leather,"Shoe bottom, fragments",cattle hide,22,,28,,3,no,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
402,SKH07,2693,15905,tapering latchet with gently pointed terminal cut off at the other end. Tear-drop shaped fastening hole surrounded by stitching for a strengthening cord and stitching suggesting it may have originally also been lined. Flesh side outward,Leather,Shoe upper,calfskin,102,13,35,,2,yes,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
356,SKH07,2862,15912,triangular piece,Leather,"Waste, secondary",cattle hide,71,,29,,4,,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
412,SKH07,2727,15890,"rectangular gently curved panel. Right vertical edge torn away along a fine seam, left has line of 6 slot-like pulled holes with a vertical false seam behind comprising an incised line with matching paired grain/flesh stitching with thread impressions on the back (flesh side). Upper (top) edge has an incised line with stitching surviving on the left side and has been folded along the scored line to form a hem. Probably the cuff from a glove. Mid brown in colour very heavily worn in places",Leather,"Glove, cuff",possibly sheep/goat,160,,62,,1,no,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
413,SKH07,2727,15895,"scrap fragment of very thin skin with a single cut edge, all others torn, 2 small grain/flesh holes present, folded in half. Possibly associated with 15890 from same context",Leather,?Glove fragment,?calfskin,87,,61,,1,no,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
250,SKH07,2754,15918,"rectangular offcut of fine sheepskin all edges cut, folded with a series of grain/flesh stitching along the fold, the stitches are of differing size 2 with thread impression their alignment suggests the fold is original. Cut from a larger item probably a glove. Mid brown relatively unworn",Leather,Glove,sheepskin,71 (flattened),,49,,1,yes,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
251,SKH07,2755,15915,narrow plain strap broken each end,Leather,Strap,cattle hide,148,,11,,2,no,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
270,SKH07,2799,15881,"sole with medium waist and long wide seat of sole cut away from the tread, seam of small stitch holes within stitching channel except around the seat. Central hole at centre of seat with 2 pairs of large oval holes with horizontal impression of thick dowel or cord. Insole with toe area cut and broken away, narrow tread, long narrow waist and long wide seat. Edge/grain seam around edge with thread impression visible. Tread area grain side worn, lower part unworn. Appears to be made straight but worn on right foot",Leather,"Shoe bottom, welted","cattle (sole), sheepskin (insole)",205,36,61,,2,yes,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
271,SKH07,2799,15881,"oval toe area cut away from a welted sole with fine grain/flesh stitching within a stitching channel, and matching area of midsole",Leather,"Shoe bottom, welted",cattle hide,23,,68,,4,yes,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
272,SKH07,2799,15881,trimming from around seat or toe area of shoe bottom,Leather,"Waste, secondary",cattle hide,75,,8,,5,,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
273,SKH07,2799,15881,"traingular piece, delaminated",Leather,"Waste, secondary","bovine, delaminated",45,,38,,,,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
274,SKH07,2799,16072,3 pieces broken from compacted shoe bottom,Leather,"Shoe bottom, parts",no grain pattern,64,,34,,2,,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
275,SKH07,2799,16072,"3 small trimmings of seam, worn",Leather,Shoe parts,no grain pattern survives,52,,7,,3,yes,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
276,SKH07,2799,16072,small length of welt,Leather,"Shoe bottom, part",bovine,49,,8,,3,,,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
