ID,Find,Context,Quant,Weight (gr),Object Type,Material,Stone Type,Notes,Descriptions,Length (mm),Width (mm),Thickness (mm),Diameter (mm),Origin,Building Phase,Real Date,Period_Date,Attribution
11,710,1,2,3.34,Flake,Sedimentary Rock,Flint,,"Whitish gray to very dark gray, sharp edges",25-30,14,5-6,,Foreign,LH,1958,1930-1960,Levelling Horizon
12,711,1,1,8.23,Flake,Sedimentary Rock,Flint,,"Dark gray, half a nodule, rounded",,,,22,Foreign,LH,1958,1930-1960,Levelling Horizon
13,713,8,2,4.33,Manuport,Sedimentary Rock,white pumice?,,"Lightgreenish gray, fine grained, poorly cemented, subrounded, most likely white pumice but chemical analysis needed to be sure of the type",20-25,16-24,5-6,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
14,714,8,7,32.44,Fuel,Sedimentary Rock,Coal,,"Steinbrandur, black, layered, glassy lustre",8-45,7-24,4-16,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
15,715,8,1,1.59,Manuport,Mineral,Zeolite,,"Milky white, rounded by water erosion, no clear crystal structure",15,12,6,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
16,716,8,1,19.04,Manuport,Igneous Rock,Basalt,,"Basalt fragment with milky white zeolite amygdales < 5 mm, no visible crystal structure, subrounded",35,27,20,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
17,716,8,1,6.34,Manuport,Igneous Rock,Black pumice,,black pumice = vikur,37,27,9,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
18,721,18,1,1.06,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",16,12,5,,Non-Icelandic,S4.6,1890,1870-1900,Pantry/Kitchen
19,722,20,1,47,Ashlar stone,Sedimentary Rock,Geyserite,,"Whitish to redish gray, fibrous and crusty, angular, tiny voids abundant, low density, does not yield to fingernail, most likely silica mixed with iron, ashlar fragment",77,55,25,,Icelandic,MA.2,1910-1930,1900-1930,Midden Zone A
20,724,26,1,3.33,Flake,Sedimentary Rock,Flint,,"Dark gray, sharp edges",25,20,5,,Non-Icelandic,S21.4,1770-1790,1750-1810,School Room
21,727,27,4,26.93,Flake,Sedimentary Rock,Flint,,"Light to dark gray, sharp edges",15-40,10-25,4-15,,Non-Icelandic,S33.1,1880-1952,1870-1960,Stables
22,729,29,5,5.25,Flake,Sedimentary Rock,Flint,,"Whitish gray to dark gray, sharp edges",16-22,7-12,2-9,,Non-Icelandic,S20.6,1790,1780-1810,School Dormitory
23,732,35,1,0.65,Flake,Igneous Rock,Volcanic slag,,"Gjall, black, glass",15,9,8,,Icelandic,LH,1958,1930-1960,Levelling Horizon
24,736,37,3,15.33,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, sharp edges",25-35,14-27,10,,Non-Icelandic,S20.6,1790,1780-1810,School Dormitory
25,737,37,3,7.03,Flake,Sedimentary Rock,Flint,,"Gray to redish gray, sharp edges",20-28,13-16,5-8,,Non-Icelandic,S20.6,1790,1780-1810,School Dormitory
26,740,43,1,916,Ashlar stone,Igneous Rock,Tuff,Similar to Ashlar stone 2437,"Gray, moderately sorted, dark gray angular and subangular sand grains in finer light to yellowy gray matrix, possibly layered, outside heavily weathered, redish brown, worked into a form like a small thick brick, square, no inscription, more likely to be",130,70,65-70,,Icelandic,S5.6,1830-1890,1810-1900,Workshop/Flour Mill
27,744,49,2,5.08,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",10-30,10-12,4-14,,Non-Icelandic,S8.4,1850,1840-1870,Nursery/Private Chambers
28,747,52,1,8.43,Flake,Sedimentary Rock,Flint,,"Very dark gray, sharp edges",30,20,12,,Non-Icelandic,S29.3,1900,1900,Outhouse
29,748,54,1,2.59,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, sharp edges",24,16,7,,Non-Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
30,750,58,1,0.61,Manuport,Mineral,Zeolite,,"Yellowy white pebble, rounded by water erosion",10,9,8,,Icelandic,S33.1,1880-1952,1870-1960,Stables
31,751,59,2,5.94,Flake,Sedimentary Rock,Flint,,"Dark gray, sharp edges",21-25,15-17,5-11,,Non-Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
32,752,59,2,8.86,Flake,Sedimentary Rock,Flint,,"Gray, sharp edges, seems grainy/poor quality?",23-40,19-22,4-10,,Non-Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
33,754,65,1,0.96,Flake,Sedimentary Rock,Flint,,"Very dark gray, sharp edges",13,12,5,,Non-Icelandic,S4.5,1840-1890,1840-1900,Pantry/Kitchen
34,758,73,1,1206,Fish Hammer,Igneous Rock,Basalt,,"Half a fish hammer, blueish gray, mildly vesicular, vesicles < 4 mm in diameter, very few visible phenocrysts of feldspar, hole in middle of hammer about 50-60 mm in diameter",,,70,150,Icelandic,S4.6,1890,1870-1900,Pantry/Kitchen
35,759,75,5,3.18,Flake,Sedimentary Rock,Flint,,"Light to dark gray, sharp edges",14-18,11-17,3-6,,Non-Icelandic,S33.1,1880-1952,1870-1960,Stables
36,760,75,1,1.63,Flake,Sedimentary Rock,Flint,,"Gray to redish gray, sharp edges",22,12,8,,Non-Icelandic,S33.1,1880-1952,1870-1960,Stables
37,761,77,3,4570,Loomweight,Igneous Rock,Basalt,,"Gray to dark gray, very fine grained, high density, very rare to rare phenocrysts, white, most likely feldspate/plagioclase, very small <2 mm, all stones are subrounded due to water erosion, all have a few very large vesicles that have been holed through",120-160,120-130,60-70,,Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
38,762,77,2,2433,Loomweight,Igneous Rock,Basalt,,"Gray to dark gray, white phenocrysts rare, <2 mm, most likely feldspate/plagioclase, subrounded due to water erosion, a few large deep vesicles in both rocks, smaller rock has an iron peg protruding <2 cm from one vesicle, 2 cm wide, 1,3 cm in thickness,",120-150,120,90,,Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
39,763,78,1,7.47,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",23,23,15,,Non-Icelandic,S29.3,1900,1900,Outhouse
40,765,78,1,1.67,Worked stone?,Sedimentary Rock,"Claystone, green",,"Greenish gray, possibly worked, might be chemical sediment",22,13,13,,Icelandic,S29.3,1900,1900,Outhouse
41,767,79,1,88,Ashlar stone,Sedimentary Rock,Geyserite,,"Whitish to light brown, fibrous and crusty, angular, voids abundant, low density, air tunnels clear, possible plant impressions, does not yield to fingernail, most likely silica (kísilhrúður)",104,53,47,,Icelandic,S13.4,1830-1850,1810-1870,Silo/Midden
42,768,77,1,0.49,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",18,12,1,,Non-Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
43,770,77,3,46.25,Manuport,Igneous Rock,Rhyolite,,"Stones all rounded due to water erosion; R1: layers visible, blackish gray and dark red, < 4 mm 8,66 gr; R2: 13,94 gr + 23,66 gr, weathering coat yellowish brown to brown, green, white and gray phenocrysts/amygdales visible, most likely weathered rhyolite",R1:32 R2:27-34,R1:21 R2:22-28,R1:11 R2:15-16,,Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
44,772,78,1,2030,Ashlar stone,Sedimentary Rock,Geyserite,,"Redish brown, a few large voids, tiny voids abundant, angular, clearly worked, clear plant impressions and air tunnels, fibrous to massive, does not yield to fingernail, most likely mostly silica (kísilhrúður) mixed with iron, moderate density, might also",200,125-130,78,,Icelandic,S29.3,1900,1900,Outhouse
45,774,83,1,5.59,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",26,14,14,,Non-Icelandic,S5.5,1800-1830,1780-1840,Pantry/Study & Library
46,776,85,6,27.4,Flake,Sedimentary Rock,Flint,,"1 whitish red, 5 dark gray, sharp edges",10-25,8-25,2-15,,Non-Icelandic,S21.5,1790,1780-1810,School Room
47,777,86,2,14.4,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",21-26,18-26,11-14,,Non-Icelandic,S4.6,1890,1870-1900,Pantry/Kitchen
48,780,88,5,13.7,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",16-34,11-20,6-15,,Non-Icelandic,S21.5,1790,1780-1810,School Room
49,782,90,1,3.87,Manuport,Igneous Rock,Rhyolite,"1 brick fragment in bag, 1 schist fragment to Sice","Subangular due to water erosion, light yellow, fine-grained,",27,18,7,,Icelandic,S8.2,1750-1800,1750-1810,Nursery/Private Chambers
50,783,90,1,20.84,Flake,Sedimentary Rock,Flint,,"whitish gray to gray, dull to sharp edges, poor quality",37,26,21,,Non-Icelandic,S8.2,1750-1800,1750-1810,Nursery/Private Chambers
51,784,90,7,252.69,Flake,Igneous Rock,Obsidian,1 flake removed for analysis,"1 black glassy obsidian, 5 black with phenocrysts of feldspar and quartz, sharp edges",17-65,10-40,6-28,,Icelandic,S8.2,1750-1800,1750-1810,Nursery/Private Chambers
52,785,90,1,3.83,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",26,20,8,,Non-Icelandic,S8.2,1750-1800,1750-1810,Nursery/Private Chambers
53,786,91,1,0.73,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",21,11,2,,Non-Icelandic,S13.4,1830-1850,1810-1870,Silo/Midden
54,791,93,1,1003,Gravestone,Igneous Rock,Basalt,same as <960>,"Dark gray, massive, fine grained, crystal visible in stereoscope, most likely feldspar, pyroxene, degraded olivine and málmsteindir, high density, no vesicles, redish gray weathering coat, corner of gravestone, 2,8-3,9 cm in thickness, unbroken sides stra",180,105,28-39,,Icelandic,S4.4,1800-1840,1780-1840,Pantry/Kitchen
55,792,93,1,3.91,Fuel,Sedimentary Rock,Coal,,"Black, glassy lustre, layered, steinbrandur",22,12,16,,Non-Icelandic,S4.4,1800-1840,1780-1840,Pantry/Kitchen
56,793,93,2,12.58,Flake,Sedimentary Rock,Flint,,"Dark gray, sharp edges",22-26,12-20,7-15,,Non-Icelandic,S4.4,1800-1840,1780-1840,Pantry/Kitchen
57,794,94,1,0.47,Flake,Mineral,Opal,,"Whitish gray, sharp edges, flint?",17,10,3,,Unclear,S21.5,1790,1780-1810,School Room
58,795,94,1,1.3,Manuport,Mineral,Agate,,"Milky white, greasy lustre, amygdale",17,15,7,,Icelandic,S21.5,1790,1780-1810,School Room
59,796,95,4,20.18,Flake,Sedimentary Rock,Flint,,"Light gray to gray, sharp edges",20-35,13-18,4-20,,Non-Icelandic,S20.4,1750-1770,1750-1780,School Dormitory
60,797,95,2,4.86,Flake,Igneous Rock,Obsidian,,"Black, glassy lustre, dull to sharp edges",10-30,8-11,2-9,,Icelandic,S20.4,1750-1770,1750-1780,School Dormitory
61,798,95,1,1.51,Manuport,Mineral,Quartz,,"Half seethrough, rounded by water erosion, glassy lustre",18,15,6,,Icelandic,S20.4,1750-1770,1750-1780,School Dormitory
62,799,96,1,44.88,Flake,Mineral,Jasper,,"Red, sharp edges",55,32,30,,Icelandic,S4.6,1890,1870-1900,Pantry/Kitchen
63,801,101,5,10000,Quernstone,Igneous Rock,"Basalt, vesicular","Large fragment on floor in finds room marked 801, four (3 broken edges) fragments in box 17","Large fragment on floor in finds room: Vesicles from 1 to 30 mm, sides broken, worked, mildly convex top, flat bottom, hole in middle about 80 mm in diameter, diameter of large stone 28-30 cm; Bag in box 17: Four fragments of vesicular basalt, gray, vesic",,,30-60,280-420,Icelandic,S4.3,1780-1800,1780-1810,Lodge/Dining Room & Chambers
64,802,102,1,4.85,Flake,Sedimentary Rock,Flint,,"Gray, sharp edges",25,18,10,,Non-Icelandic,S20.4,1750-1770,1750-1780,School Dormitory
65,803,108,9,58.01,Flake,Sedimentary Rock,Flint,,"Light gray to gray, sharp edges, in one flint cavity there is a cluster of colorless quartz crystals",15-36,8-25,5-18,,Non-Icelandic,S29.1,1780-1800,1780-1810,Infirmary
66,804,108,1,8.63,Flake,Igneous Rock,Obsidian,,"Black, weathered, dull lustre",22,20,11,,Icelandic,S29.1,1780-1800,1780-1810,Infirmary
67,806,116,2,1.25,Flake,Mineral,Jasper,,"Red, sharp edges",17-18,12,3-4,,Icelandic,S20.4,1750-1770,1750-1780,School Dormitory
68,809,123,1,54.77,Flake,Igneous Rock,Obsidian,,"Weathered, dull lustre, black",48,30,32,,Icelandic,S29.1,1780-1800,1780-1810,Infirmary
69,810,123,14,63.75,Flake,Sedimentary Rock,Flint,,"Light to dark gray, sharp edges",11-40,6-25,2-17,,Non-Icelandic,S29.1,1780-1800,1780-1810,Infirmary
70,811,128,2,4.54,Flake,Sedimentary rock,Flint,,2 flint fragments with sharp edges,15-22,11-17,4-10,,Non-Icelandic,S30.4,1750,1750-1780,School Master's House
71,811,128,1,0.72,Manuport,Igneous rock,Rhyolite,,"1 rhyolite fragment, rounded by water",11,10,3,,Icelandic,S30.4,1750,1750-1780,School Master's House
72,813,138,1,8.45,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",28,20,13,,Non-Icelandic,S13.4,1830-1850,1810-1870,Silo/Midden
73,814,139,2,2.32,Flake,Sedimentary Rock,Flint,,"Dark gray, sharp edges",16-19,12-14,3-8,,Non-Icelandic,S30.3,1740-1750,1720-1750,School Master's House
74,816,145,2,5.6,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",20-25,15-16,6-9,,Non-Icelandic,S4.2,1760-1780,1750-1780,Lodge/Dining Room & Chambers
75,817,147,1,14.56,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",35,25,23,,Non-Icelandic,S13.4,1830-1850,1810-1870,Silo/Midden
76,818,149,5,7.91,Flake,Igneous Rock,Obsidian,1 flake removed for analysis,"Black, sharp edges",15-25,11-21,6-8,,Icelandic,S21.3,1750-1770,1750-1780,School Room
77,819,149,1,2,Worked?,Sedimentary Rock,Sandstone,"Fragment of red sandstone + possible hearth bottom, slag put in separate bag, see slag analysis","Red, fine grained, subrounded fragment, almost circular, smooth curved outer edge and ""bottom"", top irregularly concave, worked?",,,12,23,Icelandic,S21.3,1750-1770,1750-1780,School Room
78,820,151,1,3.78,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",23,17,10,,Non-Icelandic,S13.4,1830-1850,1810-1870,Silo/Midden
79,822,152,1,12.41,Manuport,Sedimentary Rock,Claystone,,"Layered subrounded claystone, black and white layers < 2 mm in thickness",25,20,18,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
80,823,155,2,28.68,Flake,Sedimentary Rock,Flint,,"Light to dark gray, sharp edges",27-32,25-30,16-20,,Non-Icelandic,S13.4,1830-1850,1810-1870,Silo/Midden
81,824,155,1,5.16,Manuport,Igneous Rock,Rhyolite,,"Subrounded flake of rhyolite, yellowish gray",24,18,5,,Icelandic,S13.4,1830-1850,1810-1870,Silo/Midden
82,826,1,1,4750,Quernstone,Igneous Rock,"Basalt, vesicular",,"Dark gray, highly vesicular, vesicles 0,5-15 mm in diameter, tiny phenocrysts, white, <2 mm, rare, curved outer edge, flat bottom, corners subangular, top gently convex, 6-6,5 cm in thickness, diameter 38-40 cm, center hole about 4,5-5 cm in diameter, <1/",,,60-65,380-400,Icelandic,LH,1958,1930-1960,Levelling Horizon
83,827,,1,78.13,Ashlar fragment,Sedimentary rock,Geyserite,SKH02,"Fairly light and porous, though rather finely, clear vegetation imprints, greyish brown to redish whitegray, does not yield to fingernail, yields to knife, most likely due to fine porosity",80,10-45,50,,Icelandic,S2.1,1902-1930,1900-1930,Haybarn
84,829,152,1,2.84,Flake,Sedimentary Rock,Flint,,"Whitish gray, sharp edges",22,15,10,,Non-Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
85,842,1,13,53,Battery component,Mineral,"Graphite, synthetic",,"Grayish black, perfectly rounded and long, three deep horizontal straight striations along sides, one without striations, soft graphite battery core around two of the long synthetic ones, 17 mm in diameter, battery components, electrode",25-57,,,6,Non-Icelandic,LH,1958,1930-1960,Levelling Horizon
86,843,36,1,4,Writing implement?,Metamorphic Rock,Black Slate,,"Long and rounded, horizontal striations on shaft, broken in one end, black, fine grained, a few diagonal striations, chipped in places, most likely black slate stylus",43,,7,,Non-Icelandic,LH,1958,1930-1960,Levelling Horizon
87,845,152,2,31.9,Building material?,Sediment?/Mortar?,Chemical sediement?,"SKH02, needs week hyrocloric acid","White matrix with redish pink flecks, yields to fingernail, unsure, could be mortar, could be clay/chemical sediment?",45-50,5-35,10-20,,,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
88,854,43,1,1,Flake,Mineral,Sulphur,,"Yellow, fine grained, yields to fingernail",15,14,8,,Icelandic,S5.6,1830-1890,1810-1900,Workshop/Flour Mill
89,861,152,1,1.82,Flake,Sedimentary Rock,Flint,,"Burned, cracked, whitish gray, sharp edges",29,13,9,,Non-Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
90,942,82,1,1.83,Flake,Igneous Rock,Obsidian,,"Black, glassy lustre",19,19,4,,Icelandic,S33.1,1880-1952,1870-1960,Stables
91,943,83,1,6.73,Flake,Igneous Rock,Obsidian,,"Black, glassy lustre",34,19,10,,Icelandic,S5.5,1800-1830,1780-1840,Pantry/Study & Library
92,944,116,1,0.29,Flake,Igneous Rock,Obsidian,,"Black, angular",10,9,3,,Icelandic,S20.4,1750-1770,1750-1780,School Dormitory
93,945,149,1,0.26,Flake,Igneous Rock,Volcanic slag,,"Black, glass, gjall",8,7,2,,Icelandic,S21.3,1750-1770,1750-1780,School Room
94,946,37,1,0.38,Flake,Mineral,Chalcedony,,"Half seethrough, sharp edges, most likely chalcedony",11,10,4,,Icelandic,S20.6,1790,1780-1810,School Dormitory
95,947,123,1,1.3,Flake,Mineral,Quartz,,"Half seethrough, sharp edges, possibly opal",20,15,4,,Icelandic,S29.1,1780-1800,1780-1810,Infirmary
96,949,1,1,4.68,Worked?,Igneous Rock,Black Pumice,,"Pumice black, frothy, low density, surface fragment, greasy lustre;",33,23,12,,Icelandic,LH,1958,1930-1960,Levelling Horizon
97,949,1,1,7.61,Manuport,Mineral,Zeolite?,Needs weak hydrochloric acid (makes calcite fizz),"White, coarse grained, not salty, does not yield to fingernail, angular, glittery aspect, glassy lustre, very faintly transluscent, does not yield to fingernail, yields to knife, broken rectangle? Most likely a zeolite, type unknown but could be apophylli",22,20,14,,Icelandic,LH,1958,1930-1960,Levelling Horizon
98,950,96,1,10.66,Flake,Sedimentary Rock,Flint,,"Gray, sharp edges",27,25,16,,Non-Icelandic,S4.6,1890,1870-1900,Pantry/Kitchen
99,951,108,1,2.31,Flake,Mineral,Jasper,,"Red, sharp edges",20,12,8,,Icelandic,S29.1,1780-1800,1780-1810,Infirmary
100,952,37,1,1.58,Flake,Igneous Rock,Obsidian,,"Black, lustre is dull",28,16,3,,Icelandic,S20.6,1790,1780-1810,School Dormitory
101,953,59,1,1.79,Flake,Igneous Rock,Pitchstone,,"Biksteinn, black, lustre is dull",20,13,6,,Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
102,955,139,1,2.97,Flake,Mineral,Quartz,,"Transluscent, sharp edges, possibly opal or flint, biomineral??",22,20,10,,"Unclear, possibly Non-Icel.",S30.3,1740-1750,1720-1750,School Master's House
103,956,29,3,23.82,Manuport,Mineral,quartz,,"3 whitish gray quartz fragments, no lustre",12-35,8-23,1-20,,Icelandic,S20.6,1790,1780-1810,School Dormitory
104,956,29,1,0.59,Flake,Mineral,Quartz,,"1 transluscent quartz fragment, sharp edges, faint glassy lustre",13,10,5,,Icelandic,S20.6,1790,1780-1810,School Dormitory
105,957,10,1,8.55,Fuel,Sedimentary Rock,Coal,,"Steinbrandur, layered, black",35,25,18,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
106,958,54,1,1.85,Flake,Mineral,Jasper,,"Red, sharp edges, (opal?)",23,16,5,,Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
107,959,77,1,,Flake,Mineral,Chalcedony,,"Draugasteinn, light gray, light barely passes through, mammillary, waxy lustre",88,75,30,,Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
108,960,14,1,,Gravestone,Igneous Rock,Basalt,"Same as <791>, was on display at Skálholt, put in box 24, with carvings on it, put back on display in Skálholt, Sólveig gave them to Sirry on the 30th of Aug2010, need to be numbered","Finegrained, blueish gray, no phenocrysts, massive",220,200,40,,Icelandic,S4.6,1890,1870-1900,Pantry/Kitchen
109,963,1,1,,Vessel,Sedimentary Rock,Claystone (possibly clay insufficiently baked),"Was on display at Skálholt, put in box 13, put back on display in Skálholt, Sólveig gave them to Sirry on the 30th of Aug2010, need to be numbered","Light gray, soft, vessel fragment, original vessel diameter about 140 mm",55,30,6,140,Non-Icelandic,LH,1958,1930-1960,Levelling Horizon
110,977,95,1,0.97,Flake,Sedimentary Rock,Flint,Flot.Sample no. 5,"Light to dark gray, sharp edges",16,10,6,,Non-Icelandic,S20.4,1750-1770,1750-1780,School Dormitory
111,988,59,5,6.06,Flake,Sedimentary Rock,Flint,Flot. Sample no. 3,"Light to dark gray, sharp edges",10-28,8-18,3-6,,Non-Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
112,990,59,1,0.31,Manuport,Igneous Rock,Volcanic slag,Flot. Sample no. 3,volcanic glass?,10,7,5,,Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
113,990,59,1,0.75,Flake,Igneous Rock,Weathered obsidian,Flot. Sample no. 3,"black, sharp edges, concoidal fracture",13,8,6,,Icelandic,S20.5,1770-1790,1750-1810,School Dormitory
114,995,29,20,10.27,Flake,Sedimentary Rock,Flint,Flot. Sample no. 1,"Whitish gray to dark gray, sharp edges",9-20,6-14,2-7,,Non-Icelandic,S20.6,1790,1780-1810,School Dormitory
115,998,29,3,4.09,Flake,Mineral,Opal,Flot. Sample no. 1,"2 red opal fragments, 1 brown opal fragment",16-21,9-14,5-10,,Icelandic,S20.6,1790,1780-1810,School Dormitory
116,999,29,2,0.61,Flake,Igneous Rock,Obsidian + Weathered obsidian,Flot. Sample no. 1,"Black, biksteinn = weathered obsidian",10-13,7-11,3,,Icelandic,S20.6,1790,1780-1810,School Dormitory
117,1000,38,1,0.56,Roof Tile,Metamorphic Rock,Black Slate,Flot. Sample no. 2,"Slate fragment, black, sharp edges",15,14,2,,Non-Icelandic,S32.1,1850-1890,1840-1900,Forge
118,1016,1,1,414,Ashlar stone,Sedimentary Rock,Geyserite,,"Whitish to brownish light gray, fibrous to crusty, voids abundant, low density, plant impressions and air tunnels clear, does not yield to fingernail, most likely silica (kísilhrúður), broken ashlar stone",110,95,50,,Icelandic,LH,1958,1930-1960,Levelling Horizon
119,1028,1,2,6.5,Flake,Sedimentary Rock,Flint,,"Dark gray, edges dull/irregular to sharp, mottled, one fragment has a few flecks of white chalk coating",24-33,17-18,6-10,,Non-Icelandic,LH,1958,1930-1960,Levelling Horizon
120,1035,1,1,3315,Quernstone,Igneous Rock,"Basalt, vesicular",Lavastone,"Dark gray, vesicles abundant, 1-10 mm in diameter, tiny phenocrysts of plagioclase, rare, broken, 1/5th of a quernstone, possible remains of the hole in the middle at the edge of fragment, unclear, radius more than 21 cm, if hole in middle was about 8 cm",,,40,>420 (450-500?),Icelandic,LH,1958,1930-1960,Levelling Horizon
121,1040,1,1,1676,Hammer,Igneous rock,"Basalt, vesicular","Kristnihátíðarsýnin, Þjóðminjasafn","very dark gray, fine grained basalt, clear feldspar phenocrysts in matrix in the dark colored matrix, faint redish haze on olivine, no phenocrysts, vesicular, vesicles 1-10 mm in diameter, some elongated, most 3-10 mm, 10-20%, eye about 50-70 in diameter,",,,75,180,Icelandic,LH,1958,1930-1960,Levelling Horizon
122,1053,166,,,1 Fish Hammer,Stone,,LOST?,3156 gr,,,,,,S9.2,1800-1880,1780-1900,Living Quarters
123,1060,168,2,19.5,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, mottled, edges dull/irregular to sharp",29-30,22-25,8-22,,Foreign,LH,1958,1930-1960,Levelling Horizon
124,1077,166,4,15,Flake,Sedimentary Rock,Flint,,"Whitish to dark gray, mottled, dull/irregular to sharp edges, one fragments shows a smooth but irregular rounded edge of a flint nodule",20-30,15-19,5-19,,Foreign,S9.2,1800-1880,1780-1900,Living Quarters
125,1082,1,1,1,Stylus,Metamorphic Rock,Black slate,SKH03,"Long and thin, worked, black, fine grained, faint possible banding along sides, most likely slate, striated smooth sides, broken fornt end of writing implement",33,6,5,,Foreign,LH,1958,1930-1960,Levelling Horizon
126,1097,1,1,1.5,Flake,Mineral,Jasper,,"Wine red and yellowy brown, sharp edges, little or no lustre",17,14,6,,Icelandic,LH,1958,1930-1960,Levelling Horizon
127,1098,1,3,3,Roof Tile,Metamorphic Rock,Black Slate,,"Black flakes, sharp edges",14-36,11-27,"1-1,5",,Foreign,LH,1958,1930-1960,Levelling Horizon
128,1118,174,1,3,Manuport,Igneous Rock,Obsidian,,"Grayish black, water eroded, obsidian with weak perlite weathering coat, no sharp edges, subangular",22,11,9,,Icelandic,T1.2,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
