ID,ID -Find Number,Degree of completeness,Box Number,SKH context/unit nr,SKH find nr,SKH sample nr,Find year SKH,Same as-,Number of fragments,Part of clay pipe,Original mouth piece,Length of stem (mm),Diameter of stem (mm),Stem shape,Functionally complete stem -length,Shape of bowl/typologie,Hight of bowl,Outter diameter of bowl,Colour of clay,Surface treatment,Production marks,Usage,Diagonal carving,Description re-use/use after break,Post-depostional marks,Heel,Kind of Mark,Location of mark,Mark description,Mark on side of heel,Side mark description,Origin,Region/city,Manufactur,Decoration,Decoration technique,Location of decoration,Description of decoration,Quality,Description quality,Dating,Dating Duco,Dating Meulen,Comments,Drawing/Fotography,Referrence,Building Phases_Building Phase,Real Date,Start Date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,
1192,1192,Functionally complete pipe,1,414,3216,,2003,,2,Base;Body;Bowl;Heel;Rim;Shank;Stem,FALSE,0,9.5,Oval,"5,7",BT 1,"2,7","1,3",Grey,Smoothed,Holes;Mould lines;Scars/Knife marks,Smoking strains-clear;Soot inside;Soot outside,FALSE,,Chipping,Flat foot,,,None,,None,Dutch,,,Rouletted line,Roll-on stamp,Bowl,1 line around whole rim,Middle,"Grey colour with brown spots; surface smoothed with some holes/air bubbles, scars and traces of the lower mould line; oval stem diameter due to shank; decoration clear visible and rather regular",1620-1660,,,Small bowl,Drawing and Foto,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
521,521,Stem fragment,1,445,3279,,2003,,1,Stem,FALSE,25,10.0,Oval,,,,,White,Smoothed,Holes,Smoking strains-clear;Soot inside,FALSE,,Abrasion,,,,,,,,,,,,,,Poor,Regular white colour; surface poorly smoothed with deep cracks in the clay and few holes/air bubbles; oval stem diameter; soft/porous fired clay,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
554,554,Stem fragment,1,673,3290,,2003,,1,Shank;Stem,FALSE,41,9.5,Oval,,,,,White,Smoothed,Scars/Knife marks,Smoking strains-clear;Soot inside,FALSE,,Abrasion;Iron coding,,,,,,,,,,,,,,Poor,White colour with some darker spots; surfac smoothed with some scars/scratches; oval stem diameter due to shank; very soft/porous fired clay,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
555,555,Stem fragment,1,673,3290,,2003,,2,Stem,FALSE,42,8.5,Slightly oval,,,,,White,Smoothed,Holes,Smoking strains-clear,FALSE,,,,,,,,,,,,,,,,Poor,White colour with grey spots; surface smoothed with some holes/air bubbles; rather thick and slightly oval stem diameter; rather soft/porous fired clay,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
556,556,Bowl fragment,1,673,3290,,2003,,1,Body;Bowl;Rim,FALSE,0,0.0,,,,,,White,,,Smoking strains-clear;Soot inside;Soot outside,FALSE,,Iron coding,,,,,,,,,,,,,,,Fragment too small,,,,No rouletted line around rim!; might be use after break -rounded rim of bowl not origianlly made???,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
557,557,Bowl fragment,1,673,3290,,2003,,1,Body;Bowl,FALSE,0,0.0,,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,,,,,,,,,,,Tudor Rose,Carved into mould,Bowl,4 positvie dots; rest broken off,,Fragment too small,1620-1650 ca,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1211,1211,Stem fragment,1,368,3320,,2003,,1,Shank;Stem,FALSE,45,9.5,Slightly oval,,,,,Grey,Smoothed,Scars/Knife marks,Smoking strains-clear,FALSE,,Chipping;Iron coding,,,,,,,Danish?,Stubbekøbing – Falster Island?,,Geometrical,Roll-on stamp,Stem,"1 rouletted line, wavey squares with a star between each, rouletted line; pattern repeated 3 times; broken in middle",Poor,Grey colour with brown spots; surface well smoothed with one horizontal scar; slightly oval stem diameter; decoration mostly blurred and irregular,1767-1800,,,,,"Ahlefeldt-Laurvig p. 242, fig 14 nr. 85",S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1212,1212,Stem fragment,1,368,3320,,2003,,1,Mouth piece;Stem,FALSE,27,9.0,Slightly oval,,,,,White,Smoothed,,Smoking strains-clear;Teeth marks;Use after breakage,FALSE,Clear teeth marks and rounded edges,,,,,,,,,,,,,,,Poor,White colour with few dark dots; surface smoothed with cracks in the clay; slightly oval stem diameter,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
868,868,Bowl fragment,1,716,3563,,2003,,1,Body;Bowl,FALSE,0,0.0,,,,,,White outside-black inside,Smoothed,,Smoking strains-clear;Soot inside,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,Tiny fragment,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1932,1932,Stem fragment,7,1156,5159,,2004,,1,Shank,FALSE,23,10.0,Oval,,,,,Grey,Polished,Scars/Knife marks,Soot outside,FALSE,,Burnt;Chipping,,,,,,,,,,,,,,,Fragment too small,,,,Soot outside and in break -secondary,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1933,1933,Stem fragment,7,1156,5159,,2004,,1,Stem,FALSE,21,8.5,Slightly oval,,,,,White,Smoothed,Scars/Knife marks,,FALSE,,Discoloured;Iron coding,,,,,,,,,,,,,,,Fragment too small,,,,One blueish spots -from pencil? Secondary,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1934,1934,Bowl fragment,7,1156,5159,,2004,,1,Base;Body;Bowl,FALSE,0,0.0,,,BT 1?,,,White,Smoothed,Holes,Smoking strains-clear;Soot inside;Use after breakage,FALSE,Around shank very (carefully) rounded edges -cut off!?,,,,,,,,,,,,,,,,Fragment too small,1620 ca- 1680,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
154,154,Stem fragment,18,124,505,,2002,,1,Stem,FALSE,33,9.0,Slightly oval,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,Abrasion,,,,,,,,,,,,,,Poor,Rather regular white colour; surface smoothed; slightly oval and rather thick stem diameter; rather soft/porous clay,,,,Not Dutch (?),,,S21.1,1650-1690,1650,1690,1630-1690,School Room,153,878,Fireplace,in situ,FALSE,
1732,1732,Stem fragment,7,878,5044,,2004,,1,Shank;Stem,FALSE,74,9.5,Slightly oval,,,,,White,Smoothed,Clay remains;Scars/Knife marks,Smoking strains-clear,FALSE,,,,,,,,,,,,Geometrical,Roll-on stamp,Stem,"1 row of circles, 2 bands, 1 row of circles; complete pattern (1,4 cm)",Middle,"Rather regular white colour; surface smoothed with some scars/knife imprints, some light remains of clay and some cracks in the clay; rather irregular surface; thick and slightly oval stem diameter; decoration clear visible and rather regular",1650 post,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,163,878,Building,in situ,FALSE,
1733,1733,Stem fragment,7,878,5044,,2004,,1,Heel;Shank-bolw juncture;Stem,FALSE,47,11.0,Oval,,,,,White,Smoothed,Scars/Knife marks,Smoking strains-clear;Soot inside,FALSE,,,X,,,,,,,,,,,,,Poor,White colour with dark spots; surface smoothed with scars around heel and scratches; very thick and oval stem diameter due to shank; stem is bending/curving,,,,Most of heel has been broken off,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,163,878,Building,in situ,FALSE,
1734,1734,Stem fragment,7,878,5044,,2004,,1,Stem,FALSE,40,8.0,Slightly oval,,,,,White,Polished,Scars/Knife marks;Trimming,Re-use;Smoking strains-clear,TRUE,At decorated end: deep diagonal carvings towards bore,,,,,,,,,,,Geometrical,Roll-on stamp,Stem,1 row of circles; broken in middle,Middle,Regular white colour; surface polished with trimming marks and some scars/scratches; slightly oval stem diameter; decoration clear visible,1650 post,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,163,878,Building,in situ,FALSE,
1735,1735,Stem fragment,7,878,5044,,2004,,1,Stem,FALSE,38,10.5,Circular,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,Abrasion;Iron coding,,,,,,,,,,Geometrical,Roll-on stamp,Stem,5 rows of triangles; broken in middle,Middle,White colour; surface smoothed with some abrasion; very thick and rather regular stem diameter; decoration clear visible and regular; soft/porous clay,1670-1710,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,163,878,Building,in situ,FALSE,
1688,1688,Bowl fragment,7,909,5057,,2004,,2,Base;Bowl;Rim,FALSE,0,0.0,,,,,,White,,,Smoking strains-clear;Soot inside;Soot outside,FALSE,,,,,,,,,,,,Rouletted line,Roll-on stamp,Bowl,1 line around rim,,Fragments too small,,,,Uncertain about surface treatment -fragments too small,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,TRUE,
1686,1686,Stem fragment,7,913,5058,,2004,,1,Stem,FALSE,48,10.5,Oval,,,,,White,Smoothed,Mould lines;Scars/Knife marks,Smoking strains-light,FALSE,,Iron coding,,,,,,,,,,Geometrical,Roll-on stamp,Stem,"1 row of circles or triangles (?), 2 bands, 1 row of circles/triangles (?) -poorly imprinted",Poor,"White colour; surface smoothed with few light scars/scratches, some cracks in the clay and light remains of one mould line; very thick and oval stem diameter; decoration clearly visible but not fully imprinted",1650 post,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,
1687,1687,Bowl fragment,7,913,5058,,2004,,1,Body;Bowl;Rim,FALSE,0,0.0,,,,,,White,Smoothed,Holes,Smoking strains-clear;Soot inside,FALSE,,,,,,,,,,,,,,,No rouletted line!,Poor,Regular white colour; surface well smoothed with clear deep holes/cracks in the clay; no milling around rim; soft/porous fired clay,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,
1683,1683,Stem fragment,7,918,5060,,2004,,1,Stem,FALSE,40,9.5,Slightly oval,,,,,White,Smoothed,Scars/Knife marks,Smoking strains-clear,FALSE,,Abrasion,,,,,,,,,,,,,,Poor,Regular white colour; surface smoothed with one deep scar/knife imprint and cracks in the clay; slightly oval and rather thick stem diameter,,,,Soft/porous fired clay,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,TRUE,
1658,1658,Stem fragment,7,947,5073,,2004,,1,Stem,FALSE,22,9.0,Slightly oval,,,,,White,Polished,Trimming,Smoking strains-clear,FALSE,,Iron coding,,,,,,,,,,,,,,,Fragment too small,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,FALSE,
1496,1496,Stem fragment,7,969,5095,,2004,,1,Stem,FALSE,46,9.0,Slightly oval,,,,,White,Smoothed,Scars/Knife marks,Smoking strains-light,FALSE,,,,,,,,,,,,,,,,Poor,White colour with few brown spots; surface smoothed with some scratches/cracks in the clay; slightly oval and irregular/twisting stem diameter,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1497,1497,Stem fragment,7,969,5095,,2004,,1,Heel;Shank,FALSE,20,8.5,Oval,,,,,White,Smoothed,Holes,Smoking strains-clear;Soot inside,FALSE,,,X,,,,Dots,Right: 1 positive dot (? Or just remaining clay?) -possibly more,,,,,,,,,Fragment too small,,,,Deep cracks in clay along left side of shank; 1/2 of heel has been broken off,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1498,1498,Bowl fragment,7,969,5095,,2004,,1,Body;Bowl,FALSE,0,0.0,,,,,,White,Smoothed,,Smoking strains-clear;Soot inside,FALSE,,Chipping,,,,,,,,,,,,,,,Fragment too small,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1435,1435,Stem fragment,7,1009,5110,,2004,,1,Stem,FALSE,48,9.5,Slightly oval,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,Iron coding,,,,,,,,,,,,,,Poor,White colour with brown dots; in clay: at least one quarz stone/grain of sand; surface smoothed with few scratches; slightly oval stem diameter; very soft/porous fired clay,,,,Rounded edges at one end -from being in the ground?,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1436,1436,Stem fragment,7,1009,5110,,2004,,1,Mouth piece;Stem,FALSE,27,8.5,Circular,,,,,White outside-black inside,Smoothed,Holes,Smoking strains-clear;Teeth marks;Use after breakage,FALSE,Clear teeth marks and rounded edges,,,,,,,,,,,,,,,,Too much of surface has been taken off,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1437,1437,Stem fragment,7,1009,5110,,2004,,1,Stem,FALSE,26,9.0,Slightly oval,,,,,White,Smoothed,Holes,Smoking strains-clear,FALSE,,,,,,,,,,,,French lily,Roll-on stamp,Stem,"French lily framed by dots in a diamond shape -only on top of stem; pattern repeats 4x; one above other, then 2 diagonal on each side above",Middle,Regular white colour; surface smoothed with one hole/air bubble and few scratches; slightly oval stem diameter due to decoration; decoration clear visible and detailed carved stamp,1630-1650,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1438,1438,Stem fragment,7,1009,5110,,2004,,1,Stem,FALSE,12,0.0,,,,,,White,Smoothed,,Cut thinner;Smoking strains-light;Unused,FALSE,Almost 1/2 of stem cut of -pipe can lie on one side (re-use? Abrasion due to soft clay?),,,,,,,,,,,,,,,,Fragment too small,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1439,1439,Stem fragment,7,1009,5110,,2004,,3,Stem,FALSE,0,0.0,,,,,,White,,Scars/Knife marks,Smoking strains-clear,FALSE,,Iron coding,,,,,,,,,,,,,,,Fragments too small,,,,3 tiny fragments/flakes,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1440,1440,Bowl fragment,7,1009,5110,,2004,,2,Body;Bowl;Rim,FALSE,0,0.0,,,,,,White outside-black inside,Smoothed,,Smoking strains-clear,FALSE,,,,,,,,,,,,Geometrical,Roll-on stamp,Bowl,"1 row of small triangles/milling, 1 band with vertical stripes, 1 row of triangles; about 2mm below rim",,Fragment too small,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1441,1441,Bowl fragment,7,1009,5110,,2004,,1,Bowl;Rim,FALSE,0,0.0,,,,,,White,Smoothed,,Smoking strains-clear;Soot inside;Soot outside,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE,
1370,1370,Stem fragment,7,1022,5116,,2004,,1,Stem,FALSE,27,8.0,Slightly oval,,,,,White,Smoothed,,Smoking strains-clear;Soot inside,FALSE,,Trowel marks,,,,,,,,,,,,,,Middle,Regular white colour; surface smoothed with few light scratches; slightly rectangular stem diameter; rather soft/porous fired clay,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,
1371,1371,Stem fragment,7,1022,5116,,2004,,1,Shank;Stem,FALSE,23,10.5,Oval,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,Chipping;Discoloured;Trowel marks,,,,,,,,,,,,,,,Fragment too small,,,,Stem fragment cracked all the way through -might fall apart eventually; soft/porous fired clay,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,
1372,1372,Stem fragment,7,1022,5116,,2004,,1,Stem,FALSE,20,7.5,Oval,,,,,White/grey turning to black,Smoothed,,Soot outside,FALSE,,Chipping,,,,,,,,,,,,,,,Fragment too small,,,,One end with soot around break,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,
1373,1373,Bowl fragment,7,1022,5116,,2004,,1,Body;Bowl,FALSE,0,0.0,,,,,,White,Smoothed,,Smoking strains-clear;Soot inside,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,
1336,1336,Stem fragment,7,1040,5129,,2004,,1,Stem,FALSE,27,9.0,Circular,,,,,White,Smoothed,,Smoking strains-clear;Soot inside,FALSE,,Abrasion;Chipping;Trowel marks,,,,,,,,,,Geometrical,Roll-on stamp,Stem,1 row of circles; broken in middle,,Too much of surface has been taken off,1650 post,,,Soft/porous fired clay,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,
1337,1337,Stem fragment,7,1040,5129,,2004,,1,Heel;Shank;Stem,FALSE,29,9.5,Oval,,,,,White outside-black inside,Polished,Trimming,Soot inside,FALSE,,Abrasion,X,,,,,,,,,,,,,Poor,"White colour with brown spots; surface was polished with light trimming marks (around heel), now mostly abrased; rather thick and oval stem diameter; rather soft/porous fired clay",,,,Most of heel has been broken off,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,
1338,1338,Stem fragment,7,1040,5129,,2004,,1,Stem,FALSE,15,9.0,,,,,,Reddish,Smoothed,,Re-use;Smoking strains-clear;Soot inside,FALSE,Almost half of stem clealy cut off -lies flat on side,Abrasion,,,,,,,Danish?,Stubbekøbing – Falster Island?,,Geometrical,Roll-on stamp,Stem,2 rows of triangles; broken in middle,,Fragment too small,18th century?,,,Strange pinkish-orange colour; in clay frequently brownish dirt particles -Danish?,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,
1339,1339,Stem fragment,7,1040,5129,,2004,,1,Stem,FALSE,10,0.0,,,,,,White,,,Smoking strains-light,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,Less than 1/2 stem; uncertain about usage,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,
1340,1340,Bowl fragment,7,1040,5129,,2004,,1,Body;Bowl;Rim,FALSE,0,0.0,,,,,,White,Smoothed,,Smoking strains-clear;Soot inside,FALSE,,Abrasion,,,,,,,,,,,,,"Uncertain whethter part of milling visible, but scratched off",,Fragment too small,,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,
3520,3520,Stem fragment,9,2449,10546,,2006,,1,Stem,FALSE,36,8.0,Oval,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,Iron coding,,,,,,,,,,,,,,,Too much iron,,,,One grain of sand/quarz in break,,,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,TRUE,
3649,3649,Stem fragment,9,2409,10600,,2006,,1,Stem,FALSE,18,8.5,Oval,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,Chipping,,,,,,,,,,,,,,,Fragment too small,,,,,,,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,FALSE,
4113,4113,Bowl fragment,8,2952,13969,,2007,,1,Base;Body;Bowl;Heel;Rim;Shank;Shank-bolw juncture,FALSE,17,9.5,Slightly oval,,BT 2 early,"2,4","1,7",White,,Scars/Knife marks,Smoking strains-light,FALSE,,Chipping;Iron coding,Spur,Un-identifiable,Heel,Bird? Heart shaped object?,,,,,,Rouletted line,Roll-on stamp,Bowl,1 line at rim,,Too much iron,1670/80-1700,?,?,No soot outside,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2730,2763,Fireplace,in situ,FALSE,
3882,3882,Stem fragment,8,2980,14037,,2007,,1,Stem,FALSE,33,8.0,Circular,,,,,White,Polished,Scars/Knife marks;Trimming,Smoking strains-light,FALSE,,Iron coding,,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
3917,3917,Stem fragment,8,2955,14039,,2007,,1,Stem,FALSE,19,8.0,Circular,,,,,Grey,Smoothed,Scars/Knife marks,Smoking strains-light,FALSE,,Abrasion;Trowel marks,,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
3918,3918,Stem fragment,8,2964,14040,,2007,,1,Stem,FALSE,15,9.0,Circular,,,,,Grey,Smoothed,Holes;Mould lines;Scars/Knife marks,Smoking strains-light,FALSE,,Chipping;Iron coding,,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
3933,3933,Functionally complete stem,8,2981,14041,,2007,,1,Heel;Mouth piece;Shank-bolw juncture,FALSE,35,10.5,Oval,"3,5",,,,Grey,Polished,Holes;Mould lines;Trimming,Smoking strains-light;Use after breakage,FALSE,new mouth piece whittled slightly,Discoloured,,,,,,,,,,,,,,,,,,,"short, functioning stem with part of heel present; red/purple discolouration on underside of stem by heel - from inky fingers?",,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
4280,4280,bowl fragment,,2968,16478,,2007,,4,bowl,FALSE,0,0.0,,,,,,white,smoothed,,soot inside,,,,flat,,,,,,,,,,,,,,,,,,"17th c type, no markings",,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
4304,4304,Stem fragment,,2965,16498,,2007,,1,mouth piece,FALSE,17,0.0,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,prob re-worked mouth,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
4310,4310,Stem fragment,,2955,16504,,2007,,2,Stem,FALSE,23,0.0,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
4311,4311,bowl fragment,,2955,16504,,2007,,1,bowl,FALSE,0,0.0,,,,,,White,,,soot inside,,,,flat,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
4312,4312,Stem fragment,,2982,16505,,2007,,1,Stem,FALSE,33,0.0,,,,,,White,Smoothed,,smoking stains,,,,,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
4313,4313,Stem fragment,,2969,16506,,2007,,1,stem,FALSE,14,0.0,,,,,,White,,,smoking stains,,,,,,,,,,,,,,moulded,stem,floral motifs,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
4343,4343,Stem fragment,,2990,16530,,2007,,1,stem,FALSE,24,0.0,,,,,,white,Polished,,smoking stains,,,,,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,
4348,4348,bowl fragment,,2980,16534,,2007,,2,bowl,FALSE,0,0.0,,,,,,white,,,soot inside,,,,,,,,,,,,,,,,,,,,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,
