ID2,ID1,Finds No,ID,Unit No,Object,Category,material,Corrosion,Completeness,Size (mm),Fragment,Weight (g),Notes,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
11,12,2974,,638,mount?,Dress,iron,heavy,complete,"45x24x1,5",1,2.5,triangular sheet with 1 rivet hole at one corner; prob corner mount/reinforcement - perhaps for a book?,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
12,13,3595,,1011,mount/strapwork,Dress,iron,moderate,fragment,38L,1,6.5,leaf/heart-shaped mount with projectinf stem - broken; poss decorative terminal of strap hinge. Heavy so probably for use on wood,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
13,14,11920,,1971,mount?,Dress,iron,heavy,fragment,45x12x7,1,8.4,curving terminal branch of probably mount; one side flat - wreath-shaped?,S17.7,1770,1790,1770-1790,1750-1810,Meat Store
14,6,18902,a,2694,hook fastener,Dress,iron,heavy,complete,42L,1,3.7,wire fastener - two eyelets and a straight shaft - poss shaft broken at end,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
15,15,13764,,2949,mount,Dress,iron,moderate,complete,"9 diam, 8L",1,1.4,"gilt, domed mount",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
16,20,284,,1,bridle bit,Horse Tack,iron,moderate,complete,L95 + 82,1,67.4,pair of joined strap links; probable bridle or snaffle bits,LH,,1958,1958,1930-1960,Levelling Horizon
17,21,307,,1,bridle bit,Horse Tack,iron,heavy,complete,82x7x6,1,22.9,"rect sect, part of mouthpiece - like <5986>",LH,,1958,1958,1930-1960,Levelling Horizon
18,17,1013,c,1,bridle bit?,Horse Tack,iron,heavy,complete,105L,1,29.1,straight shaft with flattened perf terminals at each end at 90 deg to each other; poss bridle bit,LH,,1958,1958,1930-1960,Levelling Horizon
19,18,292,w,1,bridle bit?,Horse Tack,iron,heavy,near complete,62x50,1,41,poss cheek piece; needs x-ray and cleaning,LH,,1958,1958,1930-1960,Levelling Horizon
20,19,279,,1,stirrup,Horse Tack,iron,moderate,complete,172x145,1,257.4,wrought stirrup with stemmed loop/eye at top  riveted to the branches and open/split tread with overlapping arms; prob 19/20 c,LH,,1958,1958,1930-1960,Levelling Horizon
21,22,335,,23,bridle bit?,Horse Tack,iron,heavy,complete,"118L, 7x3",1,18.8,"rect section, hooked each end but at 90 deg to each other; bridle bit - or chain hook?",S2.1,1902,1930,1902-1930,1900-1930,Haybarn
22,23,5986,,856,bridle bit,Horse Tack,iron,moderate,complete,68x7x3,1,11.5,"part of mouthpiece prob; flat, rect-section woth loops at each end by 90 deg to each other",S4.5,1840,1890,1840-1890,1840-1900,Pantry/Kitchen
23,1839,13759,1067,2604,Indeterminate,indeterminate,Iron pan,,fragment,23,1,,iron panning/soi concretion,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
24,25,3757,,59,iron panning?,NAT,?iron,,,,1,0.3,"small frag, prob panning rather than iron",S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
25,27,5928,,100,iron panning,NAT,iron,,,,2,1.6,root pans,S29.2,1840,1900,1840-1900,1840-1900,Outhouse
26,24,435,,112,iron panning,NAT,,,,,2,1.6,2 pieces of iron panning around a root or something,S4.6,,1890,1890,1870-1900,Pantry/Kitchen
27,26,5734,,778,stone,NAT,stone,heavy,fragment,,1,2.2,small basalt chip; DISCARD,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
28,28,11873,,1714,iron panning,NAT,,,,,2,4.6,prob iron pan frags,S18.6,1760,1770,1760-1770,1750-1780,Pantry
29,31,1013,d,1,plating,Plate,iron,heavy,near complete,170x100x4,1,324.2,rect plate - prob stove panel/part,LH,,1958,1958,1930-1960,Levelling Horizon
30,32,1013,e,1,plating,Plate,iron,heavy,fragment,,4,76.2,prob stove frags - but some could be cauldron,LH,,1958,1958,1930-1960,Levelling Horizon
31,34,8560,i,1,rivet plate,Plate,iron,heavy,fragment,6th,1,45.9,"plate, slightly curving with rivet; from cauldron? Repair?",LH,,1958,1958,1930-1960,Levelling Horizon
32,37,8547,,1,rivet plate,Plate,iron,heavy,fragment,45L,1,21.7,long rivet (45) in plate/sheet; pron strapwork of some kind,LH,,1958,1958,1930-1960,Levelling Horizon
33,33,1380,i,254,plating,Plate,iron,heavy,fragment,3 th,1,24.7,thin plate,C.4,1850,1890,1850-1890,1840-1900,Courtyard
34,35,5977,,860,plating,Plate,iron,heavy,fragment,,1,132.9,poss cauldron/stove fragment,C.4,1850,1890,1850-1890,1840-1900,Courtyard
35,38,9139,,1016,plating,Plate,iron,heavy,fragment,,4,39.3,poss cauldron/stove fragment - shattered,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
36,36,6035,,1035,rivet plate,Plate,iron,heavy,fragment,,1,29.6,plate with iron nail/shaft (7x7) attached or as rivet;,S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
37,29,8583,a,1362,plating,Plate,iron,heavy,fragment,,1,128.3,oval/circular plating c100 diam,S18.8,1790,1830,1790-1830,1780-1840,Midden
38,30,8583,b,1362,plating,Plate,iron,heavy,fragment,,2,205.3,rect/square plating,S18.8,1790,1830,1790-1830,1780-1840,Midden
39,,19413,,2672,plate,plate,iron,moderate,fragment,40L,1,5.2,triangular shaped plate - prob fragment from larger item,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
40,,14135,,2944,plate,plate,iron,heavy,fragment,44L,2,23,plate and lump -poss not metal?,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
41,40,348,d,28,rod,Rod,iron,moderate,fragment,"88L, 14 diam",1,107.7,"cast iron rod, curving and broken at one end; handle or foot from some larger object?",S5.6,1830,1890,1830-1890,1810-1900,Workshop/Flour Mill
42,39,354,c,32,rod,Rod,iron,heavy,fragment,19 diam,1,166.5,round sectioned rod frag,MA.1,1870,1910,1870-1910,1870-1930,Midden Zone A
43,41,8589,,1402,rod,Rod,iron,heavy,fragment,"30L, 19 diam",1,10.4,short sect ion of rod - ingot?,S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
44,510,16746,,0,shaft,Shaft,iron,moderate,fragment,65L,1,8,poss one arm of a staple; bent at top,,,,,,
45,411,1013,ss,1,looped shaft,Shaft,iron,heavy,fragment,,1,6.4,shaft with small loop one end; broken at shaft; presum hook or something similar,LH,,1958,1958,1930-1960,Levelling Horizon
46,44,277,a,1,shaft,Shaft,iron,heavy,fragment,53x7x5,1,4.4,twisted shank?,LH,,1958,1958,1930-1960,Levelling Horizon
47,52,1013,a,1,shaft,Shaft,iron,heavy,fragment,,8,43.3,"misc shafts, most prob nails",LH,,1958,1958,1930-1960,Levelling Horizon
48,101,277,b,1,shaft,Shaft,iron,heavy,fragment,79x8x7,1,12.7,sq sect shaft,LH,,1958,1958,1930-1960,Levelling Horizon
49,126,5921,b,1,shaft,Shaft,iron,heavy,fragment,50x10x10,1,19.8,rod like - tang?,LH,,1958,1958,1930-1960,Levelling Horizon
50,149,19364,b,1,shaft,Shaft,iron,heavy,fragment,85x3x3,1,3.7,"one end tapered all 4 sides, othe bent and broken; prob wire nail",LH,,1958,1958,1930-1960,Levelling Horizon
51,150,277,c,1,shaft,Shaft,iron,heavy,fragment,40x8x7,1,6.3,irreg ?rounded shaft with head; nail? Not wire nail though,LH,,1958,1958,1930-1960,Levelling Horizon
52,386,1433,e,1,shaft,Shaft,iron,heavy,fragment,36L,1,6.1,encrusted,LH,,1958,1958,1930-1960,Levelling Horizon
53,392,1422,f,1,shaft,Shaft,iron,heavy,fragment,47x7x6,1,9.1,"rec sect, poss turning down at each end - R-staple?",LH,,1958,1958,1930-1960,Levelling Horizon
54,395,8560,f,1,shaft,Shaft,iron,heavy,fragment,49x8x8,1,7.2,poss tang,LH,,1958,1958,1930-1960,Levelling Horizon
55,400,8560,g,1,shaft,Shaft,iron,heavy,fragment,20x7x7,1,4,poss tang,LH,,1958,1958,1930-1960,Levelling Horizon
56,406,1013,ii,1,shaft,Shaft,iron,heavy,fragment,,1,5.9,hooked shaft - poss from a hook,LH,,1958,1958,1930-1960,Levelling Horizon
57,408,1013,q,1,shaft,Shaft,iron,heavy,fragment,81x8x8,1,19,"tapered shaft, tip bent; tang?",LH,,1958,1958,1930-1960,Levelling Horizon
58,409,1013,r,1,shaft,Shaft,iron,heavy,fragment,63x12x10,1,25.4,"tapered shaft, prob tang/shank",LH,,1958,1958,1930-1960,Levelling Horizon
59,410,1013,s,1,shaft,Shaft,iron,heavy,fragment,77x7x7,1,13.6,"tapered shaft, prob tang/shank",LH,,1958,1958,1930-1960,Levelling Horizon
60,413,1013,t,1,shaft,Shaft,iron,heavy,fragment,110x12x10,1,25.2,shank/tang?,LH,,1958,1958,1930-1960,Levelling Horizon
61,414,294,,1,shaft,Shaft,iron,heavy,fragment,82x10x9,1,9.9,"sq sect shaft, tapered tip - tang/shank?",LH,,1958,1958,1930-1960,Levelling Horizon
62,442,5925,,2,shaft,Shaft,iron,heavy,fragment,,1,3.8,twisted - poss nail,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
63,415,318,,12,looped shaft,Shaft,iron,heavy,fragment,86x8x6,1,15.6,"rect sectioned shaft with loop/perf head at one end, other end broken; padlock key? Latch hook?",T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
64,151,320,c,14,shaft,Shaft,iron,heavy,fragment,35L,1,4.8,"tip bent, nail/hook?",S4.6,,1890,1890,1870-1900,Pantry/Kitchen
65,370,320,d,14,shaft,Shaft,iron,heavy,fragment,32L,1,1.9,"could be buckle pin - flat profile, one end starting to curve",S4.6,,1890,1890,1870-1900,Pantry/Kitchen
66,381,320,e,14,shaft,Shaft,iron,heavy,fragment,63L,1,8.6,"sq sec, shank/tang? Or large nail",S4.6,,1890,1890,1870-1900,Pantry/Kitchen
67,390,320,f,14,shaft,Shaft,iron,heavy,fragment,52L,1,5,flat sectioned - small tanged blade or other tanged implement?,S4.6,,1890,1890,1870-1900,Pantry/Kitchen
68,152,332,c,20,shaft,Shaft,iron,heavy,fragment,,2,6.7,poss staple or nail,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
69,532,19056,,24,shaft,Shaft,iron,heavy,fragment,33L,1,3.1,tang/shank?,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
70,51,1002,a,29,shaft,Shaft,iron,heavy,fragment,36L,1,3.3,"8x6 sq sect, tapered 2 sides",S20.6,,1790,1790,1780-1810,School Dormitory
71,109,1002,b,29,shaft,Shaft,iron,heavy,fragment,43L,1,2.2,6x3 rect sec,S20.6,,1790,1790,1780-1810,School Dormitory
72,156,1002,c,29,shaft,Shaft,iron,heavy,fragment,34L,1,3.6,10x5 rect set,S20.6,,1790,1790,1780-1810,School Dormitory
73,372,1002,d,29,shaft,Shaft,iron,heavy,fragment,38L,1,9.3,"5x3 rect sec, one end has large concretion - poss around something",S20.6,,1790,1790,1780-1810,School Dormitory
74,384,1002,e,29,shaft,Shaft,iron,heavy,fragment,,5,2.6,"3 diam, ?round sectioned, small shaft frags",S20.6,,1790,1790,1780-1810,School Dormitory
75,416,350,,29,shaft,Shaft,iron,heavy,fragment,5x5,1,0.6,"sq sec shaft, bent into loop - poss staple but more likely to be something else",S20.6,,1790,1790,1780-1810,School Dormitory
76,102,351,b,31,shaft,Shaft,iron,heavy,fragment,58x8x8,1,15.2,"tang, shank, nail??",LH,,1958,1958,1930-1960,Levelling Horizon
77,382,352,e,32,shaft,Shaft,iron,heavy,fragment,46x7x5,1,3.9,"rect shaft, bent, one end pointed, prob nail",MA.1,1870,1910,1870-1910,1870-1930,Midden Zone A
78,153,360,c,36,shaft,Shaft,iron,heavy,fragment,55L,1,12.4,heavily encrusted; nail?,LH,,1958,1958,1930-1960,Levelling Horizon
79,155,874,c,38,shaft,Shaft,iron,heavy,fragment,,2,17.7,tang or implement?,S32.1,1850,1890,1850-1890,1840-1900,Forge
80,103,369,b,44,shaft,Shaft,iron,heavy,fragment,32x5x4,1,2,rect-section shaft;  nail or buckle pin?,S33.1,1880,1952,1880-1952,1870-1960,Stables
81,383,877,e,45,looped shaft?,Shaft,iron,heavy,fragment,124x8x8,1,53.3,"sq section shaft, sraight with poss loop at one end, other end broken - hook?",S32.1,1850,1890,1850-1890,1840-1900,Forge
82,107,875,b,45,shaft,Shaft,iron,heavy,fragment,46x7x6,1,5.1,rect shaft,S32.1,1850,1890,1850-1890,1840-1900,Forge
83,108,877,b,45,shaft,Shaft,iron,heavy,fragment,,1,11.7,heavy concretion,S32.1,1850,1890,1850-1890,1840-1900,Forge
84,45,371,a,52,shaft,Shaft,iron,heavy,fragment,"68L, 6th",1,10,"?sq sect, one end bent - poss shoulder - ?tanged implement",S29.3,,1900,1900,1900,Outhouse
85,104,371,b,52,shaft,Shaft,iron,heavy,fragment,32L,1,3.3,"sq sec - tang, shaft, nail??",S29.3,,1900,1900,1900,Outhouse
86,46,380,a,65,shaft,Shaft,iron,heavy,fragment,55L,1,1.4,tang? Nail?,S4.5,1840,1890,1840-1890,1840-1900,Pantry/Kitchen
87,412,348,SÞ,66,shaft,shaft,iron,very poor,fragment,14.5,3,14.89,not necessary that all the fragments are from the same object,S8.4,,1850,1850,1840-1870,Nursery/Private Chambers
88,417,389,,72,shaft,Shaft,iron,heavy,fragment,37L,1,4.5,"?sq sec, poss nail or shank",S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
89,47,388,a,73,shaft,Shaft,iron,heavy,fragment,37L,1,2.3,prob nail of staple,S4.6,,1890,1890,1870-1900,Pantry/Kitchen
90,105,388,b,73,shaft,Shaft,iron,heavy,fragment,35L,1,4.7,"tang, shank, nail??",S4.6,,1890,1890,1870-1900,Pantry/Kitchen
91,371,394,d,77,shaft,Shaft,iron,heavy,fragment,68x10x8,1,9.2,"bent and twisted shaft,rect section; tang, nail, staple?",S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
92,48,398,a,79,shaft,Shaft,iron,heavy,fragment,65L,1,9.4,sq-sect shaft - poss nail,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
93,154,400,c,83,shaft,Shaft,iron,heavy,fragment,40L,1,7.1,"heavily encrusted, but sq sect - prob nail",S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
94,418,402,,86,shaft,Shaft,iron,heavy,fragment,7x6,1,6.5,rect sect shaft bent into figure of 6; poss stable frag,S4.6,,1890,1890,1870-1900,Pantry/Kitchen
95,49,413,a,91,shaft,Shaft,iron,heavy,fragment,94x10x10,1,26,"sq section shaft, taperinf at one end, broken at other; prob tang",S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
96,50,418,a,93,shaft,Shaft,iron,heavy,complete,76x6x4,1,16,prob nail - wood attached,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
97,421,978,,95,shaft,Shaft,iron,heavy,fragment,17x3,1,0.3,?rounded shaft - buckle pin?,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
98,106,424,b,96,shaft,Shaft,iron,heavy,complete,106L,1,22.8,poss large nail,S4.6,,1890,1890,1870-1900,Pantry/Kitchen
99,443,5927,,100,shaft,Shaft,iron,heavy,fragment,"34L, 10 diam",1,3.3,"looks like a ribbed rebar rod, but maybe just encrustation",S29.2,1840,1900,1840-1900,1840-1900,Outhouse
100,419,452,,147,shaft,Shaft,iron,heavy,fragment,48x7x7,1,8.4,sq sectioned,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
101,420,457,,152,shaft,Shaft,iron,heavy,fragment,40L,1,13.5,heavy encrustation,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
102,407,2143,l,164,hooked shaft,Shaft,iron,heavy,fragment,128x7x6,1,27.9,"rect sect shaft with hook at one end, other end broken; slightly concave shaft; poss J hook",MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
103,161,2143,c,164,looped shaft,Shaft,iron,moderate,complete,"280L, 4th",1,36.8,"round sectioned rod/pin shaft, long with loop at one end and rounded tip at other; a dipstick?",MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
104,393,2143,f,164,shaft,Shaft,iron,heavy,fragment,86x8x8,1,22.3,sq section rod/shaft - prob not a nail or tang,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
105,157,1054,c,166,shaft,Shaft,iron,heavy,fragment,,11,19.5,shatterred frags of shafts,S9.2,1800,1880,1800-1880,1780-1900,Living Quarters
106,112,1121,b,167,shaft,Shaft,iron,heavy,fragment,84x17x14,1,14.4,"encrusted, but lightweight;",S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
107,110,1048,b,168,shaft,Shaft,iron,heavy,fragment,,4,23,"sq sectioned, 1 piece bent; nail/staple frags prob",LH,,1958,1958,1930-1960,Levelling Horizon
108,158,1067,c,169,shaft,Shaft,iron,heavy,fragment,60x6x6,1,4.7,"sq sect, shaft with 1 tapered end, bent at 90 deg; other end broken; prob nail or R-staple",S4.6,,1890,1890,1870-1900,Pantry/Kitchen
109,111,1072,b,170,shaft,Shaft,iron,heavy,fragment,,2,10.3,poss nails,S11.4,,1740,1740,1720-1750,Priests Living Quarters
110,391,1131,f,172,shaft,shaft,iron,heavy,fragment,82x10x8,1,28.6,"wedge-shaped bar with possible tang - broken at tang though; if tanged, could be chisel; but also could be stable or nail spike",S10.4,1800,1880,1800-1880,1780-1900,Kitchen
111,159,1115,c,174,shaft,Shaft,iron,heavy,fragment,34L,1,3.7,heavily encrusted,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
112,373,1193,d,177,shaft,Shaft,iron,heavy,fragment,60L,1,9.6,"?oval section, tapered to a point, other end broken; shank/tang?",S9.2,1800,1880,1800-1880,1780-1900,Living Quarters
113,398,1193,g,177,shaft,Shaft,iron,heavy,fragment,110x14x11,1,37.7,rect sect shaft -shank/tang?,S9.2,1800,1880,1800-1880,1780-1900,Living Quarters
114,53,1148,a,182,shaft,Shaft,iron,heavy,fragment,,4,27.5,prob nails/staples,S32.1,1850,1890,1850-1890,1840-1900,Forge
115,54,1162,a,189,shaft,Shaft,iron,heavy,fragment,94x7x6,1,18.4,"tapered, sq sectioned - poss tang or shank - or unheaded nail blank?",S32.1,1850,1890,1850-1890,1840-1900,Forge
116,113,1162,b,189,shaft,Shaft,iron,heavy,fragment,85x9x8,1,21.8,"tapered, sq sectioned - poss tang or shank - or unheaded nail blank?",S32.1,1850,1890,1850-1890,1840-1900,Forge
117,114,1256,b,193,shaft,Shaft,iron,heavy,fragment,33L,1,0.5,sq sect shaft - nail or staple prob,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
118,422,1201,,194,shaft,Shaft,iron,heavy,near complete,57L,1,7.4,poss nail,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
119,55,1185,a,195,shaft,Shaft,iron,heavy,fragment,80L,1,9,blade like shaft - tang/shank?,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
120,399,1236,g,237,shaft,Shaft,iron,heavy,fragment,,4,19.2,"misc shafts, most prob nails",S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
121,374,1380,d,254,shaft,Shaft,iron,heavy,fragment,138x15x12,1,89.5,rect sec shaft - stout - poss tang/handle of implement,C.4,1850,1890,1850-1890,1840-1900,Courtyard
122,385,1380,e,254,shaft,Shaft,iron,heavy,fragment,118L,1,51,"stout, prob rect sec shaft - similar to d)",C.4,1850,1890,1850-1890,1840-1900,Courtyard
123,423,1354,,257,shaft,Shaft,iron,heavy,fragment,48x5x3,1,2.6,"symmetrically tapered, res sec  - both ends broken; poss tanged implement - awl?",S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
124,57,2024,a,268,shaft,Shaft,iron,heavy,fragment,98x13x6,1,22.7,tang or shank?,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
125,115,1407,b,282,shaft,Shaft,iron,heavy,fragment,66L,1,8.7,"tapering shaft, slightly bent; prob nail; sq section but too encrusted to measure",S10.4,1800,1880,1800-1880,1780-1900,Kitchen
126,43,1478,373,294,shaft,shaft,iron,heavy,near complete,13 x 4,3,0.29,iron ; bag put into iron objects bag in the copper misc; has flat/irreg head,S9.2,1800,1880,1800-1880,1780-1900,Living Quarters
127,424,1696,,307,shaft,Shaft,iron,heavy,fragment,"87L, 5x5",1,9,tapers on all sides to point which is bent over; nail shaft? Tang?,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
128,117,1919,b,309,shaft,Shaft,iron,heavy,fragment,38L,1,5.6,"split longitudinally, sq sect",S9.1,1740,1800,1740-1800,1750-1810,Living Quarters
129,56,1577,a,325,shaft,Shaft,iron,heavy,complete,39L,1,4.1,prob nail,S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
130,116,1577,b,325,shaft,Shaft,iron,heavy,complete,41L,1,6.4,prob nail,S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
131,160,1577,c,325,shaft,Shaft,iron,heavy,fragment,,6,10.7,prob nails,S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
132,376,3131,d,344,shaft,Shaft,iron,heavy,fragment,50L,1,7.4,flattened x-sec - ?nail,S5.6,1830,1890,1830-1890,1810-1900,Workshop/Flour Mill
133,394,3131,f,344,shaft,Shaft,iron,heavy,fragment,52x7x3,1,3.7,flattened x-sec - ?nail,S5.6,1830,1890,1830-1890,1810-1900,Workshop/Flour Mill
134,426,2473,,352,shaft,Shaft,iron,heavy,fragment,30x37,1,2.8,"L-shaped, sq sect shaft, looks to turn again - R-staple?",S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
135,430,3324,,368,shaft,Shaft,iron,heavy,fragment,,1,3.5,bent into U - poss staple,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
136,58,2383,a,393,shaft,Shaft,iron,heavy,fragment,,4,14.6,nail size,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
137,119,2430,b,402,shaft,Shaft,iron,heavy,fragment,"39L,",1,5.8,"broken both ends, 1 end poss looped, other with bit  - key?",S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
138,118,2342,b,418,shaft,Shaft,iron,heavy,fragment,"53L, 10x8",1,19.9,"rect sect 7x5, tapered - poss nail",S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
139,162,2342,c,418,shaft,Shaft,iron,heavy,fragment,50L,1,7.2,"tip bent, other end bulbous - prob bent nail, too encrusted",S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
140,59,2436,a,459,shaft,Shaft,iron,heavy,fragment,102x5x5,1,9.5,sq sec shaft with sharp pointed end; nail or awl?,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
141,120,2436,b,459,shaft,Shaft,iron,heavy,fragment,51x6x6,1,4.1,pointed shaft - poss nail,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
142,61,2941,a,460,shaft,Shaft,iron,heavy,fragment,,2,1.8,nail size,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
143,375,2448,d,488,shaft,Shaft,iron,heavy,fragment,70L,1,11.3,poss shank,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
144,425,2451,,488,shaft,Shaft,iron,moderate,fragment,,1,2.5,"hooked/bent shaft, sq sect with fibres (root?) adhering; prob U-staple",S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
145,60,2811,a,547,shaft,Shaft,iron,heavy,fragment,83x6x6,1,20.2,prob large nail,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
146,163,2735,c,568,shaft,Shaft,iron,heavy,fragment,,5,12.1,"misc shafts, most prob nails",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
147,433,3457,,571,shaft,Shaft,iron,heavy,fragment,74L,1,17.8,shank/tang?,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
148,444,5940,,591,shaft,Shaft,iron,moderate,fragment,57x8x4,1,7.8,rect-section shaft - poss tang from an implement,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
149,62,2967,a,592,shaft,Shaft,iron,heavy,fragment,,1,1.8,nail size,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
150,429,3044,,594,looped shaft,Shaft,iron,heavy,fragment,,1,13.4,looped end of rect shaft - hook?,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
151,432,3442,,610,shaft,Shaft,iron,moderate,near complete,67x7x6,1,10.6,"sq sect shaft, flared? at one end; poss nail",S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
152,387,2856,e,612,shaft,Shaft,iron,heavy,fragment,,3,5.6,nail size,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
153,427,2881,,621,shaft,Shaft,iron,heavy,fragment,92L,1,10.1,round sectioned (wire-made?) - wire nail?,S10.4,1800,1880,1800-1880,1780-1900,Kitchen
154,404,3128,i,623,shaft,Shaft,iron,heavy,fragment,47x9x7,1,12.7,sq sect; tang or shank?,S10.4,1800,1880,1800-1880,1780-1900,Kitchen
155,428,2993,,644,shaft,Shaft,iron,heavy,fragment,50x5x5,1,8.3,"sq sec, poss nail",S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
156,121,3221,b,659,looped shaft,Shaft,iron,heavy,near complete,150x6x6,1,25.7,"straight shaft, 1 terminal looped? Other poss same or hooked",S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
157,431,3329,,664,shaft,Shaft,iron,heavy,fragment,53x8x5,1,5.1,"poss nail, tapered shaft",S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
158,63,4196,a,698,shaft,Shaft,iron,heavy,fragment,42x8,1,3.6,poss nail,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
