Sherd group,Finds_No,Context,Group,Refits,Similar to,Vessel ID,Same as VID,Fabric code,ICP,Fabric Group,Broad fabric,Vessel type,Vessel group,Food type,Number of sherds,evrep,batch,Weight,eve (%rim),eve (%base),size (mm),Rim form,Decorated,colour,Decorative method,Pattern class,Pattern type,Matching set,Moulding method,Moulding type,Repair hole,Residue,Sooting,Burnt,Use-wear,Makers mark,Date,Notes,Photo,Building Phases_Building Phase,Real Date,Start date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,,
12,48,35,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,4.9,,,,,,,,,,FALSE,,,TRUE,FALSE,FALSE,TRUE,,FALSE,,,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
13,34,23,,,,,,whiteware,,Refined earthenware,REW,cup,tableware,hot drink,1,1,FALSE,3.7,,,,,Decorated,purple,Tissue-printed,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1830+,"purple, wild roses?",FALSE,S2.1,1902-1930,1902,1930,1900-1930,Haybarn,650,2,Drain,in situ,FALSE,,
14,34,23,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.9,,,,,Decorated,blue,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue decoration,FALSE,S2.1,1902-1930,1902,1930,1900-1930,Haybarn,650,2,Drain,in situ,FALSE,,
15,29,16,,,,,,unsourced porcelain,,Porcelain,POR,saucer,tableware,hot drink,2,1,FALSE,1,,,,,Decorated,gilt,Hand painted,Geometric,Edge banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,20 c?,gilt and silver edge banding,FALSE,S1.1-2,1930-1952,1930,1952,1930-1960,Outhouse,745,745,External area,disturbed,FALSE,,
16,29,16,,,,,,unsourced porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,0.9,,,,,Decorated,,Hand painted,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,20 c?,grey? Leaves,FALSE,S1.1-2,1930-1952,1930,1952,1930-1960,Outhouse,745,745,External area,disturbed,FALSE,,
17,29,16,,,,,,unsourced porcelain,,Porcelain,POR,,,,1,1,FALSE,0.1,,,,,Decorated,blue,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue,FALSE,S1.1-2,1930-1952,1930,1952,1930-1960,Outhouse,745,745,External area,disturbed,FALSE,,
18,106,123,,,,887,,yellow ware,,Refined earthenware,REW,small bowl,tableware,hot drink/wet food,1,1,FALSE,0.7,6,,90,,,,,,,FALSE,Rouletted,beaded,FALSE,FALSE,FALSE,FALSE,,FALSE,19 c.,rouletted beading band near rim,FALSE,S29.1,1780-1790,1780,1790,1780-1810,Infirmary,3029,3029,Floor,in situ,FALSE,,
19,37,26,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.4,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"small, undecorated",FALSE,S21.4,1770-1790,1770,1790,1750-1810,School Room,81,81,Wall,disturbed,FALSE,,
20,37,26,,,,764,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,18.3,18,18,130,,Decorated,blue,Hand painted,Floral,Mussel,FALSE,,,FALSE,FALSE,FALSE,FALSE,,TRUE,19 c?,blue; makers mark on base - unusual squiggle - ?,TRUE,S21.4,1770-1790,1770,1790,1750-1810,School Room,81,81,Wall,disturbed,FALSE,,
21,21,1,,,,658,,whiteware,,Refined earthenware,REW,large bowl (hemispherical),storage/utility,wet food/preparation,5,1,FALSE,32.6,12,,190,,Decorated,polychrome,Slipped,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19 c.,brown slip bands and blue paint,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
22,21,1,,,,,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,5.6,,,,,Decorated,blue,Hand painted,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue bands,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
23,21,1,,5,,505,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,1,,FALSE,0.3,,,,,Decorated,polychrome,Hand painted,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"brown banding, refits with #5",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
24,21,1,,,,638,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,3,1,FALSE,16.3,,,,,Decorated,blue,Slipped,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19/20 c.,blue banded bowl - Cornish ware type,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
25,21,1,,,,504,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,1.4,,,,,Decorated,polychrome,Hand painted,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19/early 20 c.,blue & green bands,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
26,21,1,,,,789,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,1.4,,,,,Decorated,polychrome,Hand painted,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,yellow and blue edge banding,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
27,21,1,,,,848,,whiteware,,Refined earthenware,REW,small bowl,tableware,hot drink/wet food,1,1,FALSE,1.7,9,,110,,Decorated,polychrome,Slipped,,,FALSE,Rouletted,chevron,FALSE,FALSE,FALSE,FALSE,,FALSE,,green & brown slip bands - poss mocha or catseye pattern?,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
28,21,1,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,3.1,,,,,Decorated,polychrome,Air-brushed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19/early 20 c.,blue & brown/black - painted lines over air-brushed background,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
29,70,67,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.9,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated sherd,FALSE,S33.1,1880-1952,1880,1952,1870-1960,Eastern Farm/Byre,346,346,Wall,disorganized,FALSE,,
30,21,1,,,,639,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,2,1,FALSE,10.5,,,,,Decorated,polychrome,Sponged,Floral,Floret & Leaf,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19 c.,pendant pink leaf border with pink floret and green leaf main,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
31,21,1,,,,640,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,2,1,FALSE,22.4,,,,,Decorated,pink,Sponged,Floral,Floret & Leaf,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19 c.,pink leaf basal row - lower body of bowl,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
32,21,1,,,,649,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,1,1,FALSE,19.7,9,,180,,Decorated,pink,Sponged,Geometric,Cabling,FALSE,,,FALSE,FALSE,FALSE,FALSE,very worn rim,FALSE,,pink cabling on outside rim,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
33,21,1,,,,,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,2,1,FALSE,9.7,,,,,Decorated,pink,Sponged,Geometric,Cabling,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19 c.,pink cabling on inside and outside below rim,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
34,21,1,,,,,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,1,1,FALSE,1.9,,,,,Decorated,pink,Sponged,Geometric,Cabling,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,pink cabling on inside & outside below rim,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
35,21,1,,,,,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,1,1,FALSE,24.8,,,,,Decorated,polychrome,Sponged,Geometric,Cabling,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,late 19 c.,"pink cabling near base, green leaf on body",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
36,21,1,,,,,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,1,1,FALSE,10.7,,,,,Decorated,pink,Sponged,Geometric,Cabling,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,pink cabling near base,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
37,21,1,,,,536,,whiteware,,Refined earthenware,REW,cup,tableware,hot drink,1,1,FALSE,5.9,,,,,Decorated,polychrome,Stencilled,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,20 c?,purple stencil over blue and green bands,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
38,21,1,,,,802,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,6.2,9,,140,,Decorated,polychrome,Sponged,Geometric,Wheel,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,red & green 'wheels',TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
39,21,1,,,,651,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,3,1,FALSE,15,4,,230,,Decorated,grey,Sponged,Geometric,Cabling,FALSE,,,TRUE,FALSE,FALSE,FALSE,,FALSE,,grey cabled border with floret and leaf body; 2 different repair holes,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
40,21,1,,,,537,,whiteware,,Refined earthenware,REW,cup,tableware,hot drink,1,1,FALSE,4.7,16,,70,,Decorated,polychrome,Stencilled,Geometric,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,brown stencilled pattern under green edge band;,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
41,21,1,,,,803,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,2.5,8,,130,,Decorated,polychrome,Sponged,Geometric,Greek fret,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue edge band and green fret pattern; matches cup #45,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
42,21,1,,,,,,whiteware,,Refined earthenware,REW,closed vessel,hollow ware,,2,1,FALSE,6.3,,,,,Decorated,polychrome,Stencilled,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,early 20 c?,blue flower and green leaf - prob a cup,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
43,21,1,,,,,,whiteware,,Refined earthenware,REW,closed vessel,hollow ware,,1,1,FALSE,5.2,,,,,Decorated,polychrome,Stencilled,Floral,,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,early 20 c?,green foliage with red band; prob from a cup; matching with saucer #56,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
44,21,1,,,,699,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,3,1,FALSE,12.6,5,,220,,Decorated,blue,Sponged,Floral,Snowflake,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue snowflake beneath wavy border,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
45,21,1,,,730,533,,whiteware,,Refined earthenware,REW,cup (handled),tableware,hot drink,1,1,FALSE,0.7,,,,,Decorated,polychrome,Sponged,Geometric,Greek fret,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,red edge band with green fret; matching cup for saucer #41,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
46,21,1,,,1067,,702,whiteware,,Refined earthenware,REW,plate,tableware,dry food,4,1,FALSE,15.1,5,,260,,Decorated,grey,Sponged,Chinese,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"grey, ornate scroll border - devolved Nanking style?",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
47,21,1,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,2,1,FALSE,9.9,10,,230,,Decorated,grey,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,grey - poss same style as #46,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
48,21,1,,,,700,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,24.6,,19,,,Decorated,grey,Sponged,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,grey circle of tulips? And central leaf/flower,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
49,21,1,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,4.4,,10,,,Decorated,grey,,,Wheel,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,grey ?wheel,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
50,21,1,,,,,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,3.4,,,,,Decorated,,,Floral,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,poss stencilled; very badly burnt,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
51,21,1,,,,514,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,3,1,FALSE,12.4,,,,,Decorated,polychrome,Sponged,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,brown spatter sponge with green cut-sponge leaf,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
52,21,1,,,,518,,whiteware,,Refined earthenware,REW,large bowl,tableware,wet food,4,1,FALSE,17.5,9,,160,,Decorated,polychrome,Sponged,Geometric,Lozenge,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"red  lozenges border with brown, green &  red pendant floret/leaf",TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
53,21,1,,,729,,653,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,2,1,FALSE,5,,,,,Decorated,red,Sponged,Geometric,Lozenge,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"red lozenge rim border, both inside & outside",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
54,21,1,,,,800,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,2.5,7,,130,,Decorated,polychrome,Sponged,Geometric,Snowflake,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,double red edge band over grey snowlflake; matching saucer for #61,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
55,21,1,,,,710,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,4.9,,,,,Decorated,polychrome,Stencilled,Floral,,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"yellow, green & blue pattern under red edge band; matching set with #54",TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
56,21,1,,,,810,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,2,1,FALSE,6.6,,10,,,Decorated,polychrome,Stencilled,Floral,,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"yellow & green pattern under red edge band; matching set with #55, 43",TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
57,21,1,,,,597,,whiteware,,Refined earthenware,REW,"cup (handled, waisted)",tableware,hot drink,2,1,FALSE,12.4,11,,80,,Decorated,polychrome,Stencilled,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"green handpainted leaves, brown stencilled flowers",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
58,21,1,,,78,,535,whiteware,,Refined earthenware,REW,cup,tableware,hot drink,1,1,FALSE,0.8,8,,70,,Decorated,green,Stencilled,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1950s?,green darts - 1950s style? Same vessel as # 78,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
59,21,1,,1063,,,612,whiteware,,Refined earthenware,REW,"cup (handled, hemispherical)",tableware,hot drink,1,1,FALSE,10.7,10,,90,,Decorated,polychrome,Sponged,Geometric,Snowflake,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,early 20 c.,red edge band over red & grey snowlflake motif; matching cup for #60,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
60,21,1,,,727,801,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,3.9,8,,130,,Decorated,polychrome,Sponged,Geometric,Snowflake,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,matching saucer for #59,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
61,21,1,,,,531,,whiteware,,Refined earthenware,REW,cup,tableware,hot drink,2,1,FALSE,2.3,12,,80,,Decorated,polychrome,Sponged,Geometric,Snowflake,TRUE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,matching cup for #54,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
62,21,1,,,,641,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,2,1,FALSE,15.7,,,,,Decorated,polychrome,Sponged,Floral,Floret & Bow,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"red bow, green floret",TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
63,21,1,,,,,,whiteware,,Refined earthenware,REW,,,,33,,TRUE,110.7,,,,,Decorated,polychrome,Sponged,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,misc red & green cut sponge sherds - most from bowls probably,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
64,21,1,,,,,,whiteware,,Refined earthenware,REW,,,,3,,TRUE,16.8,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,misc,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
65,21,1,,,,,,whiteware,,Refined earthenware,REW,,,,1,,TRUE,,,,,,Decorated,polychrome,Sponged,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,red & brown cut sponge motif,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
66,21,1,,,,515,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,3,,TRUE,11.4,,,,,Decorated,polychrome,Sponged,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,red & blue,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
67,21,1,,,,,,whiteware,,Refined earthenware,REW,,,,3,,TRUE,5.2,,,,,Decorated,blue,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
68,21,1,,,,,,whiteware,,Refined earthenware,REW,closed vessel,hollow ware,,1,1,FALSE,17.3,,,,,Decorated,black,Sponged,Scene,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"black animal - lion, dog? Poss from a jug",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
69,21,1,,,96,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,2.4,,,,,Decorated,polychrome,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"grey bands, purple wash with black cut-sponge? Flowers over",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
70,21,1,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.6,,,,,Decorated,black,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,black motif - small sherd,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
71,21,1,,,,,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,2,1,FALSE,0.8,,,,,Decorated,blue,Stencilled,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
72,21,1,,,,686,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,12.3,,,,,Decorated,blue,Hand painted,Floral,,FALSE,,,TRUE,FALSE,FALSE,FALSE,,FALSE,,grey/blue-grey vine leaves,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
73,21,1,,,,794,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,1.3,,,,,Decorated,grey,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,grey foliage?,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
74,21,1,,,,,,whiteware,,Refined earthenware,REW,,,,1,,TRUE,4.5,,,,,Decorated,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,body - with edge of indistinct decoration,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
75,99,105,,,,,,whiteware,,Refined earthenware,REW,closed vessel,hollow ware,,2,1,FALSE,6.2,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated body sherds - bowl?,FALSE,S4.6,1890,1890,1890,1870-1900,Pantry/Kitchen,300,300,Wall,disorganized,FALSE,,
