ID,"Site, year, findnr",FindsNo,Context,Area,Dating,Fragm,Type of context,Preservation condition,Comments,Colour,Geological type,Grain size,Origin,Analyzed by,Type,Part of whetstone,Whetstone size,Nr of grinding surfaces preserved,Description of broad side,Description of narrow side,Description of end peice 1,Description of end peice 2,Cross section,Edges,Use of surfaces,Grooves,Strap attachment,General use,Description,"Sooth, iron, precipitation",Usability,Geological comments and observation,Weight,Length (full),Width (full),Thickness (full),Length (frag),Width (frag),Thickness (frag),Building Phase,Start Date,End Date,Period_Date,Attribution
11,SKH02,622,1,,,1,,Good,New nr. 12,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,Fragment/used,Unknown,3,Indeterminable,Tapering,Irregular shape,,Rectangular,Rounded,Smooth,U-shaped vague,None,Extensive,"Fragmented of a small to medium sized end piece of the light grey Eidsborg schist type. Broken on on the longitude and only half the end piece remains. Smooth grinding surfaces, one broadside slightly concave. Rounded irregular end piece with grinding grooves across the broadside and rounded edges.",None,Usable,,19,,,1.4,5,1.6,,LH,1958,1958,1930-1960,Levelling Horizon
12,SKH02,622,1,,,1,,Baad,New nr. 13,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Medium,1,Irregular,Indeterminable,Straight but with hew marks,Straight but with hew marks,,Rounded,Smooth,,None,Extensive,"Half a medium sized whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertain origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Straight end pieces. Rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,44,8.5,3.7,,,,0.7,LH,1958,1958,1930-1960,Levelling Horizon
13,SKH02,622,1,,,1,,Baad,New nr. 14,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Irregular,Indeterminable,Rounded with gradual transition to the side,Rounded with gradual transition to the side,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertain origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Rounded end pieces. Rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,22,5.8,2.8,,,,0.7,LH,1958,1958,1930-1960,Levelling Horizon
14,SKH02,622,1,,,1,,Baad,New nr. 15,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Parallel,Indeterminable,Rounded with gradual transition to the side,Rounded with gradual transition to the side,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertain origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Rounded end pieces. Rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,27,6.5,3.2,,,,0.7,LH,1958,1958,1930-1960,Levelling Horizon
15,SKH02,622,1,,,1,,Baad,New nr. 16,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Irregular,Indeterminable,Rounded with gradual transition to the side,Rounded with gradual transition to the side,Oval/parralel sides,Rounded,Smooth,U-shaped vague,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertain origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Irregular end pieces. Bone shaped but irregular sides and rounded edges and slightly convex grinding surface. Oval square section. Most likely belongs to SKH02-633y",None,Usable,Frekjubrýni?,18,6.8,3.1,,,,0.5,LH,1958,1958,1930-1960,Levelling Horizon
16,SKH02,622,1,,,1,,Baad,New nr. 17,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Bread shaped/convex,Indeterminable,Rounded with gradual transition to the side,Rounded with gradual transition to the side,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertain origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Rounded end pieces. Bread shaped sides, rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,19,6.3,3.3,,,,0.5,LH,1958,1958,1930-1960,Levelling Horizon
17,SKH02,622,1,,,1,,Baad,New nr. 18,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Tapering,Indeterminable,Irregular shape,Irregular shape,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertain origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Irregular roudned end pieces. Tapering sides, rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,16,6.7,3.2,,,,0.5,LH,1958,1958,1930-1960,Levelling Horizon
18,SKH02,622,1,,,1,,Baad,New nr. 19,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Bread shaped/convex,Indeterminable,Slanting,Slanting,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Slanting end pieces. Bread shaped sides, rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,35,6.4,3.7,,,,0.8,LH,1958,1958,1930-1960,Levelling Horizon
19,SKH02,622,1,,,1,,Baad,New nr. 20,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Bread shaped/convex,Indeterminable,Irregular shape,Irregular shape,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Irregular shaped end pieces. Bread shaped sides, rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,17,5.8,3.3,,,,0.6,LH,1958,1958,1930-1960,Levelling Horizon
20,SKH02,622,1,,,1,,Baad,New nr. 21,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Bread shaped/convex,Indeterminable,Irregular shape,Irregular shape,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Half a small whetstone, broken on the longitude across the narrow side and most of the original size preserved (one complete broad side). Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Irregular shaped end pieces. Bread shaped sides, rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,21,6.1,3.7,,,,0.6,LH,1958,1958,1930-1960,Levelling Horizon
21,SKH02,622,1,,,1,,Baad,New nr. 22,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Unknown,1,Irregular,Indeterminable,,,Oval/parralel sides,Rounded,Smooth,Across edges,None,Extensive,"A fragment of a whetstone, broken on the longitude across the narrow side. Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Very irregular shape, rounded edges and slightly convex grinding surface. Oval square section and few deep U-shaped depressions on one side, presubably grinding grooves.",None,Usable,Frekjubrýni?,28,,3.3,,5.4,,0.9,LH,1958,1958,1930-1960,Levelling Horizon
22,SKH02,622,1,,,1,,Baad,New nr. 23,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Small,1,Parallel,Indeterminable,Rounded with gradual transition to the side,,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"End piece of a small whetstone, broken on the longitude across the narrow side. Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Parallel sides, rounded edges and slightly convex grinding surface. Oval square section. Rather narrow for this whetstone type.",None,Not usable,Frekjubrýni?,5,,2.2,,3.2,,0.4,LH,1958,1958,1930-1960,Levelling Horizon
23,SKH02,622,1,,,1,,Baad,New nr. 24,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone fragment,Fragment/used,Unknown,0,Indeterminable,Indeterminable,,,Unknown,,,None,None,Unknown,"A fragment of a whetstone, broken on the longitude across the narrow side. Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure.",None,Not usable,Frekjubrýni?,3,,,,2.1,2,0.4,LH,1958,1958,1930-1960,Levelling Horizon
24,SKH02,622,1,,,1,,Baad,New nr. 25,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone fragment,Fragment/used,Small,0,Indeterminable,Indeterminable,,,Unknown,,,None,None,Unknown,"A fragment of a whetstone, broken on the longitude across the narrow side (only centre remains, no grinding surfaces). Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Parallel sides, no remaining grinding surfaces. Most likely belongs to SKH02-622p.",None,Usable,Frekjubrýni?,19,6.6,3.4,,,,0.4,LH,1958,1958,1930-1960,Levelling Horizon
25,SKH02,622,1,,,1,,Baad,New nr. 26,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Unknown,0,Indeterminable,Indeterminable,,,Unknown,,,None,None,Unknown,"A fragment of a whetstone, broken on the longitude across the narrow side. Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure.",None,Usable,Frekjubrýni?,11,,,,5.2,3.7,0.4,LH,1958,1958,1930-1960,Levelling Horizon
26,SKH02,622,1,,,1,,Stabile,New nr. 3,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,Whole,Medium,4,Irregular,Irregular,Rounded with sharp transition to the side,Straight but with hew marks,Rectangular,Rounded,Smooth,None,None,Moderate,"Nicely shaped, completely preserved, bar shaped and medium sized whetstone of the light grey Eidsborg schist type. One end nicely rounded the other straight. Parallel but a bit uneven sides and square cross section. The grinding surfaces are smooth but all have areas with holes in the mineral structure. Does not seem to be the ideal material for a whetstone but non the less used.",Precipitaion,Usable,"Coarse grains, holes",73,11.6,2.6,1.3,,,,LH,1958,1958,1930-1960,Levelling Horizon
27,SKH02,622,1,,,1,,Good,New nr. 5,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Large,4,Parallel,Tapering,Slanting,,Rectangular,Rounded,Smooth,Across edges,None,Extensive,"End piece of a large or very large whetstone made of the light grey Eidsborg schist type. Slanting end piece and parallel sides looking at the broad side and tapering sides looking at the narrow side, probably due to use. No destinct grinding marks except from a few across the edges of the sides. Square cross section.",None,Usable,,89,,4.6,1.6,7.8,,,LH,1958,1958,1930-1960,Levelling Horizon
28,SKH02,622,1,,,1,,Baad,New nr. 28,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Fragment/used,Unknown,2,Indeterminable,Indeterminable,Rounded with gradual transition to the side,,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"Probably end piece but preserved as an almost perfect circular stone. Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Remains of two grinding surfaces preserved. Rounded edges and oval cross section.",None,Usable,Frekjubrýni?,21,,3.6,1,4.1,,,LH,1958,1958,1930-1960,Levelling Horizon
29,SKH02,623,10,,,1,,Baad,,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,End piece only,Medium,2,Parallel,Parallel,Straight,,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"End piece of a medium sized whetstone. Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Parallel sides, rounded edges and slightly convex grinding surface. Oval square section.",None,Usable,Frekjubrýni?,32,,3.5,1.1,4.5,,,T1.2,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
30,SKH02,624,18,,,1,,Stabile,,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,Whole but chipped,Large,3,Irregular,Irregular,Straight but with hew marks,Irregular shape,Rectangular,Sharp,Smooth,None,None,Moderate,"Large Eidsborg type whetstone, moderately used, full size preserved. Irregular use and shape. Coarse grain structure on the upper half of the whetstone makes large areas unusable for whetting. Three grinding surfaces, one rough surface.",None,Very usable,"Coarse grains, holes",87,15.1,1.9,1.5,,,,S4.6,1890,1890,1870-1900,Pantry/Kitchen
31,SKH02,625,22,,,1,,Good,,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,Whole but chipped,Large,4,Parallel,Bread shaped/convex,Rounded with gradual transition to the side,,Oval/parralel sides,Rounded,Vawy but smooth,Across edges,None,Extensive,Whole but chipped excample of a large but hand held whetstone of the light grey Eidsborg schist type. Parallel sides looking at the broad side but tapering towards both ends looking at the narrow side. One end piece is graduadly rounded the other is too fragmented to determine the shape. Oval cross section and rounded edges. Several vague grinding marks across the edges of the long sides and smooth but vawy grinding surfaces.,None,Very usable,"Holes, but with regular distribution, not disturbing the grinding quality.",123,15.9,3.5,1.4,,,,LH,1958,1958,1930-1960,Levelling Horizon
32,SKH02,626,29,,,1,,Stabile,,Light grey,Schist,Fine,Eidsborg/Norway,,Whetstone,Fragment/used,Unknown,3,Indeterminable,Indeterminable,Straight but with hew marks,,Rectangular,Rounded,Smooth,None,None,Unknown,"Half an end piece of, presumably, a small whetstone of the light grey Eidsborg schist type. Smooth grinding surfaces and rounded edges. Probably rectangular cross section and straight end piece with hew marks.",None,Not usable,,3,,,1,2.1,1.1,,S20.6,1790,1790,1780-1810,School Dormitory
33,SKH02,626,29,,,1,,Stabile,SGB: Phyllite,Dark grey/purplish,Phyllite,Very fine,Unknown/Norway,Sice,Whetstone,End piece only,Small,2,Indeterminable,Indeterminable,Irregular shape,,Uneven/other,Rounded,Very irregular,Across edges,None,Extensive,"End piece of, presumably, a small or very small sized whetstone of the dark grey very fine grained schist type. Very extensively used with rounded edges and very irregular use of the grinding surfaces. Several grinding marks across the edge of the end piece. Uneven, almost oval, cross section.",None,Not usable,,3,,0.8,0.4,3.4,,,S20.6,1790,1790,1780-1810,School Dormitory
34,SKH02,627,37,,,1,,,New nr. 35,Light grey,Schist,Fine,Eidsborg/Norway,,Whetstone,Whole,Small,2,Irregular,Bread shaped/convex,Rounded with gradual transition to the side,Irregular shape,Rectangular/unevenly,Rounded,Smooth,None,None,Extensive,"An intact whetstone of the light grey Eidsborg schist type. Small ""pocket"" sized and extensively used piece with very irregular shape due to use. Two smooth grinding surfaces and no clear grinding grooves. Coarse mineral inclusion at the upper end piece and iron precipitaion.",Iron smear,Usable,"Coarse grains, holes",19,7.5,1.9,0.8,,,,S20.6,1790,1790,1780-1810,School Dormitory
35,SKH02,627,37,,,1,,,New nr. 37,Light grey,Schist,Fine,Eidsborg/Norway,,Whetstone,End and centre piece,Medium,2,Parallel,Parallel,Rounded with gradual transition to the side,Rounded with gradual transition to the side,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"End and perhaps centre part of a medium sized, light grey whetstone of the Eidsborg type. Broad and thin with almost oval cross section. Two smooth grinding surfaces and rounded end piece.",None,Usable,,18,,2.3,0.5,6.7,,,S20.6,1790,1790,1780-1810,School Dormitory
36,SKH02,627,37,,,1,,,New nr. 38,Light grey,Schist,Fine,Eidsborg/Norway,,Whetstone,End piece only,Unknown,4,Indeterminable,Indeterminable,Straight,,Rectangular,Rounded/Sharp,Rough/smooth,None,None,Unknown,End piece of a light grey small or medium sized whetstone of the Eidsborg schist type. Smooth grinding surfaces with post depositional damage and sooth smear.,Sooth,Not usable,,10,,1.4,0.7,4.2,,,S20.6,1790,1790,1780-1810,School Dormitory
37,SKH02,627,37,,,1,,,New nr. 36,Light grey,Schist,Fine,Eidsborg/Norway,,Whetstone,Whole,Small,3,Irregular,Parallel,Rounded with gradual transition to the side,Rounded with gradual transition to the side,Rectangular,Irregular,Vawy but smooth,None,None,Extensive,"An intact whetstone of the light grey Eidsborg schist type. Small ""pocket"" sized and extensively used piece with very irregular shape due to use. Nicely shaped, rounded, end pieces and three smooth grinding surfaces, no clear grinding grooves. Coarse mineral inclusion along one narrow side.",None,Very usable,"Coarse grains, holes",27,9.3,1.9,0.8,,,,S20.6,1790,1790,1780-1810,School Dormitory
38,SKH02,628,45,,,1,,Stabile,,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End and centre piece,Medium,3,Indeterminable,Tapering,Irregular shape,,Unknown,Irregular,Smooth,None,None,Unknown,Large fragment of a light grey Eidsborg type whetstone with parts of the end and centre piece preserved.,Sooth,Usable,,21,,,,8.9,2,2,S32.1,1850,1890,1840-1900,Forge
39,SKH02,629,54,,,1,,Stabile,,Light grey,Schist,Fine,Eidsborg/Norway,,Whetstone,Whole,Medium,4,Tapering,Tapering,Irregular shape,Straight but with hew marks,Rectangular,Rounded,Smooth,None,None,Moderate,"A completely preserved whetstone of the light grey Eidsborg schist type or perhaps an end and centre piece reused after breakage. One irregular but rounded end piece the other straight with rounded hew marks. Tapering sides, rounded edges and smooth grinding surfaces. Rectangular cross section.",None,Very usable,,32,7.6,2,1.3,,,,S20.5,1770,1790,1750-1810,School Dormitory
40,SKH02,630,69,,,1,,Good,SGB: Phyllite,Dark grey,Phyllite,Very fine,Unknown/Norway,Sice,Whetstone,End piece only,Unknown,2,Parallel,Indeterminable,Straight but with hew marks,,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,End piece of a small or medium sized whetstone of the dark grey very fine grained schist type. Parallel sides and straight end piece with hew marks but rounded edges. Rounded edges along the sides and square oval section. Smooth grinding surfaces with some post depositional damages.,None,Not usable,,7,,2.1,0.6,3.3,,,S20.5,1770,1790,1750-1810,School Dormitory
41,SKH02,631,77,,,1,,,New nr.43,Mid grey,Schist,Fine,Unknown,,Whetstone,Whole but chipped,Medium,4,Tapering,Parallel,Straight but with hew marks,Irregular shape,Rectangular,Irregular,Rough/smooth,None,None,Re-used after breakage,"Mid grey, Medium sized whetstone, probably of the Eidsborg type but a layer of precipitaion makes the determination difficult without thin sectioning. Smooth grinding surfaces with rough areas. Straight end piece but with hew marks and the other very irregular. Likely to have been reused after breakage.",Precipitaion,Usable,,36,7.7,2.2,1.2,,,,S8.3,1800,1850,1780-1870,Nursery/Private Chambers
42,SKH02,631,77,,,1,,,New nr.44,Light grey,Schist,Fine,Eidsborg/Norway,,Whetstone,End piece only,Medium,2,Parallel,Bread shaped/convex,Rounded with sharp transition to the side,,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"End and perhaps centre part of a medium sized, light grey whetstone of the Eidsborg type. Broad and thin with almost oval cross section. Two smooth grinding surfaces and rounded end piece.",None,Usable,,17,,2.6,0.6,5.8,,,S8.3,1800,1850,1780-1870,Nursery/Private Chambers
43,SKH02,631,77,,,2,,,New nr. 45,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Medium,2,Indeterminable,Parallel,Rounded with gradual transition to the side,,Rectangular,Rounded/Sharp,Rough/smooth,None,None,Unknown,"End piece of a medium to large sized, light grey, Eidsborg type whetstone. Large area of coarse mineral grains that have deteriorated post depositional and parted the end piece in two. Both broad sides are rough where as the narrow sides are smooth and seems to have been used for grinding. Roughly shaped rounded end piece.",None,Usable,"Coarse grains, holes",30,,2,1.1,7.7,,,S8.3,1800,1850,1780-1870,Nursery/Private Chambers
44,SKH02,632,85,,,1,,Stabile,,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Unknown,4,Parallel,Parallel,Straight but with hew marks,,Rectangular,Rounded,Smooth,None,None,Unknown,"End piece of a small to medium sized, light grey, whetstone of the Eidsborg type. Four smooth grinding surfaces and straight end piece but with hew marks.",None,Not usable,,4,,1.6,0.6,2.3,,,S21.5,1790,1790,1780-1810,School Room
45,SKH02,633,88,,,1,,Good,,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Medium,4,Parallel,Indeterminable,Straight but with hew marks,,Rectangular,Rounded,Smooth,None,None,Moderate,"End piece of a mediums sized, light grey whetstone of the Eidsborg type. Bar shaped with smooth grinding surfaces.",None,Usable,,14,,1.9,0.7,5.1,,,S21.5,1790,1790,1780-1810,School Room
46,SKH02,634,95,,,1,,Good,New nr. 48,Mid grey,Schist,Fine,Eidsborg/Norway,,Whetstone,End piece only,Small,4,Tapering,Parallel,Rounded with gradual transition to the side,,Rectangular/unevenly,Sharp,Smooth,None,None,Moderate,"End piece of a small to medium sized, medium grey, whetstone of the Eidsborg type. Moderately used with regular and parallel sides and a nicely shaped graduately rounded end piece. Could belong to SKH02-634b but is not conjoining.",None,Not usable,,6,,1,0.7,4.5,,,S20.4,1750,1770,1750-1780,School Dormitory
47,SKH02,634,95,,,1,,Good,New nr. 49,Mid grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End and centre piece,Small,4,Parallel,Parallel,Rounded with gradual transition to the side,,Rectangular/unevenly,Sharp,Smooth,None,None,Moderate,"End and centre piece of a small to medium sized, medium grey, whetstone of the Eidsborg type. Moderately used with regular and parallel sides and a nicely shaped graduately rounded end piece. Could belong to SKH02-634a but is not conjoining.",None,Usable,,8,,1,0.7,6.2,,,S20.4,1750,1770,1750-1780,School Dormitory
48,SKH02,635,108,,,1,,Good,New nr.51,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Medium,4,Parallel,Parallel,Irregular shape,,Rectangular,Sharp,Smooth,None,None,Moderate,"End and perhaps centre part of a medium sized, light grey whetstone of the Eidsborg type. Regular shaped with parallel sides and relatively sharp edges. Four smooth grinding surfaces but one of the broad sides with irregularities in the grain structure and not ideal for grinding. Irregular shaped end piece.",Iron smear,Usable,,24,,1.9,1.1,6.3,,,S29.1,1780,1800,1780-1810,Infirmary
