Finds No,ID,Unit No,Object,Category,material,Corrosion,Completeness,Size (mm),Fragment,Weight (g),Type,Notes,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
7459,,1679,bar weight?,Weight,lead,moderate,fragment,20x10,4,14.4,,1 cylndrical frag and 3 flat frags - poss not from same object; prob bar weight or else just scrap,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
11976,,2437,bar weight?,weight,lead,moderate,fragment,46x8x5,1,14.6,,"bar strip, one end turned over by 90 deg; made by rolling sheet; rec section; weight?",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
16689,,2944,bar weight?,Weight,lead,heavy,fragment,"36L, 7Th",1,4.4,,"Narrow shafted, tapering to point, ?oval sectioned; seems to have been made by rolling sheet into tube; wider/butt end broken",S17.2,1690,1700,1690-1700,1690-1720,Meat Store
7244,149,1,barrel tap,Vessel,copper alloy,light corrosion,complete,53x24,1,20.76,,Barrel tap and  decorated handle,LH,,1958,1958,1930-1960,Levelling Horizon
7258,150,1291,barrel tap,Vessel,copper alloy,light corrosion,near complete,95x60,1,75.72,,Large barrel tap with a decoratively cut out handle,MB.2,1830,1850,1830-1850,1810-1870,Midden Zone B
10299,148,2310,barrel tap,Vessel,copper alloy,light corrosion,near complete,40x20,1,10.35,,Slightly decorated barrel tap and part of handle; handle has vertical stripes and three entangled circles engraved in it,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
449,,139,book clasp,Tool_Writing,copper alloy,light,complete,31L 7W,1,2.4,,"gilt, one end riveted, other with hinge; decorated with incised lines",S30.3,1740,1750,1740-1750,1720-1750,School Master's House
2929,,459,book clasp,Tool_Writing,copper alloy,moderate,fragment,"54L, 12W 1Th",1,5.5,,"one strap of a clasp - hook broken off; grooved line around edge, otherise undecorated",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3695,,960,book clasp,Tool_Writing,copper alloy,moderate,near complete,30x9,1,2.6,,"clasp part of a simple book clasp, with leather attached; 2 rivets; undecorated",S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
3568,,969,book clasp,Tool_Writing,copper alloy,heavy,near complete,"34L, 12W",1,2.1,,clasp end of a book clasp; broken at butt end; decorated - geometric?,S21.1,1650,1690,1650-1690,1630-1690,School Room
7266,,1322,book clasp,Tool_Writing,copper alloy,moderate,complete,"51L, 6W",1,2.5,,clasp end decorated with a star and lines; T-shaped terminal,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
7282,,1346,book clasp,Tool_Writing,copper alloy,moderate,complete,"35L, 10W",1,2.8,,one part of a decorated clasp; hinged end with 2 rivet holes and unburst decoration over bands,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7322,,1412,book clasp,Tool_Writing,copper alloy,heavy,fragment,43x6,1,1.6,,"two sheets riveted together, part of clasp on one end, other end broken and bent; cross-hatched decoration between double lines",S18.8,1790,1830,1790-1830,1780-1840,Midden
3684,,,book clasp,Tool_Writing,copper alloy,moderate,complete,20x5,1,0.9,,small clasp attached to leathe strap; separate rivet plate has come off,,,,,,
559,,85,book clasp/strap end,Tool_Writing,copper alloy,moderate,near complete,32x6,1,2,,"2 plates, riveted on leather strap; terminus missing; decorated",S21.5,,1790,1790,1780-1810,School Room
3660,,1131,book clasp?,Tool_Writing,?copper alloy,heavy,fragment,22W,1,2,,semi-circular butt end with rivet hole and hinge; poss book clasp,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
534,,20,book clasp?,Tool_Writing,copper alloy,moderate,complete,13x13,1,0.5,,clasp end of a probable book clasp; broken end has rivet - poss just a small clasp attached t leather strap,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
2863,,612,book clasp?,Tool_Writing,copper alloy,moderate,fragment,"16L, 7W",1,0.3,,hinged end of a small book clasp; other end broken; 1 rivet ins situ; sun-burst pattern - same as <7282> but smaller version,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
8711,43,202,bowl,Vessel,copper alloy,light corrosion,fragment,"45x28, 1mm thick",1,8.02,,"rim of small bowl - scale pan?. Has one rivet close to the break, prob from a repair",M.7,1800,1900,1800-1900,,Mound (Kyndluholl)
13846,,,bowl,vessel,pewter/copper alloy?,slight,complete,,1,218.61,,"Small wide rimmed bowl /soup plate type; 132,5mm diam, 20mm high, flange 15,5mm wide; slightly dented and bent, lots of scratched but still in usable shape; circle incised in bottom and rim edge; mongram stamp on rim/flange: large SP(?) flanked by smaller",,,,,,
3624,,992,brooch pin,Dress,copper alloy,moderate,near complete,10L,1,0.1,,fine wire with loop at one end and curving point at other - similar form to gold pins <10164>; loop broken.,S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
10164,,1799,brooch pin,dress,gold,moderate,near complete,,3,0.4,,"rolled sheet, gold; a)S-shaped with point at one end and loop at other - prob brooch pin; b) frag of same as a but missing loop; c) chain link or loop for b",S5.1,1720,1740,1720-1740,1720-1750,Bishops Dining Room
13850,,2818,brooch ring,Dress,copper alloy/pewter?,light,complete,"17 diam, 1 Th",1,2.4,,"D-sectioned annular frame, with decorated ribs around circumference; pin missing; cf Egan  Pritchard no.1311",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
2929,,,buckle plate/strap end/mount,dress,copper alloy,good,fragment,23mm wide,1,5.3,,"rectangular mount or strap end or even buckle plate; 2 rivet holes at one end, other end broken; engraved decoration of repeating half-moon border and repeating  'double axe' motif in middle. Leather adhered to back",,,,,,
18980,,548,buckle/brooch pin?,Dress,copper alloy,moderate,complete,,1,0.1,,"thin, sheet like rather than wire; tip pointed, end hooked but broken - could have continued making a small staple; fixture for small case?",S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
275,162,1,burnishing file,Tool_Metalworking,copper alloy,light corrosion,complete,105x11; thickness 5,1,34,,"looks like a file, but has no teeth, but rather smooth surface; file blank?",LH,,1958,1958,1930-1960,Levelling Horizon
2926,,459,button/mount,Dress,?pewter,heavy,fragment,,2,0.7,,centre of circular mount or button,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10159,,1774,button/pendant,Dress,?copper alloy,moderate,complete,14 diam,1,2.8,,"shanked button or pendant, hollow globe with open fretwork design; exquisite",S5.1,1720,1740,1720-1740,1720-1750,Bishops Dining Room
851,,149,button?,Dress,lead,heavy,near complete,13,1,1.8,,very misshapen - poss not shot but button?,S21.3,1750,1770,1750-1770,1750-1780,School Room
924,,93,came,Window,lead,light,fragment,64,1,7.8,,"strip, folded at one end, flattened",S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
6018,,961,came,Window,lead,moderate,fragment,40,1,4.9,,twisted section,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
4678,,1006,came,Window,lead,light,fragment,50,1,4.8,,"blackened - burnt? Very squashed, unable to record x-section",S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
3754,,1250,came,Window,lead,moderate,fragment,30x7x3,2,4.3,,1 piece bent in U-shape; unable to tell if reeded; H-shape,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
7261,,1308,came,Window,lead,light,fragment,3x3,1,8.5,,"came strap, folded over over 3 times; H-profile, widely spaced reeding - only 3 per 10mm; cf. Nonsuch which has 7",S18.8,1790,1830,1790-1830,1780-1840,Midden
8722,,1346,came,Window,lead,heavy,fragment,42,1,2.8,,v. Flattened and corroded,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7285,,1347,came,Window,lead,moderate,fragment,22,1,2.4,,squahed flat,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
8724,,1426,came,Window,lead,light,fragment,19x12x4,1,4.6,,centre-piece for 4 panes of glass with tie attached to one side (for fixing to metal bar),S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7344,,1461,came,Window,lead,moderate,fragment,"23L, 9W",1,6.9,,folded ?off-cut of came,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7433,,1630,came,Window,lead,moderate,fragment,34,1,2.9,,squahed flat,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
10259,,2185,came,Window,lead,light,fragment,7x3,2,5.8,,1 flattened strip and 1 rolled-up strip - prob off-cuts; H-profile but v.flattened,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
10326,,2383,came,Window,lead,moderate,fragment,31x3x4,1,3,,Classic H-shaped x-section; too corroded to ID any reeding but poss none,S18.2,1680,1690,1680-1690,1660-1690,Pantry
10353,,2425,came,Window,lead,light,fragment,22x3x7,1,2.8,,bent into U-shape; one arm with glass inside; classic H-profile; unable to tell if reeded,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
10388,,2521,came,Window,lead,moderate,fragment,"59L, 9W",2,7.6,,"2 sections, flanges flattened",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16744,,2615,came,Window,lead,light,fragment,23,1,3.2,,very flattened,S27.1,1700,1720,1700-1720,1690-1720,Passage
14984,,2643,came,Window,lead,moderate,fragment,55x9x5,1,7,,twisted section; reeding visible - closely spaced- c. 7-8 per 10mm,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
13862,,2701,came,Window,lead,moderate,fragment,48L,1,5.3,,"long strip, folded double and flattened",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16752,,2707,came,Window,lead,moderate,fragment,35,1,3.4,,flattened and twisted,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16677,,2788,came,Window,lead,moderate,fragment,"78L, 9 w",1,7.2,,slightly squashed and twisted came; reeding visible - widely spaced c. 3 per 10mm,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16656,,2799,came,Window,lead,moderate,fragment,32L,1,4.1,,centre-piece with tie(flat strip),S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
13767,,2799,came,Window,lead?,moderate,fragment,"61L, 8W, 2 Th",1,3.6,,blackened - burnt? Very squashed,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
16685,,2823,came,Window,lead,moderate,fragment,17,1,0.8,,flattened piece,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
16702,,2832,came,Window,lead,moderate,fragment,35,3,10.2,,"2 straight, 1 folded; off-cuts?",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
14955,,2845,came,Window,lead,moderate,fragment,"88L, 9x3",2,13,,"nice, straight pieces, H-section, reeded",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
14960,,2872,came?,Window,lead,light,fragment,23,2,4.7,,"poss came strips, squashed and clipped",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
6113,,1180,came?,Window,lead,moderate,fragment,8w,2,5.5,,flattened cames?,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
5944,64,772,candle holder,Tool_Lighting,copper alloy,moderate corrosion,near complete,38x27,1,30.82,,"a hollow cylinder, flanged mouth, perforated base and centre band; the object has four other perforations; some wood frags attached to it; symmetrical; possibly also a ferrule/collar",S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
2682,117,580,cap,Vessel,copper alloy,light corrosion,near complete,9x9x7,1,1.12,,A small screw-on cap with an octagonal shape and a headstamp,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
10379,152,2474,cap,Vessel,copper alloy,moderate corrosion,near complete,22x12,1,8.02,,iron screw-cap plated with copper alloy; for bottle or cask,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1337,,252,cap,Vessel,pewter,moderate,complete,17 diam,1,4.1,,"cap with internal screw thread - too small to fit 6056, but fits a simlar housing",S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
12487,,2200,cap,Vessel,pewter,moderate,near complete,c22 diam,1,7.4,,internal screw-thread (for external thread flask); top of cap missing,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10394,,2548,cap,Vessel,pewter,moderate,complete,31 diam,1,15.8,,"nice cap with int screw head and wide flanged top, concentric circles",S5.1,1720,1740,1720-1740,1720-1750,Bishops Dining Room
2146,,164,cap,Vessel,aluminium,light,complete,26x12x1,1,4.4,,cap for bottle or narrow-mouthed container; not screwed,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
6056,,1056,cap housing,Vessel,pewter,moderate,fragment,25 diam,1,12.7,,fitting on bottle flask with externa screw thread for separate cap,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
7437,,1630,cap/fitting,Vessel,copper alloy,moderate,fragment,11 diam,1,1.6,,fragment of hollow bottle cap with external screw-thread (for internal screw-thread bottle) - or tube with screw-thread for attachment,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1139,46,174,cartridge cap,Tool_Hunting,copper alloy,light corrosion,near complete,"21x21, 10 thick",1,4.71,,"Headstamp is split into two circles, an inner and an outer one. Outer circle has writing on top that's difficult to discern ""no 12""  ""..OPE..."" or ""..ORE..."" and ""...O..."". Inner circle writing if there is any is not visible
The following website contains",T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
19372,,1,cartridge casing,Tool_Hunting,copper alloy,heavy,complete,"15L, 5,5 diam",1,0.9,,no headstamp visible,LH,,1958,1958,1930-1960,Levelling Horizon
519,48,1,cartridge casing,Tool_Hunting,copper alloy,,fragment,"40x12, head =14x14",0,3.65,,"Broken in half; no legible headstamp but traces of some lettering
Allen, Ethan cartridge case? Cartridges made from the 1800s according to  http://cartridgecollectors.org/?page=glossary",LH,,1958,1958,1930-1960,Levelling Horizon
8712,49,1071,cartridge casing,Tool_Hunting,copper alloy,light corrosion,complete,54x11,1,8.8,,"Bottlenecked case. Head reads: ""65x54"" ""R.W.S"" (Rheinisch-Westfälischen Sprengstoff-Fabriken)",MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
453,,149,cauldron,Vessel,copper alloy,light,fragment,240 diam,1,13.4,,"collared rim of large vessel, c5% present",S21.3,1750,1770,1750-1770,1750-1780,School Room
10356,156,2428,cauldron handle,Vessel,copper alloy,moderate corrosion,fragment,56x13,1,44.36,,"heavy, angled cylinder that seemst to have attached to something; possibly the handle of some sort of vessel like a pot or kettle",S18.2,1680,1690,1680-1690,1660-1690,Pantry
3757,100,1217,chain link,Dress,copper alloy,light corrosion,complete,"9x7, 1mm diameter",1,0.33,,,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
7276,99,1346,chain link,Dress,copper alloy,light corrosion,complete,8x6; diameter 1mm,1,0.28,,,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
14907,101,2872,chain link,Dress,copper alloy,light corrosion,complete,8x6; diameter 1,1,0.34,,blue - silver/ed?,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
3706,,1011,chain link,dress,silver,light,complete,10,1,0.4,,c-shaped link,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
3615,,954,clasp/hasp,Tool_Writing,copper alloy,moderate,complete,46x6,1,1.7,,"flat sheet, gilt with perforated butt at one end and indent and catch on other; probable pivot clasp, for a book?",S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
1965,,383,cloth seal,Cloth Seal,lead,light,fragment,"16 diam, 1 th",1,3.2,,1 disc with rivet - half a seal; no stamps visible,T1.3,2002,2007,2002-2007,1990-2020,FSÍ Excavation
7275,,1346,cloth seal,Cloth Seal,lead,light,fragment,22,1,6.1,,fragment of probable cloth seal - double disc? Very mishappen,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
18335,,2021,cloth seal,Cloth Seal,lead,moderate,fragment,17 diam,1,3.4,,half a disc with rivet; stamped motif,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
10335,,2406,cloth seal,Cloth Seal,lead,light,fragment,"13 diam, 1 thick",1,1.6,,one disc of a seal; peforation in centre for rivet (missing); stamped motif: oblique line between 2 bars,S18.2,1680,1690,1680-1690,1660-1690,Pantry
10393,,2415,cloth seal,Cloth Seal,lead,moderate,near complete,25 diam,2,10.8,,2 discs with rivet; 1 disc with stamped motif: 2 towers over letters; rivet stamped with crossed swords,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10350,,2424,cloth seal,Cloth Seal,lead,moderate,fragment,"20 diam, 0.5 thick",1,4.8,,"1 disc with rivet; illegible stamp on disc, rivet has a 48(?) over a double scroll",S8.2,1750,1800,1750-1800,1750-1810,Nursery/Private Chambers
13788,,2695,cloth seal,Cloth Seal,lead,moderate,complete,28diam,1,20.9,,"2 disc, joined by flat loop; one side: indistinct stamp; other side: scratch marks",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
14966,,2823,cloth seal,Cloth Seal,lead,moderate,near complete,"17 diam, 1Th",1,4,,"2 discs, 1 with rivet perf (rivet missing); opened up; stamped initials: MB in circle",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
19367,,1,cloth seal?,Cloth Seal,lead,moderate,fragment,30 diam,1,9.6,,large disc with rivet hole - cloth seal or rove,LH,,1958,1958,1930-1960,Levelling Horizon
13870,,2641,cloth seal?,Cloth Seal,?lead,light,fragment,"29L, 0,5Th",1,2.1,,"thin, oval disc with 'tail' - broken and flattened seal?",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
704,,149,cloth seal?,Cloth Seal,lead,heavy,fragment,17 diam,2,5.5,,"very corroded - poss cloth seal, but could even be a button",S21.3,1750,1770,1750-1770,1750-1780,School Room
3584,,786,cloth seal?,Cloth Seal,lead,light,complete,"18 diam, 2 thick",1,3.8,,circular with off-centre and irregualr perforation and trace of attachment at top - poss cloth seal? But rather thick,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
3571,106,1011,coin,COIN,copper alloy,heavy corrosion,fragment,21x21,1,2.38,,a very fragile coin (?) attached to textile and wood; needs conservation,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
10176,,1861,cuff links,Dress,copper alloy,moderate,complete,15 diam,1,7.7,,sheet domed buttons with shanks joined by a single S-link chain; double panel type; prob late 18c+,S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
18803,,830,disc,UNID,?copper alloy,heavy,complete,"15 diam, 0.2Th",1,0.7,,small disc of ferrous/copper alloy; heavily corroded; does not look like a coin,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
6024,,984,disc,UNID,lead/pewter,heavy,fragment,18,1,1.7,,irregular flattened disc - plug/rivet?,S21.2,1690,1750,1690-1750,1690-1750,School Room
6098,,1131,disc,UNID,lead,moderate,fragment,"15L, 5Th",2,7.8,,"2 pieces, vaguely disc shaped - poss plug/rivet",S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
7331,,1428,disc weight,Weight,lead,moderate,fragment,"17 diam, 3 thick",1,3.1,,"broken in half; one side flat, other with poss decoration",C.4,1850,1890,1850-1890,1840-1900,Courtyard
322,,14,dribble,Tool_Metalworking,lead,moderate,fragment,25,1,6.7,,dribble/waste,S4.6,,1890,1890,1870-1900,Pantry/Kitchen
703,,52,dribble,Tool_Metalworking,lead,moderate,fragment,19,1,5.5,,dribble/waste - or mishappen plug/rivet,S29.3,,1900,1900,1900,Outhouse
2009,,405,dribble,Tool_Metalworking,lead,heavy,fragment,16,1,1.1,,thin dribble/waste,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
7448,81,1642,drop handle/book clasp?,Structural_Handle,copper alloy,light corrosion,near complete,37 length; diameter 2-5mm,1,2.16,,"shaft section is circular at the top but turns into a square, flat section; broken end bent up - poss deliberately; perforation at breakage; Knop at other end. Poss some sort of furniture fitting (drop handle) - or book clasp?",S10.1,1700,1740,1700-1740,1690-1750,Kitchen
1632,119,322,ferrule,Tool,copper alloy,light corrosion,near complete,13x13x6,1,1.39,,flat bronze circle (like a ring) with two engraved lines at top and base. Narrows towards the top; possibly a small open thimble for a child or a bolster.,S11.3,1730,1740,1730-1740,1720-1750,Priests Living Quarters
534,,20,ferrule,Tool,?pewter,moderate,complete,"13 diam, 3,5 wide",1,0.9,,collar with decorative motif: overlapping waves between parallel grooves; decorative collar for shaft,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
7332,,1444,ferrule/repair strap,Tool,copper alloy,moderate,near complete,25x 14x7,1,4.6,,rectangular ferrule with 2 rivets around carved wooden object; repair strap around spoon handle?,S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
530,69,2,ferrule/vial,Tool,copper alloy,light corrosion,fragment,61x13,2,7.16,,Tapering tube with one bulging end (bigger end) and one flat end (smaller end). The smaller end has an internal screw thread. A separate fragment from the bulging end is filled with wood; ferrule - or tobacco vial?,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
8719,,1329,figurative handle?,Vessel,lead/copper alloy?,moderate,near complete,30,1,20.2,,mishappen figurative handle/thumbpiece originally attached to pewter lid? Possible horse? See Egan & Pritchard 537/8,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
3593,,1011,finial/thumbpiece,Vessel,pewter,moderate,fragment,13,1,14.3,,"cast spherical knop, with seam ridge; raised dots one side, unclear motif on other",S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
3673,,,finial/thumbpiece,Vessel,pewter,light,complete,9 diam,1,3.7,,rounded knop finial from vessel lid,,,,,,
18768,143,1627,fitting,Dress,copper alloy,light corrosion,complete,13x7,1,1.18,,Perforated cross-shaped object; mount/pendant? Fitting? Clasp lock? See Egan & Pritchard p. 121,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
18768,143,1627,fitting,Dress,copper alloy,light corrosion,complete,13x7,1,1.18,,Perforated cross-shaped object; mount/pendant? Fitting? Clasp lock? See Egan & Pritchard p. 121,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
14920,,2653,fitting,Dress,copper alloy,moderate,fragment,71x10,1,1.4,,"gilt copper sheet, v. Thin - strip with one edge cut every 3-4mm - for crimping? 2 rivet holes along same edge; edge binding for a book or bag?",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16793,,2751,fitting,Dress,copper alloy,moderate,fragment,37x5,1,0.6,,thin gilt sheet perforated at one end and slightly tapered at other; decorated with double oblique lines; poss part of a clasp/mount,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
3556,,270,fitting,Dress,?pewter,moderate,fragment,11 diam,1,0.6,,loop attached to larger object - flat on one side like a mount; pendant mount/spangle? 3-piece forked strap end - fork terminal?,S8.4,,1850,1850,1840-1870,Nursery/Private Chambers
281,136,1,fitting,Structural_fastener,aluminium,light corrosion,complete,100x34,1,37.63,,"Aluminium sheet folded together and fastened by rivets. Y-shaped strap-end.
Frontal view: Y-shaped fitting with one copper alloy rivet on both upper strands (2 all in all) that fasten the opposite folded side. Also has two other rivet holes that connect t",LH,,1958,1958,1930-1960,Levelling Horizon
13854,147,2641,furniture mount,Dress,copper alloy,light corrosion,near complete,"62x26, thickness 4",1,19.31,,"Decorative fitting/mount, cast; prob for attachment to wooden furniture",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
922,,116,GOLD THREAD,dress,gold,none,fragment,,1,,,mising from box - poss Graham took for analysis,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
18739,,933,grommet?,Dress,copper alloy,moderate,near complete,7,1,0.2,,"small, irregular circlular eyelet of sheet with rivet perforation; poss a grommet or simply section of sheet torn off by rivet",S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
13872,139,2772,handle,Structural_Handle,copper alloy,light corrosion,near complete,60x20; diameter 2,1,4.09,,Looks gilded; handle from a drawer or similar; drophandle,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
10290,138,2267,handle/pendant loop,Dress,copper alloy,light corrosion,near complete,"40x14, diameter 1",1,1.76,,wire handle from something small like a drawer/drophandle or more likely a purse hanger,C.3,1830,1850,1830-1850,1810-1870,Courtyard
549,56,56,handle?,Vessel,copper alloy,moderate corrosion,fragment,"54 lenght, 4 thick",1,2.54,,rolled up copper sheet possibly part of a wire handle,S33.1,1880,1952,1880-1952,1870-1960,Stables
16700,,2821,handle?,Vessel,pewter,moderate,fragment,"27L, 7Th",1,5.5,,"curved, oval sectioned rod, tapering at both ends; prob handle from vessel",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
7371,83,1514,hook,Structural_Security,copper alloy,light corrosion,near complete,copper hook is 11 in length and shaft diameter is 3; complete length 42mm,1,1.54,,copper hook attached to a wooden shaft or wooden item; latch hook?; needs conservation; similar to id 84,S18.7,1770,1790,1770-1790,1750-1810,Pantry
3753,,967,hook,Structural_Security,copper alloy,moderate,complete,12L,1,0.1,,"fine wire with loop at one end and hook at other, turned 90 degrees; latch hook? For small item - prob goes with a)",S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
16678,77,2825,hook,Structural_Security,copper alloy,light corrosion,near complete,"24 length, inner dimensions of loop: 4",1,1.62,,Latch hook from something like a small chest/box rather than a window; rather small and thin,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
968,,1,ingot,Tool_Metalworking,copper alloy,moderate,complete,86x11x10,1,69.7,,"long bar, tapering toward each end; one end poss has its tip cut off at an oblique angle",LH,,1958,1958,1930-1960,Levelling Horizon
