ID1,ID,Dbase,Finds Number,Unit Number,Bark,Conversion/method,Wood species,Completeness,Discard,Photo/drawing,Length (mm),Width (mm),Thickness (mm),Diameter,profile,shape/sides,condition,burnt,Object,Object Group,Object category,Vessel type,vessel ID,Off-cut,Count,General Notes,Notes (continued),Field26,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,No,GroupNo,Space,Unit type,Unit entropy,Sieved,
256,570,SF,3124,623,No,,conifer,fragment,n,n,104,30,16.5,,rectangular,,,,batten,structural,post,,,,1,"A narrow batten terminal 3 x 1,65, thins in to 0,95 cm towards the end. The thin section has a square 0,4 cm hole, probably after a nail. The end is slightly rounded.",end of batten - tapered to slot into a grooved possibly,JÞ,S10.4,1800-1880,1800,1880,1780-1900,Kitchen,623,1101,1101,Wall,disorganized,FALSE,
570,,ST2,4468,907,No,,conifer,fragment,n,n,115,22,12,,,,,,batten,structural,post,,,,1,"rect x-section, both ends broken; + 3 small splinters",,GL,C.4,1850-1890,1850,1890,1840-1900,Courtyard,907,1257,1257,Midden,in situ,FALSE,
5219,,SF2,13596,2829,No,,quercus,fragment,n,n,110,25,8,,,,,,batten/panel,structural,post,,,,1,"panel/batten, with carved notches on one face and edges - some decorative furniture part",,,S17.2,1690-1700,1690,1700,1690-1720,Meat Store,2892,1680,1680,Floor,in situ,TRUE,
130,e,ST2,2449,488,No,,conifer,fragment,n,n,61,27,18,,,,,,batten/plank,structural,plank/post,,,,1,"rec section, one end cut, other broken, split longitudinally; poss edge of plank",,GL,S20.2,1670-1700,1670,1700,1660-1720,School Dormitory,488,435,733,Floor,in situ,TRUE,
2611,a,ST2,7226,1634,No,,conifer,complete,y,n,25,60,24,,,,,,batten/plank,structural,plank/post,,,off-cut,1,offcut from large rect sec batten or plank,,GL,S10.1,1700-1730,1700,1730,1690-1750,Kitchen,1634,1684,1684,External area,disorganized,FALSE,
2594,c,ST2,7221,1665,No,,conifer,fragment,y,n,,,14,,,,,,batten/plank,structural,plank/post,,,off-cut,1,off cut of rect sec batten or plank,,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1665,1656,1335,Floor,in situ,TRUE,
2598,d,ST2,7222,1665,No,,conifer,fragment,n,n,27,,15,,,,,,batten/plank,structural,plank/post,,,off-cut,1,prob off-cut from a longer batten or plank end squared,,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1665,1656,1335,Floor,in situ,TRUE,
2589,c,ST2,7220,1693,No,,conifer,fragment,n,n,38,22,12,,,,,,batten/stave?,structural,plank/post,,,off-cut,1,"V-chamfered end, other end cut - longit split",,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1693,1656,1335,Floor,in situ,TRUE,
4520,209,ST,13187,2767,No,,conifer,fragment,n,n,113,18,10,,square,tapered,,,batten?,structural,post,,,,1,Could be a peg or a wedge. Is slightly narrowing at the broken end. Batten off-cut?,Edges rounded.,EC/SÞ/GL,S25.3,1720,,1720,1690-1720,Boys Lodge (servants?),2767,2723,2520,Drain,in situ,FALSE,
5141,a,ST2,13466,2950,No,,conifer (larix?),fragment,n,n,125,15,,,,,,,batten?,structural,post,,,,1,"sq sec, terminal tapered, other end broken; poss stake",,GL,S28.1,1670-1720,1670,1720,1660-1720,Lodge Stores,2950,2920,2920,Wall,disorganized,FALSE,
5142,b,ST2,13466,2950,No,,conifer (larix?),fragment,n,n,94,17,15,,,,,,batten?,structural,post,,,,1,"sq section, one end broken, other faceted to point with 4 faces",,GL,S28.1,1670-1720,1670,1720,1660-1720,Lodge Stores,2950,2920,2920,Wall,disorganized,FALSE,
5146,,ST2,13469,2950,No,,larix,fragment,n,n,125,18,12,,,,,,batten?,structural,post,,,,1,"rect sect, poss splintered longitudinally but if not, then a batten; both ends broken?",,GL,S28.1,1670-1720,1670,1720,1660-1720,Lodge Stores,2950,2920,2920,Wall,disorganized,FALSE,
5000,,ST2,13381,2896,No,,conifer,complete,n,n,18,25,23,,,,,,batten?,structural,post,,,off-cut,1,short off-cut from ?batten terminal,,GL,S17.2,1690-1700,1690,1700,1690-1720,Meat Store,2896,2730,2763,Fireplace,in situ,TRUE,
4323,4,SV,13143,2690,No,radial,conifer,95,n,y,328,27,11,,,,,,batten?,structural,post,,,,1,"Square hole (12x9mm) in one end. Width of hole is 12 mm, hight of hole is 9 mm. Broken off at other end. Notch at mid point. Furniture piece?",,CW/GL,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2690,2658,2551,Floor,in situ,TRUE,
4836,a,ST2,13286,2949,No,,conifer,fragment,n,n,33,,,,,,,,batten?,structural,post,,,,1,"poss batten terminal, broken and splintered",,GL,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2949,2658,2551,Floor,in situ,TRUE,
4943,,ST2,13343,2694,No,,larix,fragment,n,n,55,12,11,,,,,,batten?,structural,post,,,,1,"sq section with  nicely faceted 4-sided point at one end, other broken; poss batten terminal or a peg",,GL,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2694,2658,2551,Floor,in situ,TRUE,
5015,1054,SF,13389,2827,No,,larix,complete?,n,n,62,9,6.5,,rectangular,parallel,,,batten?,structural,post,,,,1,"A rectangular shaft top end is broken off. Shaft has no tapering, bottom end is sharpened. About half-way down one of the narrow sides has a notch, 0,15 cm wide and 0,2 cm deep, purpose not certain.",,JÞ,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2872,2863,2551,Floor,in situ,TRUE,
3636,,ST2,12421,2251,No,,conifer,fragment,n,n,49,13,9,,,,,,batten?,structural,post,,,,1,tapered batten frag with iron nail embedded in,,GL,S18.4,1700-1740,1700,1740,1690-1750,Pantry,2251,2067,1884,Floor,in situ,TRUE,
5133,b,ST2,13463,2638,No,,conifer (larix?),fragment,n,n,160,18,11,,,,,,batten?,structural,post,,,,1,"rect section,, tapered toward one end, other broken",,GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2639,2521,2520,Floor,in situ,FALSE,
5138,a,ST2,13465,2650,No,,conifer,fragment,n,n,116,21,17,,,,,,batten?,structural,post,,,,1,"rect section, one end sharpened along 2 sides to a point, other broken; batten terminal - stake/peg?",,GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2650,2521,2520,Floor,in situ,FALSE,
5158,a,ST2,13480,2789,No,,conifer (larix?),fragment,n,n,62,14,11,,,,,,batten?,structural,post,,,,1,"rect sect,, flat end, other end starts t taper in then broken off; spindle? Peg?",,GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2789,2520,2520,Floor,in situ,FALSE,
1851,79,SF,6849,1461,No,,larix,fragment,n,y,33,17,13,,,,,,batten?,structural,post,,,,1,Part of small furniture fitting - poss batten terminal; tenon projection and lap joint?,,LP,S7.1,1720-1760,1720,1760,1720-1780,Vestibule & Corridor,1461,1702,1702,Floor,in situ,TRUE,
1887,,ST,6858,1450,No,,conifer,fragment,n,n,80,16,10,,,,,,batten?,structural,post,,,,1,tapered end of a batten,,,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1450,1211,1200,Floor,in situ,TRUE,
696,2432,ST,4500,1034,No,,unid,fragment,y,n,45,22,12,,,,,,batten?,structural,post,,,,1,"All sides worked, both ends cut. ""House"" shaped. Batten terminal?",,EC/SÞ/GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,1034,1117,751,Drain,in situ,FALSE,
2583,a,ST2,7218,1659,No,,conifer,fragment,n,n,45,14,8,,,,,,batten?,structural,post,,,,1,rounded terminal of a poss batten,,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1659,1656,1335,Floor,in situ,TRUE,
2599,e,ST2,7222,1665,No,,conifer,fragment,n,n,,27,15,,,,,,batten?,structural,post,,,,1,"chamfered end of a batten, other end broken",,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1665,1656,1335,Floor,in situ,TRUE,
2614,e,ST2,7227,1666,No,,conifer,fragment,n,n,,15,8,,,,,,batten?,structural,post,,,,1,chamfered terminal of small batten?,,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1666,1656,1335,Floor,in situ,TRUE,
520,,ST2,4439,778,No,,conifer,fragment,n,n,,,,,,,,charred,batten?,structural,post,,,off-cut,1,"terminal of a batten or post, cut obliquely, edge charred",,GL,S29.1,1780-1790,1780,1790,1780-1810,Infirmary,778,3029,3029,Floor,in situ,FALSE,
89,c,ST2,1596,238,No,,conifer,fragment,n,n,,22,9,,,,,,batten?,structural,post,,,,1,squared end of batten with perforation - broken or poss cut across perf,,GL,S4.4,1800-1840,1800,1840,1780-1840,Pantry/Kitchen,238,825,301,Floor,in situ,FALSE,
461,635,SF,4416,988,No,,see OE notes,fragment,n,y,28,13,7,,round,,,,beading terminal?,structural,fixture,,,,1,"Arrow-shaped finial of beading; flat back side, sub-rounded/rectangular profile. Carved.",,JÞ,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,988,901,901,Floor,in situ,TRUE,
5055,b,ST2,13412,2609,No,,conifer,fragment,n,y,70,14,7,,,,,,beading?,structural,fixture,,,,1,nicely carved baluster shaft - poss beading or shaft split longitudinally,,GL,S23.2,1720,,1720,1690-1720,Bishops Living Quarters,2609,2551,2551,Floor,in situ,FALSE,
279,,ST2,3296,673,No,,quercus,almost complete,n,n,35,16,7,,D,,,,beading?,structural,fixture,,,,1,"carved, short piece, low D-section - poss beading or split peg/pin?",,GL,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,673,436,733,Floor,in situ,TRUE,
167,,ST2,2809,547,No,,conifer,fragment,n,n,146,20,15,,triangular,,,,beading?,structural,fixture,,,,1,"triangular section,  both ends broken; poss beading or batten",,GL,S20.2,1670-1700,1670,1700,1660-1720,School Dormitory,547,435,733,Floor,in situ,TRUE,
5229,,SF2,13604,2813,No,,conifer,fragment,n,y,135,20,6,,rectangular,,,,beading?,structural,fixture,,,,1,"geometrically carved, one end broken; one face flat and uncarved; thin, rec sectioned. Poss beading or other furniture item",,GML,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2813,2800,2520,Floor,in situ,TRUE,
5284,911,SF,16110,2817,No,,quercus,fragment,n,y,21,14,5,,hexagonal?,,,,beading?,structural,fixture,,,,1,"A fragment form  a larger, possibly hexagonal, piece, both ends are cut flat, surface is painted red.",,JÞ,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2817,2800,2520,Floor,in situ,TRUE,
2630,,ST2,7237,1646,No,,conifer,complete,n,n,55,24,14,,,,,,beading?,structural,fixture,,,off-cut,1,"short section of carved beading - chamfered along long edge, both ends cut - pres offcut",,GL,C.2-3,1720-1850,1720,1850,1720-1870,Courtyard,1646,1257,1257,External area,in situ,FALSE,
2580,,SF2,7167,1643,No,,Betula,fragment,n,n,42,18,8,,D,,,,beading?,structural,fixture,,,,1,D-shaped profile of strap/band - poss beading,,,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
503,c,ST2,4432,830,No,,betula,complete,n,n,25,17,9,,trapezoidal,,,,beading?,structural,fixture,,,off-cut,1,trapez. X-section - pos off-cut from beading?,,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,830,793,751,Drain,in situ,TRUE,
2595,d,ST2,7221,1665,No,,conifer,fragment,n,n,22,24,11,,,,,,beading?,structural,fixture,,,off-cut,1,poss beading with chamfer along long edge - poss offcut,,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1665,1656,1335,Floor,in situ,TRUE,
2615,d,ST2,7227,1666,No,,conifer,fragment,n,n,,16,8,,D,,,,beading?,structural,fixture,,,,1,"D-profile, poss beading?",,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1666,1656,1335,Floor,in situ,TRUE,
1183,2721,ST,4569,1125,No,,conifer,fragment,n,n,400,62,53,,,,,,beam,structural,post,,,,1,Fragment from a structural beam - one end shallow lap seating with chamfered end,,EC/SÞ/GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,1125,106,106,Floor,in situ,FALSE,
4345,,ST2,13160,2649,No,,conifer (larix?),complete,n,y,215,153,28,,,,,,biscuit mould?,tool,kitchen,,,,1,rectangular block with chamfered upper edges and a shoe sole shape carved into upper surface - minus heel,,GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2649,2521,2520,Floor,in situ,FALSE,
4307,1042,ST,13127,2771,No,box halved,larix,fragment,y,n,286,188,0,,,,,,block,structural,post,,,off-cut,1,"Large block with three nail holes on one side, measuring i diam. 8 mm., 9 mm. and 13 mm. Width in narrow end 144 mm. Thickness in the same end 44 mm. There are more holes in the piece, but they appear to be damages.","complete block, halved; 1 side and 1 end chamfered",EC/SÞ/GL,S25.3,1720,,1720,1690-1720,Boys Lodge (servants?),2771,2723,2520,Drain,in situ,FALSE,
4632,291,ST,13199,2789,No,tangential,conifer,complete,y,n,96,52,27,,,,,,block,structural,post,,,off-cut,1,Almost a complete block with a nail hole through it. Nail hole is 6 x 7 mm.,,EC/SÞ/GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2789,2520,2520,Floor,in situ,FALSE,
