Building Phase,Start Date,End Date,Attribution,Rooms,Detailed description,Associated Finds
S22.1,1670,1700,Assistant Teachers Quarters,,,
S22.2,1700,1730,Assistant Teachers Quarters,,,
S22.3,1730,1750,Assistant Teachers Quarters,,,
S22.4,1750,1780,Assistant Teachers Quarters,,,
S23.1,1700,1720,Bishops Living Quarters,,,
S23.2,1720,1720,Bishops Living Quarters,,,
S24.1,1670,1720,Corridor,,,
S25.1,1670,1710,Boys Lodge (servants?),,,
S25.2,1710,1720,Boys Lodge (servants?),,,
S25.3,1720,1720,Boys Lodge (servants?),,,
S26.1,1690,1720,Corridor,,,
S27.1,1700,1720,Passage,,,
S28.1,1670,1720,Lodge Stores,,,
S29.1,1780,1790,Infirmary,,,
S29.2,1790,1820,Infirmary,,,
S29.3,1820,1880,Infirmary,,,
S3.1,1760,1880,Pantry/Stores,,,
S30.1,1670,1720,School Master's House,,,
S30.2,1720,1740,School Master's House,,,
S30.3,1740,1750,School Master's House,,,
S30.4,1750,1750,School Master's House,,,
S31.1,1830,1890,Outhouses?,,,
S32.1,1850,1890,Forge,,,
S33.1,1880,1952,Eastern Farm/Byre,,,
S34.1,1880,1920,Silo Pit,,,
S35.1,1898,1958,Western Farmhouse,,,
S35.2,1958,1958,Western Farmhouse,,,
S4.1,1720,1760,Lodge/Dining Room & Chambers,,,
S4.2,1760,1780,Lodge/Dining Room & Chambers,,,
S4.3,1780,1800,Lodge/Dining Room & Chambers,,,
S4.4,1800,1840,Pantry/Kitchen,,,
S4.5,1840,1890,Pantry/Kitchen,,,
S4.6,1890,1890,Pantry/Kitchen,,,
S5.1,1720,1740,Dining Room,,,
S5.2,1740,1760,Dining Room,,,
S5.3,1760,1780,Dining Room,,,
S5.4,1780,1800,Pantry/Study & Library,,,
S5.5,1800,1830,Pantry/Study & Library,,,
S5.6,1830,1890,Workshop/Flour Mill,,,
S6.1,1720,1760,Bishops Living Quarters,,,
S6.2,1760,1800,Bishops Living Quarters,,,
S6.3,1800,1830,Bishops Living Quarters,,,
S6.4,1830,1890,Millers Workshop,,,
S6.5,1890,1890,Vestibule & Corridor,,,
S7.1,1720,1760,Vestibule & Corridor,,,
S7.2,1760,1800,Vestibule & Corridor,,,
S7.3,1800,1840,Vestibule & Corridor,,,
S7.4,1840,1890,Vestibule & Corridor,,,
S7.5,1890,1890,Vestibule & Corridor,,,
S8.1,1720,1750,Children's Quarters,,,
S8.2,1750,1800,Children's Quarters/Private Chambers,,,
S8.3,1800,1850,Children's Quarters/Private Chambers,,,
S8.4,1850,1850,Children's Quarters/Private Chambers,,,
S9.1,1740,1800,Living Quarters,,,
S9.2,1800,1880,Living Quarters,,,
T1.1,1958,1958,Kristján Eldjárn Excavation,,,
T1.2,1984,1986,Guðmundur Ólafsson Excavation,,,
T1.3,2002,2007,FSÍ Excavation,,,
